org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11
announced,2,1,3,0,1,0,0,3,2,1,1,0
are,2,1,3,0,1,0,0,3,2,1,1,0
as,6,6,11,2,4,1,1,9,5,2,3,2
at,2,1,3,0,1,0,0,3,2,1,1,0
avec,4,5,8,2,3,1,1,6,3,1,2,2
bas,4,5,8,2,3,1,1,6,3,1,2,2
bonus,0,0,1,0,0,0,0,2,0,0,0,0
company,2,1,3,0,1,0,0,3,2,1,1,0
compenses,4,5,8,2,3,1,1,6,3,1,2,2
consommateurs,4,5,8,2,3,1,1,6,3,1,2,2
consommation,4,5,8,2,3,1,1,6,3,1,2,2
consumers,4,5,8,2,3,1,1,6,3,1,2,2
consumption,4,5,8,2,3,1,1,6,3,1,2,2
customers,2,1,3,0,1,0,0,3,2,1,1,0
de,4,5,8,2,3,1,1,6,3,1,2,2
des,4,5,8,2,3,1,1,6,3,1,2,2
design,1,0,2,0,1,0,0,1,2,0,0,0
diodes,2,1,3,0,1,0,0,3,2,1,1,0
emphasized,2,1,3,0,1,0,0,3,2,1,1,0
en,4,5,8,2,3,1,1,6,3,1,2,2
est,4,5,8,2,3,1,1,6,3,1,2,2
et,4,5,8,2,3,1,1,6,3,1,2,2
e스포츠,4,3,5,1,3,0,1,4,2,4,4,3
fair,2,1,3,0,1,0,0,3,2,1,1,0
first,2,1,3,0,1,0,0,3,2,1,1,0
for,6,6,11,2,4,1,1,9,5,2,3,2
generation,2,1,3,0,1,0,0,3,2,1,1,0
government,2,1,3,0,1,0,0,3,2,1,1,0
has,2,1,3,0,1,0,0,3,2,1,1,0
he,2,1,3,0,1,0,0,3,2,1,1,0
iCUE,5,6,4,0,3,1,1,3,2,2,2,7
in,7,6,13,2,5,1,1,10,7,2,3,2
investing,2,1,3,0,1,0,0,3,2,1,1,0
is,6,6,11,2,4,1,1,9,5,2,3,2
its,4,5,8,2,3,1,1,6,3,1,2,2
la,4,5,8,2,3,1,1,6,3,1,2,2
