org,topic_0,topic_1,topic_10,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
Merck,26.80 (0%),23.36 (0%),,4.12 (0%),17.18 (0%),,2.12 (0%),6.87 (0%),6.18 (0%),9.01 (0%),
Nitto,8.93 (0%),7.56 (0%),,,8.93 (0%),1.40 (0%),,3.44 (0%),1.37 (0%),1.39 (0%),0.73 (0%)
POSTECH,26.11 (0%),24.05 (0%),,,15.12 (0%),3.50 (0%),2.12 (0%),6.87 (0%),8.93 (0%),6.93 (0%),
SFA,8.25 (0%),6.18 (0%),,6.87 (0%),3.44 (0%),6.99 (0%),2.82 (0%),2.75 (0%),,2.08 (0%),
SK하이닉스,1693.71 (4%),1663.48 (4%),,328.44 (2%),1519.19 (4%),276.22 (4%),,492.65 (4%),291.33 (2%),316.08 (3%),
TCL,459.67 (1%),465.17 (1%),,201.32 (1%),224.68 (1%),100.00 (1%),,70.08 (1%),87.95 (1%),76.94 (1%),
TSMC,485.10 (1%),442.50 (1%),,89.32 (1%),412.26 (1%),82.52 (1%),,160.10 (1%),64.59 (1%),81.79 (1%),
Tianma,101.00 (0%),94.82 (0%),,13.74 (0%),52.91 (0%),25.17 (0%),,34.36 (0%),10.99 (0%),9.01 (0%),
Toray,15.80 (0%),10.31 (0%),10.34 (0%),11.68 (0%),6.18 (0%),,,5.50 (0%),6.18 (0%),6.93 (0%),
UDC,55.66 (0%),57.03 (0%),,14.43 (0%),41.91 (0%),,,13.05 (0%),14.43 (0%),13.17 (0%),5.80 (0%)
UL,83.14 (0%),67.34 (0%),,22.67 (0%),68.02 (0%),,12.70 (0%),23.36 (0%),32.29 (0%),24.95 (0%),
Visionox,118.87 (0%),117.49 (0%),,6.87 (0%),70.77 (0%),27.97 (0%),,28.17 (0%),17.86 (0%),,8.70 (0%)
구글,1633.94 (4%),1648.36 (4%),,711.15 (5%),1062.95 (3%),,,404.70 (3%),428.07 (4%),386.78 (4%),529.32 (13%)
기아,959.20 (2%),849.26 (2%),,213.69 (1%),1000.42 (3%),134.27 (2%),,298.89 (2%),357.98 (3%),221.81 (2%),
기아자동차,70.77 (0%),56.34 (0%),,10.99 (0%),75.58 (0%),12.59 (0%),,26.11 (0%),23.36 (0%),17.33 (0%),
네이버,1281.45 (3%),1194.19 (3%),,653.44 (4%),872.62 (3%),267.83 (4%),,406.08 (3%),458.99 (4%),363.90 (4%),
니오,15.12 (0%),11.68 (0%),,2.06 (0%),11.68 (0%),3.50 (0%),,6.18 (0%),4.81 (0%),4.16 (0%),
도우인시스,21.30 (0%),21.30 (0%),,3.44 (0%),18.55 (0%),3.50 (0%),,9.62 (0%),5.50 (0%),4.16 (0%),
두산로보틱스,165.59 (0%),158.72 (0%),13.30 (1%),37.10 (0%),191.70 (1%),,,63.90 (1%),50.85 (0%),47.83 (1%),
딥엑스,21.99 (0%),21.99 (0%),,4.12 (0%),19.93 (0%),2.80 (0%),,6.87 (0%),6.18 (0%),1.39 (0%),
레노버,812.31 (1%),625.02 (1%),,1282.14 (5%),388.50 (1%),,,249.36 (1%),279.33 (2%),259.12 (2%),115.20 (2%)
리벨리온,131.92 (0%),114.75 (0%),,34.36 (0%),106.50 (0%),9.09 (0%),,49.47 (0%),41.23 (0%),22.18 (0%),
리오토,17.86 (0%),15.12 (0%),,3.44 (0%),9.62 (0%),2.80 (0%),,3.44 (0%),2.75 (0%),3.47 (0%),
마이크로소프트,1216.18 (3%),1133.72 (3%),,500.90 (3%),810.78 (2%),180.42 (2%),,329.81 (3%),280.34 (2%),213.49 (2%),
메타,1058.14 (2%),1065.01 (2%),,268.66 (2%),792.23 (2%),211.89 (3%),,309.20 (2%),189.64 (2%),180.22 (2%),
미디어텍,130.55 (0%),129.18 (0%),,30.23 (0%),110.62 (0%),18.18 (0%),,32.98 (0%),28.17 (0%),29.11 (0%),
바이두,37.79 (0%),32.98 (0%),,8.25 (0%),23.36 (0%),10.49 (0%),,7.56 (0%),8.25 (0%),7.62 (0%),
벤츠,574.42 (1%),607.40 (1%),,143.60 (1%),519.45 (1%),56.64 (1%),,133.30 (1%),289.27 (2%),97.04 (1%),
비보,133.30 (0%),140.86 (0%),,38.48 (0%),68.71 (0%),38.46 (1%),,28.86 (0%),35.73 (0%),22.18 (0%),
삼성디스플레이,1757.55 (4%),1763.93 (4%),,320.20 (2%),1464.98 (4%),276.86 (4%),,610.65 (5%),401.67 (3%),295.86 (3%),
삼성전자,6810.58 (15%),7569.15 (17%),,2830.87 (18%),5297.58 (15%),1134.27 (15%),,1813.27 (14%),1662.79 (14%),1371.74 (15%),
샤오미,617.71 (1%),601.22 (1%),,,339.43 (1%),606.29 (8%),,125.74 (1%),156.66 (1%),129.62 (1%),138.49 (3%)
샤오펑,45.35 (0%),41.23 (0%),,10.31 (0%),43.29 (0%),6.99 (0%),,17.18 (0%),21.99 (0%),8.32 (0%),
샤프,85.20 (0%),74.21 (0%),,32.29 (0%),58.40 (0%),21.68 (0%),148.17 (3%),,23.36 (0%),36.74 (0%),
선익시스템,65.27 (0%),57.03 (0%),,6.18 (0%),55.66 (0%),5.59 (0%),,20.61 (0%),8.93 (0%),8.32 (0%),
세미파이브,19.93 (0%),19.24 (0%),,6.18 (0%),17.86 (0%),1.40 (0%),,4.81 (0%),2.75 (0%),3.47 (0%),
소니,250.79 (1%),236.36 (1%),,72.15 (0%),155.29 (0%),123.78 (2%),,63.21 (1%),81.08 (1%),70.70 (1%),
아마존,724.21 (2%),591.60 (1%),,252.85 (2%),492.65 (1%),111.89 (1%),,224.00 (2%),132.61 (1%),146.25 (2%),
알파벳,256.29 (1%),206.82 (0%),,56.34 (0%),166.28 (0%),44.76 (1%),34.57 (1%),64.59 (1%),,27.73 (0%),
애플,2466.71 (5%),2414.49 (6%),,854.76 (5%),1585.15 (5%),402.10 (5%),,579.92 (5%),579.23 (5%),463.02 (5%),
엔비디아,2952.49 (6%),2825.38 (6%),,1100.05 (7%),2182.25 (6%),653.85 (9%),,805.29 (6%),682.30 (6%),534.42 (6%),
오포,182.08 (0%),199.26 (0%),,31.61 (0%),109.94 (0%),54.55 (1%),,38.48 (0%),43.97 (0%),35.35 (0%),
원익IPS,194.45 (0%),180.02 (0%),,30.23 (0%),247.36 (1%),17.48 (0%),,65.96 (1%),35.73 (0%),38.12 (0%),
인텔,991.49 (2%),878.81 (2%),,553.12 (4%),752.38 (2%),,,245.98 (2%),281.71 (2%),234.28 (3%),118.19 (3%)
카카오,546.94 (1%),500.90 (1%),,244.61 (2%),441.81 (1%),74.83 (1%),,175.90 (1%),141.54 (1%),124.07 (1%),
퀄컴,773.68 (2%),849.26 (2%),,248.04 (2%),666.49 (2%),,,192.39 (2%),254.92 (2%),178.14 (2%),97.89 (2%)
텐센트,47.41 (0%),32.98 (0%),,19.24 (0%),19.24 (0%),13.99 (0%),9.88 (0%),11.68 (0%),,9.01 (0%),
폭스바겐,452.80 (1%),371.72 (1%),,78.33 (0%),520.14 (1%),61.54 (1%),,154.60 (1%),181.40 (2%),102.59 (1%),
퓨리오사,10.31 (0%),10.99 (0%),,1.37 (0%),6.18 (0%),3.50 (0%),,2.75 (0%),1.37 (0%),,1.45 (0%)
하이센스,296.83 (1%),311.95 (1%),,82.45 (1%),150.48 (0%),56.64 (1%),,41.23 (0%),72.15 (1%),42.98 (0%),
하이얼,24.74 (0%),18.55 (0%),,3.44 (0%),14.43 (0%),4.90 (0%),,8.25 (0%),4.12 (0%),6.24 (0%),
한미반도체,219.19 (0%),216.44 (0%),,39.85 (0%),230.87 (1%),20.98 (0%),,65.96 (1%),35.73 (0%),33.27 (0%),
한화솔루션,129.18 (0%),122.30 (0%),,21.99 (0%),160.78 (0%),16.08 (0%),,44.66 (0%),34.36 (0%),27.73 (0%),
한화시스템,236.36 (1%),216.44 (0%),,41.23 (0%),251.48 (1%),32.17 (0%),,87.95 (1%),63.21 (1%),40.90 (0%),
현대모비스,633.51 (1%),556.55 (1%),,106.50 (1%),751.01 (2%),,71.26 (2%),223.31 (2%),192.39 (2%),162.89 (2%),
현대자동차,927.59 (2%),821.78 (2%),,217.13 (1%),825.21 (2%),184.62 (2%),,426.01 (3%),298.89 (3%),197.55 (2%),
화웨이,419.82 (1%),415.70 (1%),,66.65 (0%),319.50 (1%),149.65 (2%),,116.81 (1%),85.20 (1%),75.55 (1%),
