org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
NH투자증권을,4,2,5,4,4,3,7,7,7,4
NPU,1,2,0,0,1,2,1,1,3,3
ODM,3,4,2,1,5,3,8,3,3,7
OEM,3,4,2,1,5,3,8,3,3,7
OEM과의,6,0,4,4,5,7,3,7,4,3
OLED,191,61,214,153,97,166,204,133,186,144
OLED가,3,0,6,4,4,5,7,4,8,7
OLED를,10,0,13,7,1,10,8,4,12,6
OLED와,3,0,6,4,3,5,7,2,6,2
OSRAM,14,2,7,6,5,6,4,6,6,6
OSRAM은,22,4,11,9,7,8,6,8,9,10
Origin,2,8,1,3,2,4,3,2,6,5
P-Complex,3,1,1,0,0,0,3,1,1,4
PC,2,7,3,4,1,4,4,3,4,4
PD,3,8,3,3,1,2,3,2,2,3
PECVD,7,0,9,2,2,2,4,5,3,2
PLPM7,15,3,7,6,4,5,4,5,6,7
PMI,0,0,1,2,1,1,1,2,1,1
PS,2,0,1,2,0,0,1,0,6,3
Pin,12,5,4,2,0,2,15,3,8,21
Power,22,4,11,9,7,8,6,8,9,10
Powered,4,0,3,4,2,3,4,2,5,5
ProArt,3,8,3,3,1,2,3,2,2,3
QD-OLED,6,9,11,7,3,6,7,4,7,6
QHD,4,8,4,3,1,2,3,0,2,3
ROG,5,9,5,4,1,3,4,0,2,3
RPG,2,7,3,4,1,4,4,3,4,4
S23은,4,2,3,4,0,3,2,0,4,6
SAF,8,5,7,5,7,10,7,10,10,9
SDC,4,2,5,4,4,3,7,7,7,4
SF,2,3,0,3,3,2,2,3,4,4
SK,5,1,2,2,6,2,4,3,4,3
SKT,7,4,7,6,7,4,7,6,8,8
SK그룹,5,1,2,2,6,2,4,3,4,3
SK하이닉스,12,3,9,11,11,5,15,10,22,12
SK하이닉스는,1,0,1,2,0,0,1,0,5,1
SOL뱅크,0,0,0,30,5,0,0,0,5,5
SSG,0,0,1,6,4,1,2,3,2,2
STAR,4,15,4,7,3,8,7,5,10,9
STEM,1,3,0,1,4,3,1,1,5,4
SUV,17,8,17,11,6,11,10,11,9,14
Shot,12,5,4,2,0,2,15,3,8,21
Silicon,9,6,9,9,5,10,10,1,9,7
Strix,5,9,5,4,1,3,4,0,2,3
Sync,4,8,4,3,1,2,3,0,2,3
TFT,6,0,8,3,0,4,3,3,5,3
TFT-LCD,6,5,7,3,6,3,5,7,8,9
TFT가,6,0,8,3,0,4,3,3,5,3
TGV,9,2,9,4,4,6,7,7,8,6
TSMC,9,7,7,5,8,12,8,11,13,12
Technology,6,5,7,3,6,3,5,7,8,9
The,1,0,0,0,1,0,3,0,1,1
Type-C,3,8,3,3,1,2,3,2,2,3
UHD,3,8,3,3,1,2,3,2,2,3
USB,7,16,7,6,2,4,6,2,4,6
UX,1,3,0,1,4,3,1,1,5,4
V-Labs,3,4,2,1,5,3,8,3,3,7
V5,29,0,34,10,8,11,18,16,14,10
VESA,7,16,7,6,2,4,6,2,4,6
VLabs,3,4,2,1,5,3,8,3,3,7
Vegalas,7,1,3,3,2,3,2,3,3,3
VegalasTM,15,3,8,6,5,5,4,5,6,7
Visionox,22,0,25,8,6,9,14,11,11,8
WOLED,2,1,7,4,2,4,4,4,5,3
Wall,1,0,0,0,1,0,3,0,1,1
X2,1,2,0,0,1,2,1,1,3,3
X7,12,4,12,6,0,6,4,8,4,10
