org,topic_0,topic_1,topic_10,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
Semiconductor,40.59 (0%),28.20 (0%),,16.51 (0%),24.26 (0%),6.93 (0%),9.08 (0%),3.98 (0%),12.45 (0%),,
TCL,584.05 (3%),543.46 (3%),,227.02 (3%),164.97 (2%),118.53 (2%),,75.68 (3%),55.64 (2%),46.54 (2%),
TSMC,165.79 (1%),99.06 (1%),,75.67 (1%),131.70 (1%),47.13 (1%),24.97 (1%),20.71 (1%),,14.50 (0%),
Tianma,65.35 (0%),52.97 (0%),,13.07 (0%),11.09 (0%),5.55 (0%),6.81 (0%),,9.52 (0%),6.10 (0%),
Toray,9.63 (0%),6.19 (0%),,5.50 (0%),4.85 (0%),3.47 (0%),3.03 (0%),1.59 (0%),,1.53 (0%),
UDC,28.20 (0%),23.39 (0%),,6.19 (0%),4.85 (0%),2.08 (0%),2.27 (0%),3.19 (0%),8.79 (0%),,
UL,76.36 (0%),73.61 (0%),,34.40 (0%),33.96 (0%),19.41 (0%),7.57 (0%),3.19 (0%),13.91 (0%),,
V2X,88.05 (0%),62.60 (0%),,25.45 (0%),47.13 (1%),13.86 (0%),6.05 (0%),7.17 (0%),10.98 (0%),,
Visionox,93.56 (0%),78.42 (0%),,12.38 (0%),22.18 (0%),10.40 (0%),4.54 (0%),,17.57 (1%),6.87 (0%),
구글,539.57 (2%),424.00 (2%),,405.22 (5%),290.39 (3%),279.48 (5%),85.00 (2%),84.48 (3%),,115.36 (4%),
기아,224.95 (1%),158.91 (1%),,114.20 (1%),176.75 (2%),114.37 (2%),161.91 (5%),,41.00 (1%),70.19 (2%),
기아자동차,21.33 (0%),15.13 (0%),,9.63 (0%),15.25 (0%),7.62 (0%),18.16 (1%),3.98 (0%),2.93 (0%),,
기아차,2.75 (0%),1.38 (0%),,2.75 (0%),1.39 (0%),1.39 (0%),3.78 (0%),,,0.76 (0%),
네이버,308.19 (1%),242.84 (1%),,209.82 (2%),160.81 (2%),159.42 (3%),96.84 (3%),47.00 (2%),,117.49 (4%),
니오,4.13 (0%),2.75 (0%),0.87 (0%),3.44 (0%),1.39 (0%),0.69 (0%),3.03 (0%),,1.46 (0%),,
도우인시스,2.75 (0%),2.06 (0%),,0.69 (0%),1.39 (0%),0.69 (0%),,,0.73 (0%),,
두산로보틱스,47.47 (0%),33.02 (0%),,17.20 (0%),46.44 (0%),11.78 (0%),13.62 (0%),,6.59 (0%),,6.63 (1%)
디지타임스,13.76 (0%),9.63 (0%),,4.13 (0%),6.24 (0%),3.47 (0%),,,2.20 (0%),1.53 (0%),
딥엑스,2.06 (0%),1.38 (0%),,0.69 (0%),1.39 (0%),0.69 (0%),,0.80 (0%),,,
레노버,31.64 (0%),28.20 (0%),,10.32 (0%),6.24 (0%),4.16 (0%),4.54 (0%),1.59 (0%),5.13 (0%),,
리벨리온,19.95 (0%),15.13 (0%),,8.94 (0%),8.32 (0%),7.62 (0%),3.78 (0%),2.39 (0%),,3.81 (0%),
리오토,6.19 (0%),5.50 (0%),,2.06 (0%),1.39 (0%),3.47 (0%),6.81 (0%),,0.73 (0%),1.53 (0%),
마이크로소프트,251.09 (1%),159.60 (1%),,177.48 (2%),212.10 (2%),96.35 (2%),35.56 (1%),20.71 (1%),,18.31 (1%),
메타,421.40 (2%),286.62 (1%),,263.59 (3%),274.18 (2%),157.29 (2%),,38.52 (1%),52.66 (1%),39.73 (1%),
미디어텍,33.71 (0%),26.14 (0%),,12.38 (0%),17.33 (0%),9.70 (0%),2.27 (0%),3.98 (0%),,3.81 (0%),
바이두,13.76 (0%),10.32 (0%),,6.88 (0%),9.01 (0%),4.16 (0%),1.51 (0%),1.59 (0%),,3.05 (0%),
벤츠,38.52 (0%),27.52 (0%),,21.33 (0%),14.56 (0%),20.79 (0%),38.59 (1%),9.56 (0%),,17.55 (1%),
비보,57.79 (0%),43.34 (0%),,6.88 (0%),11.09 (0%),6.24 (0%),3.78 (0%),3.19 (0%),9.52 (0%),,
삼성디스플레이,1541.64 (7%),1339.39 (8%),,329.52 (4%),332.02 (4%),228.05 (4%),184.60 (6%),,317.02 (11%),112.15 (4%),
삼성전자,3430.00 (17%),3030.31 (18%),,1309.12 (15%),1450.06 (15%),941.99 (16%),452.43 (14%),478.75 (19%),,598.91 (21%),
샤오미,266.23 (1%),223.58 (1%),,85.99 (1%),67.24 (1%),64.46 (1%),46.91 (1%),,30.75 (1%),22.13 (1%),
샤오펑,25.45 (0%),24.08 (0%),,13.76 (0%),13.17 (0%),18.02 (0%),32.53 (1%),,4.39 (0%),3.05 (0%),
샤프,46.09 (0%),42.65 (0%),,13.07 (0%),11.78 (0%),7.62 (0%),10.59 (0%),5.58 (0%),8.79 (0%),,
선익시스템,49.53 (0%),42.65 (0%),,6.88 (0%),18.02 (0%),4.85 (0%),3.78 (0%),,10.98 (0%),0.76 (0%),
세미파이브,11.69 (0%),8.94 (0%),0.87 (0%),7.57 (0%),6.24 (0%),4.16 (0%),,1.59 (0%),,1.53 (0%),
소니,89.43 (0%),82.55 (0%),,36.46 (0%),22.87 (0%),22.87 (0%),14.37 (0%),12.75 (1%),12.45 (0%),,
아마존,157.54 (1%),92.91 (0%),13.35 (2%),101.80 (1%),146.53 (1%),58.61 (1%),21.32 (1%),,,21.50 (1%),
아이씨디,29.58 (0%),19.95 (0%),,2.75 (0%),18.71 (0%),2.08 (0%),5.30 (0%),,7.32 (0%),,
알파벳,101.13 (0%),42.65 (0%),,70.86 (1%),109.52 (1%),29.81 (1%),10.59 (0%),3.98 (0%),,4.58 (0%),
애플,1462.53 (7%),1109.62 (7%),,655.59 (8%),642.55 (7%),377.77 (6%),193.68 (6%),,191.82 (7%),194.55 (7%),
엔비디아,555.91 (2%),341.25 (2%),,308.23 (3%),440.50 (4%),182.22 (3%),60.53 (2%),55.54 (2%),,81.97 (2%),
오포,79.11 (0%),67.42 (0%),,17.20 (0%),18.71 (0%),12.48 (0%),8.32 (0%),6.37 (0%),15.38 (1%),,
원익IPS,72.23 (0%),46.78 (0%),,16.51 (0%),67.93 (1%),8.32 (0%),6.05 (0%),6.37 (0%),11.71 (0%),,
인텔,294.83 (1%),222.47 (1%),,125.48 (1%),144.27 (1%),74.46 (1%),33.86 (1%),28.52 (1%),43.42 (1%),,
카카오,137.59 (1%),101.13 (1%),,81.86 (1%),92.19 (1%),73.47 (1%),33.29 (1%),,19.77 (1%),65.61 (2%),
퀄컴,272.42 (1%),214.63 (1%),,152.03 (2%),158.04 (2%),90.80 (2%),46.91 (1%),49.39 (2%),,48.83 (2%),
텐센트,19.95 (0%),14.45 (0%),,11.01 (0%),11.09 (0%),6.24 (0%),3.03 (0%),,1.46 (0%),4.58 (0%),
폭스바겐,99.75 (0%),66.73 (0%),,55.03 (1%),90.11 (1%),42.98 (1%),74.90 (2%),11.95 (0%),,19.07 (1%),
퓨리오사AI,4.13 (0%),2.75 (0%),,2.75 (0%),2.08 (0%),1.39 (0%),,0.80 (0%),,,
하이센스,362.54 (2%),365.29 (2%),,123.14 (1%),90.11 (1%),84.56 (1%),34.80 (1%),44.61 (2%),29.29 (1%),,
하이얼,77.74 (0%),71.54 (0%),,29.58 (0%),22.87 (0%),24.26 (0%),6.05 (0%),7.17 (0%),5.13 (0%),,
한미반도체,89.43 (0%),56.41 (0%),,29.58 (0%),78.33 (1%),23.57 (0%),6.05 (0%),6.37 (0%),13.18 (0%),,
한화,244.21 (1%),180.92 (1%),,215.32 (3%),142.79 (2%),83.87 (1%),,206.31 (8%),,129.70 (4%),40.91 (6%)
한화솔루션,29.58 (0%),17.20 (0%),,8.94 (0%),24.26 (0%),4.16 (0%),3.03 (0%),,5.86 (0%),2.29 (0%),
한화시스템,110.07 (1%),75.67 (0%),,51.59 (1%),95.65 (1%),33.27 (1%),27.24 (1%),,19.77 (1%),21.36 (1%),
현대모비스,173.60 (1%),115.00 (1%),,69.59 (1%),152.78 (2%),42.07 (1%),62.84 (2%),78.03 (3%),,33.31 (1%),
현대자동차,178.17 (1%),130.71 (1%),,85.30 (1%),137.94 (1%),85.26 (1%),105.16 (3%),,43.93 (2%),37.38 (1%),
현대차,429.95 (2%),303.38 (2%),,265.54 (3%),308.45 (3%),328.55 (6%),227.73 (7%),,97.38 (3%),116.73 (4%),
화웨이,167.85 (1%),131.39 (1%),,51.59 (1%),64.46 (1%),35.35 (1%),21.18 (1%),28.68 (1%),26.36 (1%),,
