org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11
IT,3,5,5,2,5,5,5,4,4,5,6,1
KBL,0,0,0,0,0,0,0,1,1,0,0,1
KCC,0,0,0,0,0,0,0,0,5,3,0,2
KCL,1,0,0,0,0,1,1,1,0,1,0,0
Korea,2,2,0,0,1,2,1,1,2,1,1,5
KT,0,1,1,0,1,0,2,2,6,4,1,3
la,0,1,1,3,2,2,1,2,3,3,0,0
Laser,4,1,4,1,2,1,5,3,1,2,3,1
LCD,0,0,0,0,0,1,0,0,1,1,0,0
LCK,0,2,0,1,4,2,2,2,4,3,2,1
LCoS,1,1,1,2,0,5,3,0,0,2,2,0
le,0,1,1,3,2,2,1,2,3,3,0,0
LED,3,5,1,14,4,5,9,3,4,6,4,0
les,0,1,1,3,2,2,1,2,3,3,0,0
LF,0,1,0,2,1,2,0,0,2,1,0,0
LG,1,2,0,0,4,2,2,2,8,6,3,3
LG디스플레,18,7,19,11,12,7,22,12,5,8,20,1
LG디스플레이,13,7,17,8,9,3,18,8,2,7,20,1
LG디스플레이에,1,1,5,3,1,0,4,2,0,1,5,0
LG생활건강,2,1,0,1,1,1,0,1,1,0,1,0
LG유플러스,0,1,0,0,0,1,0,1,0,0,0,0
LG전자,1,1,3,3,0,2,2,2,0,1,2,1
LLO,3,1,3,1,1,0,5,3,0,1,3,1
LTOM,2,3,5,2,6,3,8,4,0,3,8,0
LTPO,1,2,4,1,2,0,6,4,0,1,6,0
LTPS,1,1,3,1,2,0,5,3,0,1,4,0
LX세미콘,1,2,1,2,0,1,4,1,2,2,4,3
MBC,2,0,1,0,1,0,0,1,1,2,0,0
Micro-LED,2,5,2,15,5,4,11,3,6,6,5,0
MMCA,1,0,1,1,0,0,1,1,0,0,1,0
Mobility,0,2,0,0,1,6,4,0,1,3,2,0
MoMA,0,3,1,0,2,3,1,2,3,2,1,0
MyV,0,1,1,3,2,2,1,2,3,3,0,0
NAVER,1,2,3,1,3,3,3,2,2,2,3,1
NB,0,1,0,10,2,1,0,0,1,0,0,0
NH투자증권,1,2,3,1,3,3,3,2,2,2,3,1
of,2,2,0,4,2,2,2,1,1,2,1,0
OGF,0,3,0,0,1,3,2,1,1,1,3,1
OLED,45,26,63,32,29,19,69,39,12,27,62,8
on,2,2,2,4,1,10,6,0,1,5,4,0
OTFT,1,1,3,2,0,2,3,0,0,0,2,1
P-Complex,0,1,0,5,1,1,0,0,1,0,0,0
PBR,0,0,0,0,1,1,1,1,2,1,0,0
PC,1,5,2,3,3,5,4,4,5,4,3,0
Pin,0,3,0,24,5,3,0,0,3,3,0,0
RIIZE,0,0,0,1,0,0,0,0,1,0,0,0
ROG,1,1,4,3,1,3,2,1,2,3,2,0
RPG,1,1,2,1,0,1,2,2,0,0,2,0
SafeMate,0,2,0,0,1,6,4,0,1,3,2,0
Samsung,2,2,0,4,2,2,2,1,1,2,1,0
Semicon,2,2,0,0,1,2,1,1,2,1,1,5
Shot,0,3,0,24,5,3,0,0,3,3,0,0
signage,2,2,0,4,2,2,2,1,1,2,1,0
Silicon,2,2,2,4,1,10,6,0,1,5,4,0
SK,0,0,0,0,0,0,0,0,3,2,0,1
SK그룹,1,2,0,0,4,2,2,2,2,2,3,1
SK텔레콤,0,1,1,0,1,1,2,0,1,1,1,1
SK하이닉스,1,3,1,1,3,2,6,0,4,5,3,3
Strix,1,1,4,3,1,3,2,1,2,3,2,0
structure,0,1,1,3,2,2,1,2,3,3,0,0
sur,0,1,1,3,2,2,1,2,3,3,0,0
TFT,1,1,3,1,2,0,5,3,0,1,4,0
the,2,3,1,7,4,4,3,3,4,5,1,0
to,2,3,1,7,4,4,3,3,4,5,1,0
TOP,1,0,0,0,0,0,0,1,1,0,1,0
Toyota,2,2,0,4,2,2,2,1,1,2,1,0
UI,0,0,0,0,3,0,0,0,1,1,0,0
une,0,1,1,3,2,2,1,2,3,3,0,0
V-Labs,0,1,1,3,2,2,1,2,3,3,0,0
VR헤드셋,0,3,0,1,2,2,2,0,3,4,2,1
W-OLED,1,1,5,2,1,1,3,2,0,2,3,0
WSJ,0,4,0,0,2,0,1,1,3,4,1,0
XG27AQDPG,1,1,4,3,1,3,2,1,2,3,2,0
XR,0,3,0,1,2,2,2,0,3,4,2,1
가격,1,5,4,3,4,4,6,4,4,3,3,1
가격으로,2,2,3,0,0,8,6,0,2,0,4,0
가능성,5,1,2,1,3,0,3,2,2,1,3,0
가능하다.,0,0,0,0,0,1,0,0,1,1,0,0
가능하며,0,0,0,1,0,0,0,0,1,0,0,0
가민,0,1,0,5,1,2,3,1,1,3,1,0
가운데,0,1,1,0,2,1,4,3,1,1,1,1
가을,0,1,0,3,1,2,0,0,3,1,0,0
가장,2,10,3,5,5,7,7,5,9,9,6,1
가전,2,2,0,0,0,0,1,1,1,1,1,5
가졌다.,1,1,0,0,1,0,1,0,1,1,1,0
가족들,1,1,0,0,1,0,1,0,1,1,1,0
가족초청행사,1,1,0,0,1,0,1,0,1,1,1,0
가진,0,4,0,0,2,0,1,1,3,4,1,0
가치,1,0,1,1,0,2,1,0,0,1,1,0
감가상각비,2,2,4,2,1,0,4,1,0,1,5,0
감독,0,1,0,0,0,0,0,1,10,6,0,3
감소,1,1,3,1,1,0,3,1,0,1,5,0
강력한,1,4,1,1,1,1,3,2,2,3,2,0
강세장,0,0,0,0,1,1,1,1,2,1,0,0
강주현,2,2,0,0,0,0,1,1,1,1,1,5
같다.,0,0,0,0,0,0,0,1,1,0,0,1
같은,3,9,6,13,7,5,12,5,9,6,7,1
개발,4,5,0,0,0,1,3,2,2,3,2,10
개성,0,0,0,0,0,0,1,1,0,0,0,0
개인,0,0,1,1,1,2,1,0,3,2,0,0
개최된,1,0,0,0,0,1,0,1,0,2,0,5
개편,0,0,0,0,3,1,0,0,1,1,0,0
갤럭시,0,8,0,1,5,2,4,2,5,6,4,1
갤럭시Z,1,4,1,1,1,1,2,1,2,3,2,0
거래,0,0,0,0,0,0,1,0,0,1,0,0
거실,1,1,3,3,0,2,2,2,0,1,2,1
건강한,1,1,0,0,1,0,1,0,1,1,1,0
건축,1,1,1,1,0,0,1,1,1,1,0,0
검사장비,1,1,0,0,1,0,3,0,1,2,1,1
것으로,18,29,21,19,21,17,41,15,17,27,33,13
것이란,0,0,0,0,1,1,1,1,2,1,0,0
게이머들,1,1,2,1,0,1,2,2,0,0,2,0
게이밍,2,4,6,4,1,4,4,4,2,4,4,0
게임,3,5,6,4,1,5,6,9,2,2,6,0
게임들,1,0,0,0,0,0,0,1,1,0,1,0
게임쇼,1,3,2,1,0,1,2,3,0,1,2,0
결국,0,0,0,0,2,1,0,0,1,0,0,0
경기,1,1,0,0,0,1,0,2,5,5,0,6
경기에서,0,0,0,0,0,0,0,1,1,0,0,1
경량,0,1,0,2,1,2,0,0,2,1,0,0
경영,2,0,1,0,5,1,1,2,1,3,0,2
경우,0,1,0,2,3,4,3,2,2,4,1,1
경쟁률,0,1,0,1,1,1,1,0,2,2,1,1
경정,0,1,0,0,0,1,0,1,0,0,0,0
경험,1,1,3,3,0,2,2,2,0,1,2,1
계약,1,1,2,1,1,2,5,0,0,1,5,1
계약학과,0,1,0,1,1,1,1,0,2,2,1,1
계획이다.,0,1,0,0,1,1,1,1,1,1,1,0
고객사,2,2,2,4,1,10,6,0,1,5,4,0
고려대,0,1,0,1,1,1,1,0,2,2,1,1
공공기관,1,1,2,0,0,5,3,0,1,0,2,0
공급,10,5,9,5,8,9,20,6,4,9,14,8
공급망,0,2,0,7,4,6,6,3,3,7,2,1
공급키로,3,1,4,1,1,1,5,3,0,1,3,1
공식,0,1,1,0,2,2,3,3,0,1,2,0
공연,1,1,0,0,1,0,1,0,1,1,1,0
공정,1,1,3,1,2,0,5,3,0,1,4,0
과정에서,0,1,0,0,0,1,0,1,0,0,0,0
과천,1,0,1,1,0,0,1,1,0,0,1,0
관계,1,0,1,1,0,2,1,0,0,1,1,0
관광객,3,4,4,2,4,4,3,4,3,4,5,0
관람객,1,1,2,1,0,1,2,2,0,0,2,0
관련,1,2,3,3,1,3,4,0,2,2,3,2
관리하,0,1,0,5,1,1,0,0,1,0,0,0
관세,0,0,0,0,1,1,2,1,0,0,0,0
관심,0,2,0,1,1,4,3,0,2,3,2,1
관장,0,3,1,0,2,3,1,2,3,2,1,0
광고,1,2,3,1,3,3,3,2,2,2,3,1
광학,2,2,2,4,1,10,6,0,1,5,4,0
광학필터,0,3,0,0,1,3,2,1,1,1,3,1
교수,2,0,1,0,1,0,0,1,1,2,0,0
교육,1,0,0,0,0,1,1,1,0,1,0,0
구광모,1,2,0,0,4,2,2,2,2,2,3,1
구글,1,0,0,0,0,0,0,1,1,0,1,0
구동,1,3,4,1,3,1,6,3,1,3,5,0
구상,2,0,1,0,5,1,1,2,1,3,0,2
구상에,2,0,1,0,5,1,1,2,1,3,0,2
구현,1,1,3,3,0,2,2,2,0,1,2,1
국립현대미술관,1,0,1,1,0,0,1,1,0,0,1,0
국산,2,3,0,0,0,1,2,1,1,2,1,5
규모,9,5,10,5,5,3,17,8,3,6,13,5
규모로,2,4,2,10,4,2,8,2,5,3,4,0
그러나,0,5,0,0,3,4,3,2,3,4,2,0
그런,0,0,0,0,0,0,0,1,1,0,0,1
그룹,3,5,5,2,10,5,10,6,2,5,11,1
글라스,0,4,0,1,2,2,2,0,3,3,1,0
글래스,0,4,0,0,2,0,1,1,3,4,1,0
글렌,0,3,1,0,2,3,1,2,3,2,1,0
금지,3,2,1,2,2,7,5,0,2,5,3,5
기관,0,1,1,0,1,0,2,2,1,1,1,1
기기,0,12,0,1,6,5,5,2,8,10,3,0
기념식,5,1,2,1,3,0,3,2,2,1,3,0
기능,1,1,4,3,1,3,2,1,2,3,2,0
기반,0,4,0,0,2,6,4,1,2,3,4,1
기반으로,2,3,5,2,6,3,8,4,0,3,8,0
기본기,0,0,0,0,0,1,0,0,1,1,0,0
기사등록,1,2,1,2,0,1,4,1,2,2,4,3
기아,0,1,1,0,1,1,2,0,1,1,1,1
기업들,4,3,1,0,3,3,2,2,1,4,1,10
기업인,2,1,0,1,1,1,0,1,1,0,1,0
기업지원,1,1,3,2,0,2,3,0,0,0,2,1
기자,3,5,1,7,2,6,6,1,3,4,5,8
기자회견,0,1,0,0,1,1,1,1,1,1,1,0
기존,0,0,0,0,3,0,0,0,1,1,0,0
김보라,0,1,0,5,1,1,0,0,1,0,0,0
김선형,0,0,0,0,0,0,0,0,5,3,0,2
김성희,1,0,1,1,0,0,1,1,0,0,1,0
김효범,0,1,0,0,0,0,0,0,3,2,0,0
나라장터,2,2,3,0,0,8,6,0,2,0,4,0
나인투파이브맥,0,3,0,0,1,0,1,1,1,2,1,0
남궁영진,0,1,0,0,0,3,2,0,0,1,1,0
납품,1,1,5,2,1,1,3,2,0,2,3,0
낮은,0,0,0,0,1,1,1,1,2,1,0,0
내구성,1,4,1,1,1,1,2,1,2,3,2,0
내년,7,7,9,6,7,1,12,6,3,6,13,0
내놓,0,3,0,0,1,0,1,1,1,2,1,0
내부,0,2,1,0,1,1,1,0,1,2,1,0
넘어,1,3,2,1,2,5,2,2,3,3,2,0
넷마블,1,1,2,2,1,3,2,4,2,1,2,0
노동조합,0,1,0,0,1,1,1,1,1,1,1,0
노브,0,0,0,0,0,1,0,0,1,1,0,0
노트북,2,2,3,0,0,8,6,0,2,0,4,0
높은,0,4,0,7,6,5,6,3,7,8,4,2
뉴로메카,2,3,5,2,6,3,8,4,0,3,8,0
뉴삼성,3,2,2,1,4,3,4,2,2,4,4,1
뉴시스,3,2,1,2,2,7,5,0,2,5,3,5
다만,4,1,4,1,2,1,4,2,0,1,5,1
다시,3,2,2,1,4,3,4,2,2,4,4,1
다양한,2,1,2,2,1,3,4,2,2,2,2,0
다음,0,4,0,1,2,2,2,0,3,3,1,0
단독,10,3,11,3,7,2,15,9,3,5,9,3
단순,1,0,1,1,0,2,1,0,0,1,1,0
달라진,3,2,2,1,4,3,4,2,2,4,4,1
달러,0,0,0,0,0,0,1,0,0,1,0,0
대규모,1,0,0,0,0,0,0,1,1,0,1,0
대기업,0,1,0,1,1,1,1,0,2,2,1,1
대비,3,4,14,7,4,2,13,7,1,4,16,1
대상으로,2,2,2,4,1,10,6,0,1,5,4,0
대신증권,3,3,13,7,3,2,11,5,0,3,15,0
대우건설,1,1,1,1,0,0,1,1,1,1,0,0
대응,0,1,0,0,1,3,2,0,1,2,1,0
대전,0,0,0,0,0,0,0,0,1,1,0,0
대표,5,7,5,4,6,8,5,5,6,7,6,5
대표이사,1,1,1,0,0,3,3,0,1,0,2,0
대한,1,6,1,0,7,2,4,1,6,7,3,1
대형,3,3,12,6,2,4,9,6,0,3,10,0
더벤티,0,1,0,2,1,2,0,0,2,1,0,0
더본코리아,0,2,0,1,4,2,2,2,4,3,2,1
더블트리,1,0,0,0,0,1,0,1,0,2,0,5
더욱,0,0,0,0,3,0,0,0,1,1,0,0
더존비즈온,0,1,1,0,1,1,2,0,1,1,1,1
덕수궁,1,0,1,1,0,0,1,1,0,0,1,0
데이터센터,1,2,0,0,4,2,2,2,2,2,3,1
덱스,1,4,1,1,1,1,2,1,2,3,2,0
도심,1,1,1,1,0,0,1,1,1,1,0,0
도쿄게임쇼,1,1,2,2,1,3,2,4,2,1,2,0
동시에,0,2,0,0,1,6,4,0,1,3,2,0
되어,0,0,0,0,0,0,1,1,0,0,0,0
두께,0,3,0,0,1,0,1,1,1,2,1,0
두산밥캣,2,1,2,2,1,2,4,2,1,1,2,0
드러냈다.,0,1,0,0,0,0,0,0,3,2,0,0
등에서,1,2,3,1,3,3,3,2,2,2,3,1
등을,2,3,2,3,5,4,6,4,5,4,4,1
등이,0,4,1,1,3,2,4,2,4,5,3,2
등판합니다.,0,0,0,0,0,0,0,0,1,1,0,0
디바이스,0,1,0,9,2,0,0,0,1,1,0,0
디스플레,25,15,23,23,14,13,39,16,8,15,29,4
디스플레이에서,0,2,1,0,1,1,1,0,1,2,1,0
디자인,0,3,1,0,2,3,1,2,3,2,1,0
따돌릴,5,1,2,1,3,0,3,2,2,1,3,0
따르면,0,1,0,5,1,2,3,1,1,3,1,0
라스트,1,0,0,0,0,0,0,1,1,0,1,0
라온텍,2,2,2,4,1,10,6,0,1,5,4,0
라이즈,0,0,0,1,0,0,0,0,1,0,0,0
라이즈픽,0,0,0,1,0,0,0,0,1,0,0,0
라인,4,2,8,3,5,1,8,5,2,4,6,1
란겔이,0,0,0,0,0,0,0,1,1,0,0,1
랜드마크,1,1,1,1,0,0,1,1,1,1,0,0
런칭,0,0,0,0,0,0,1,1,0,0,0,0
레이저,6,2,6,2,5,0,10,6,2,3,6,2
로레알,2,1,0,1,1,1,0,1,1,0,1,0
로리,0,3,1,0,2,3,1,2,3,2,1,0
로봇,2,3,5,2,6,3,8,4,0,3,8,0
로이슈,0,1,0,2,1,2,0,0,2,1,0,0
루이리스,1,1,1,1,0,0,1,1,1,1,0,0
류현진,0,0,0,0,0,0,0,0,1,1,0,0
리드,0,0,0,0,1,1,2,1,0,0,0,0
리뷰,0,0,0,0,5,2,0,0,2,1,0,0
리얼리티랩스,0,4,0,0,2,3,2,1,2,3,1,0
리프팅,0,1,0,14,3,0,0,0,1,2,0,0
마비노기,1,0,0,0,0,0,0,1,1,0,1,0
마에스트로,0,1,0,2,1,2,0,0,2,1,0,0
마운트,0,0,0,0,0,1,0,0,1,1,0,0
마이크로,1,3,1,10,2,3,7,2,3,4,3,0
마이크로디스플레,2,2,2,4,1,10,6,0,1,5,4,0
마쳤다.,0,0,0,0,0,0,1,0,0,1,0,0
마케팅,2,1,0,1,1,1,0,1,1,0,1,0
많이,0,0,0,0,0,0,0,1,1,0,0,1
많지,0,1,0,2,3,4,3,2,2,4,1,1
말했다.,2,2,0,0,0,0,1,1,4,3,1,6
매수,1,2,3,1,3,3,3,2,2,2,3,1
매장,0,1,0,0,0,1,0,1,0,0,0,0
매출,2,2,7,4,2,2,9,2,0,2,10,1
매치,0,0,0,0,0,0,0,1,1,0,0,1
멀티태스킹,0,2,1,0,1,1,1,0,1,2,1,0
메가MGC커피,0,0,0,1,0,0,0,0,1,0,0,0
메뉴,0,0,0,1,0,0,0,0,1,0,0,0
메모리,1,5,4,3,3,3,4,3,4,3,3,1
메세나,1,0,1,1,0,2,1,0,0,1,1,0
메시지,3,2,2,1,4,3,4,2,2,4,4,1
메인,0,4,1,0,1,0,2,1,1,2,3,0
메타,2,18,2,8,12,21,16,4,14,23,10,2
메타버스,0,4,0,1,2,2,2,0,3,3,1,0
모니터,3,3,7,3,1,11,8,1,4,3,6,0
모델,0,0,0,0,1,1,2,1,0,0,0,0
모듈,2,2,2,4,1,10,6,0,1,5,4,0
모바일,2,1,2,2,1,3,2,5,3,1,3,0
모바일용,1,1,5,3,1,2,4,2,0,1,5,0
모빌리티,1,0,0,0,0,1,0,1,0,2,0,5
모습,0,2,1,0,1,1,1,0,1,2,1,0
무료,1,0,1,1,0,0,1,1,0,0,1,0
무비자,3,4,4,2,4,4,3,4,3,4,5,0
무선,0,0,0,3,2,2,0,0,6,6,0,0
문화,1,0,1,1,0,2,1,0,0,1,1,0
물량,1,1,5,2,1,1,3,2,0,2,3,0
미국,0,0,1,4,4,5,4,1,9,9,0,0
미성년자,0,0,0,0,3,1,0,0,1,1,0,0
미세먼지,0,0,0,3,2,2,0,0,6,6,0,0
미술관,1,0,1,1,0,0,1,1,0,0,1,0
민원,0,0,0,0,0,0,1,1,0,2,0,0
밀도,0,2,0,14,3,2,0,0,2,2,0,0
바이,1,0,0,0,0,1,0,1,0,2,0,5
반도체,20,16,6,3,13,16,21,11,11,22,11,44
반도체공학,0,1,0,1,1,1,1,0,2,2,1,1
반등,2,2,4,2,1,0,4,1,0,1,5,0
반면,0,1,1,0,1,1,2,0,1,1,1,1
반사형,1,1,1,2,0,5,3,0,0,2,2,0
발열,0,1,0,2,1,2,0,0,2,1,0,0
밝혔다.,8,10,8,18,8,18,15,7,4,11,11,5
밝혔습니다.,0,0,0,0,0,0,0,0,1,1,0,0
방문,1,0,1,1,0,0,1,1,0,0,1,0
방식,0,5,1,1,3,4,3,0,5,7,3,1
방열기판,1,2,1,2,0,1,4,1,2,2,4,3
방폭,1,0,0,0,0,1,1,1,0,1,0,0
배당성향,1,2,1,2,0,1,4,1,2,2,4,3
배터리,1,0,0,0,0,1,1,1,0,1,0,0
뱀피르,1,0,0,0,0,0,0,1,1,0,1,0
법인,1,1,2,1,2,0,3,1,0,1,3,0
베이커리,3,4,4,2,4,4,3,4,3,4,5,0
베트남,1,1,2,1,1,2,5,0,0,1,5,1
벨란겔,0,0,0,0,0,0,0,1,1,0,0,1
변준형,0,0,0,0,0,0,0,0,2,1,0,1
보고,0,4,0,0,2,0,1,1,3,4,1,0
보도자료,0,1,0,4,1,0,0,0,1,1,0,0
보였다.,0,0,0,0,0,0,0,1,1,0,0,1
보이스피싱,0,1,0,0,0,1,0,1,0,0,0,0
보인다.,0,3,0,0,1,0,1,0,1,2,1,0
보호조치,0,0,0,0,3,1,0,0,1,1,0,0
복합,0,2,0,0,1,6,4,0,1,3,2,0
부담,2,2,4,2,1,0,4,1,0,1,5,0
부문,1,2,3,1,3,3,3,2,2,2,3,1
부문에서,0,4,0,0,2,3,2,1,2,3,1,0
부스,1,1,2,1,0,1,2,2,0,0,2,0
부품,1,6,4,5,6,7,7,5,6,7,4,2
부회장,0,3,1,0,2,3,1,2,3,2,1,0
분야,0,3,0,1,2,2,2,0,3,4,2,1
브레이커스,1,3,2,1,0,1,2,3,0,1,2,0
비스포크,0,0,0,3,2,2,0,0,6,6,0,0
비전옥스,13,4,14,4,8,2,20,12,3,6,12,4
비중,0,0,1,1,1,2,1,0,3,2,0,0
빠른,1,1,4,3,1,3,2,1,2,3,2,0
사들이며,0,1,1,0,1,1,2,0,1,1,1,1
사람,0,4,0,1,2,2,2,0,3,3,1,0
사례,1,0,1,1,0,2,1,0,0,1,1,0
사법리스크,3,2,2,1,4,3,4,2,2,4,4,1
사업,9,15,8,6,10,9,12,10,12,13,15,9
사업장,2,0,1,0,5,1,1,2,1,3,0,2
사용자,0,6,0,1,6,2,3,3,7,7,3,1
사용할,0,3,0,0,1,0,1,0,1,2,1,0
사이니지,2,2,0,4,2,2,2,1,1,2,1,0
사이에서,0,0,0,0,2,1,0,0,1,0,0,0
사인회,0,0,0,1,0,0,0,0,1,0,0,0
사장,29,16,5,4,15,12,15,12,12,18,11,40
사항,0,0,0,0,2,1,0,0,1,0,0,0
산업,7,6,5,3,2,10,13,2,2,7,7,7
삼성,5,13,7,5,8,8,11,6,7,13,11,2
삼성E,1,1,0,0,1,0,1,0,1,1,1,0
삼성노조연대,0,1,0,0,1,1,1,1,1,1,1,0
삼성디스플레이,6,5,3,3,4,2,6,5,2,3,4,0
삼성에,0,1,0,0,0,0,0,0,3,2,0,0
삼성전자,13,23,13,12,18,16,24,11,17,26,18,15
상생세일,2,2,3,0,0,8,6,0,2,0,4,0
상승한,0,1,1,0,1,0,2,2,1,1,1,1
상승했다.,0,1,1,0,1,0,2,2,1,1,1,1
상장사,0,0,0,0,1,1,1,1,2,1,0,0
상태,0,0,0,0,0,1,0,0,1,1,0,0
새로운,1,13,2,8,6,11,9,4,10,9,9,4
생산,2,2,8,3,3,1,8,5,0,3,7,0
생산라인,15,4,13,4,10,2,18,11,5,6,12,3
생태계,6,5,1,0,3,3,3,3,2,5,2,15
샤오미,0,1,1,0,0,0,1,1,0,0,2,0
서바이벌,1,0,0,0,0,0,0,1,1,0,1,0
서비스,0,0,0,0,0,0,2,2,0,2,0,0
석유화학,1,0,0,0,0,1,1,1,0,1,0,0
선물,0,1,1,0,1,0,2,2,1,1,1,1
선발,0,0,0,0,0,0,0,0,1,1,0,0
선보였다.,0,1,0,0,1,3,2,0,1,2,1,0
선수,0,0,0,0,0,0,0,0,5,3,0,2
선수들,0,0,0,0,0,0,0,0,3,2,0,1
설계,4,3,1,0,3,3,2,2,1,4,1,10
설립,0,1,1,0,2,2,2,2,0,1,2,0
설명했다.,2,2,0,0,0,0,1,1,1,1,1,5
성과,2,1,0,0,1,2,2,0,1,2,1,5
성과급,0,1,0,0,1,1,1,1,1,1,1,0
성균관대,0,1,0,1,1,1,1,0,2,2,1,1
성남,1,0,0,0,0,1,0,1,0,2,0,5
성능,1,4,1,4,3,3,2,1,8,9,2,0
성능에서,0,3,0,0,1,0,1,0,1,2,1,0
성분,0,1,0,10,2,2,0,0,1,2,0,0
성장,2,10,4,4,6,9,11,4,8,9,12,6
세계,5,10,4,2,3,7,9,7,4,6,8,2
세계관,1,1,2,1,0,1,2,2,0,0,2,0
소노,0,0,0,0,0,0,0,0,3,2,0,1
소비,0,0,1,1,1,2,1,0,3,2,0,0
소스,0,2,0,1,4,2,2,2,4,3,2,1
소재,1,1,3,2,0,2,3,0,0,0,2,1
소프트웨어,1,1,3,3,0,2,2,2,0,1,2,1
속에,0,1,1,0,1,0,2,2,1,1,1,1
솔루션,4,5,7,6,7,13,14,4,1,8,12,0
숏폼,0,0,0,0,8,2,0,0,3,2,0,0
수석,0,0,1,1,1,2,1,0,3,2,0,0
수요,3,7,8,5,4,3,8,4,4,4,8,1
수익성,5,5,17,9,4,2,15,6,0,4,20,0
수주,1,1,2,1,1,2,5,0,0,1,5,1
수집,0,0,0,0,0,0,1,1,0,0,0,0
순위,1,0,0,0,0,0,0,1,1,0,1,0
스마일게이트,1,1,2,2,1,3,2,4,2,1,2,0
스마트글라스,0,4,0,0,2,3,2,1,2,3,1,0
스마트글래스,0,3,0,1,2,2,2,0,3,4,2,1
스마트워치,2,5,2,15,5,4,11,3,6,6,5,0
스마트폰,1,19,4,4,9,8,10,5,12,13,9,2
스위치,0,0,0,0,0,1,0,0,1,1,0,0
스튜디오,0,0,0,0,0,0,1,1,0,0,0,0
스틱,0,0,0,1,1,1,0,0,3,3,0,0
시간,1,1,0,0,1,0,1,0,1,1,1,0
시공사로,1,1,1,1,0,0,1,1,1,1,0,0
시리즈,2,2,3,0,0,8,6,0,2,0,4,0
시스템,0,0,0,0,0,0,1,1,0,2,0,0
시장에,1,2,1,5,1,1,4,1,2,1,2,0
시장에서,0,3,0,1,2,2,2,0,3,4,2,1
시즌,0,1,0,1,0,0,0,0,10,6,0,2
시험,1,0,0,0,0,1,1,1,0,1,0,0
시험장비,1,0,0,0,0,1,1,1,0,1,0,0
신규,9,3,8,2,5,3,10,7,1,5,6,7
신뢰도,0,0,0,2,1,1,0,0,3,3,0,0
신세계푸드,3,4,4,2,4,4,3,4,3,4,5,0
신시장,4,1,1,1,0,0,4,1,0,2,2,1
