org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7
사이버,2,2,1,5,3,2,1,1
사장,3,24,18,19,7,23,28,1
산업,3,16,13,14,9,12,16,2
산업통상자원부,0,3,3,2,1,4,3,0
삼성,11,14,14,17,14,10,11,9
삼성디스플레,4,19,17,17,10,17,18,3
삼성디스플레이,11,37,33,37,25,31,35,4
삼성생명,0,0,0,0,3,0,0,0
삼성전기,2,4,3,4,4,2,3,1
삼성전자,22,27,17,46,36,18,18,46
삼현,1,4,2,3,2,2,3,0
상반기,0,4,3,3,1,4,5,0
상승,4,2,1,4,1,1,1,1
상위권,0,0,0,0,1,0,0,0
상장사,2,4,4,10,6,12,8,2
상황에서,2,3,1,4,2,1,3,1
새내기,2,0,0,1,2,0,0,1
새로운,6,6,4,8,2,3,2,1
새롭게,2,0,0,1,3,0,0,1
생산,3,8,6,7,2,7,8,1
생산라인,2,21,20,15,4,24,25,1
생산성,2,3,1,4,2,1,3,1
생일,1,0,0,0,0,0,0,0
샤오미,0,1,1,1,0,2,1,0
서울대,1,2,1,5,3,1,2,1
선발,0,0,0,0,0,0,1,0
선보인다.,1,1,2,0,1,1,2,0
선수,0,0,0,0,3,0,0,0
선수들,1,1,0,1,3,0,1,0
섬마,0,0,0,0,0,0,1,0
성능,9,13,6,27,18,5,4,40
성능에서,1,1,1,2,2,1,1,1
성분,0,2,4,2,0,0,0,0
성우,2,0,0,0,4,0,0,0
성장,8,13,8,15,8,12,9,1
성장세,0,3,5,1,1,4,4,0
성장할,3,3,5,3,1,3,2,0
세계,11,24,19,25,14,22,20,2
세계관,0,2,3,1,2,2,2,0
세닉,0,1,0,0,0,0,2,0
세액공제,0,4,3,3,1,4,4,0
소비자,1,1,0,3,2,0,0,5
소재,2,8,4,9,1,6,5,0
소중한,1,1,2,0,0,1,1,0
쇼트폼,1,0,0,0,0,0,0,0
수명,3,3,5,3,1,3,2,0
수상했다.,0,3,3,2,1,4,3,0
수익성,0,2,2,3,1,2,3,0
수정,1,0,0,0,0,0,0,0
수주,0,4,3,3,1,4,4,0
수준인,1,1,2,0,1,1,2,0
수출,0,3,3,2,1,4,3,0
수출액,0,3,3,1,1,2,4,0
수학적최적화,1,2,1,5,3,1,2,1
슈퍼,0,0,0,0,3,0,0,0
슛을,1,1,0,1,3,0,1,0
스마일게이트,1,3,3,3,3,2,3,0
스마트워치,14,13,23,19,7,11,8,1
스마트폰,17,10,8,17,10,7,7,5
스크롤,1,0,0,0,0,0,0,0
스트레처블,1,3,4,3,0,4,3,0
스틱,6,6,0,18,12,0,0,30
스페셜,3,0,0,0,6,0,0,0
승률,1,0,0,1,2,0,1,1
승리,0,0,0,0,3,0,0,0
승리했다.,1,0,0,1,2,0,0,1
승점,0,0,0,0,1,0,0,0
시기,0,4,3,3,1,4,4,0
시범경기,0,0,0,0,1,0,1,0
시연,1,0,0,0,2,0,0,0
시장에,2,3,5,4,1,3,2,0
시정,2,0,0,1,2,0,0,1
시즌,0,0,0,0,0,0,1,0
신규,1,6,6,5,1,8,8,1
신시장,0,3,3,2,1,2,3,0
신작,1,6,7,6,6,5,5,0
실적,4,20,16,18,8,22,25,2
실패했다.,1,0,0,1,2,0,1,1
씨는,0,0,0,0,0,0,1,0
씨라이언,0,5,2,2,0,1,5,1
아니라,7,8,3,10,4,4,5,2
아닌,0,1,2,0,1,1,2,0
아래,1,3,3,2,1,2,2,0
아산탕정,0,1,1,2,1,2,1,0
아시아타임즈,2,4,3,5,5,4,4,1
아이오닉,0,3,5,4,3,3,3,0
아이폰,3,2,1,3,4,1,2,1
아직,7,4,8,9,3,2,2,1
아토,0,4,2,2,0,1,3,1
아티스트,3,2,1,3,1,1,1,1
안경,14,8,9,11,5,6,7,3
안세영,0,0,0,0,3,0,0,0
알렉스,1,1,0,2,2,0,0,3
알림,1,0,0,0,0,0,0,0
알바노,1,0,0,1,2,0,0,1
앞으로,0,1,2,0,1,1,2,0
애니메이션,1,5,6,5,5,4,4,0
애플,17,17,17,21,12,14,18,5
액션,1,2,1,3,4,1,1,0
야외에서도,3,2,4,4,1,1,1,0
얇은,3,2,1,3,4,1,2,1
양동근호,0,0,0,0,1,0,1,0
양사,1,5,3,3,1,4,5,0
양산,1,7,6,5,2,5,8,0
업계,6,26,20,20,9,20,25,3
업그레이드,1,3,3,2,1,2,2,0
업데이트,3,0,0,1,1,0,0,1
업종,3,7,8,13,6,16,10,2
업체,5,6,10,7,2,6,4,0
에서,3,9,6,6,5,4,7,1
에프엔에스테크,0,2,2,3,1,2,3,0
엔비디아,4,2,1,4,1,1,1,1
엔씨,1,2,1,3,4,1,1,0
엔씨소프트,4,16,17,17,18,12,12,0
엘런슨,1,0,0,1,2,0,0,1
여전히,1,5,3,2,1,2,4,0
역사,2,0,0,1,2,0,0,1
역의,2,0,0,0,4,0,0,0
역임하며,0,3,3,2,1,2,3,0
연간,0,7,6,5,2,6,9,0
연구원,1,2,2,7,3,6,4,1
연속,1,2,1,3,4,1,2,0
연준,4,2,1,4,1,1,1,1
연필,2,0,0,1,3,0,0,1
열린,2,0,0,1,8,0,0,1
영업이익,4,9,10,17,10,20,13,4
영웅,2,0,0,0,4,0,0,0
영향,4,2,1,4,1,1,1,1
예상,2,4,4,10,6,12,8,2
예상된다.,1,2,3,3,2,4,3,1
예술,0,1,2,0,1,1,2,0
예측치,0,1,1,1,1,3,2,0
오전,0,0,0,0,0,0,1,3
오픈월드,2,0,0,0,4,0,0,0
올해,8,12,12,12,7,12,11,1
옵트론텍,2,3,1,3,1,2,1,0
우리,5,3,1,5,4,1,2,1
우승,0,0,0,0,4,0,0,0
운송,0,2,2,4,2,6,4,0
울트라,2,0,0,1,3,0,0,1
워킹그룹,0,0,0,1,0,0,1,0
원으로,1,2,3,3,2,4,3,1
웨어러블,7,9,15,10,4,9,6,0
위기,1,4,3,3,2,4,4,1
위안,1,10,9,8,1,12,12,1
위한,2,3,1,4,2,1,4,1
위해,2,3,3,5,3,2,3,1
유공자,0,3,3,2,1,4,3,0
유기발광다이오드,1,8,6,6,2,8,9,0
유럽,7,7,0,21,14,0,0,35
유물,1,1,2,0,0,1,1,0
유비리서치,12,10,18,16,5,8,6,1
유비리서치에,7,4,8,9,3,2,2,1
유출,1,4,3,3,2,4,4,1
음식료,1,1,1,2,2,3,2,1
의약품,1,3,4,3,0,4,2,0
이날,2,1,0,2,5,0,2,1
이는,1,5,4,5,2,5,4,1
이랜드,0,0,0,0,1,0,0,0
이를,1,3,1,3,0,2,1,0
이번,3,7,7,9,6,6,5,1
이벤트,2,5,4,6,7,3,4,0
이상,2,3,1,4,2,1,3,1
이어,1,4,5,5,2,4,4,1
이용자,2,0,0,1,1,0,0,1
이유,1,3,3,2,1,2,2,0
이정원,1,1,2,0,1,1,2,0
이차전지,2,6,2,6,0,4,2,0
이청,2,8,8,8,3,7,9,1
이후,5,2,1,3,2,1,2,1
인공지능,1,2,1,5,3,1,2,1
인도,4,8,6,9,9,6,7,2
인도네시아,0,0,0,0,3,0,0,0
인상,1,1,1,4,2,3,2,1
인천,0,0,0,0,2,0,0,0
인터넷,1,1,2,0,1,1,2,0
인플루언서,1,3,3,3,3,2,3,0
인피니티시티,0,1,1,2,1,2,1,0
일곱,1,0,0,0,2,0,0,0
일렉트릭,0,1,0,0,0,0,2,0
일본,5,10,10,11,16,7,8,0
일부,1,1,1,2,2,1,1,1
임찬규,0,0,0,0,0,0,1,0
입주,0,1,1,2,1,2,1,0
있는,9,28,22,32,19,22,23,3
있다,7,36,31,31,15,33,36,3
있다.,51,80,68,91,49,60,73,19
있도록,0,1,2,1,0,0,0,0
있습니다.,1,0,0,0,0,0,0,0
있어,0,4,3,3,1,4,5,0
자동차,1,4,2,3,2,2,3,0
자매,0,0,0,0,0,0,1,0
자세,2,0,0,1,2,0,1,1
자율주행,4,3,1,5,3,3,3,1
자율주행차,2,3,1,3,1,2,1,0
작은,1,3,3,2,1,2,2,0
장면,1,0,0,0,2,0,0,0
장벽,0,1,6,1,0,0,0,0
장비,2,24,19,20,5,24,26,1
장진,2,0,0,1,2,0,0,1
재료,3,0,0,0,4,0,0,0
적자,1,3,3,4,2,4,2,1
전국,1,1,2,0,1,1,2,0
전기,2,6,4,8,4,7,7,3
전기가스,1,1,1,2,2,3,2,1
전기밥솥,1,1,2,0,1,1,2,0
전기차,0,1,0,0,0,0,2,0
전략,2,3,1,4,2,1,3,1
전망,2,4,4,10,6,12,8,2
전망이다.,3,8,11,8,5,10,6,1
전망치,2,4,4,10,6,12,8,2
전면,1,2,1,2,1,1,2,0
전반에,1,0,0,0,0,0,0,0
전분기,1,3,3,4,2,4,2,1
전시,1,1,2,0,0,1,1,0
전자파,1,3,1,3,0,2,1,0
전장,1,4,2,3,2,2,3,0
전체,0,4,6,4,2,7,6,0
전투서,0,0,0,0,1,0,0,0
전했다.,3,1,1,3,1,1,1,1
전환,4,9,5,9,5,6,9,2
점유율,1,6,6,6,3,8,7,1
접는,1,2,1,2,1,1,2,0
정부,7,33,24,32,14,33,37,3
정철동,1,4,3,3,1,3,5,0
제22회,0,0,0,0,0,0,2,3
제공한다.,1,1,2,0,1,1,2,0
제작,3,2,1,3,1,1,1,1
제조,4,3,1,5,3,3,3,1
제조사,3,4,3,4,2,3,5,1
제조업,3,6,5,7,2,5,5,1
제트,8,8,0,24,16,0,0,40
제품,8,11,9,14,7,7,6,2
젠지,0,0,0,0,1,0,0,0
젠지e스포츠,0,0,0,0,1,0,0,0
조를,0,0,0,0,3,0,0,0
조성환,0,0,0,0,0,0,1,0
조정됐다.,1,1,1,4,2,3,2,1
종합,0,0,0,0,1,0,1,0
좋아지고,0,0,0,0,1,0,0,0
주가,5,5,5,7,1,5,3,1
주식,6,4,2,9,4,3,2,2
주신,1,1,2,0,0,1,1,0
주요,4,9,9,10,3,8,9,1
주행감,0,4,2,2,0,1,3,1
중국,16,59,44,48,16,52,64,4
중국에,0,5,3,3,1,3,4,0
중국인,0,1,0,0,0,0,2,0
중심,2,3,5,3,2,3,2,0
중인,1,2,1,3,4,1,1,0
중형,0,4,2,2,0,1,3,1
즐길,2,6,6,7,6,4,4,0
증가,1,2,3,3,2,4,3,1
증가할,1,3,3,4,2,4,2,1
증권,1,1,1,2,2,3,2,1
증시,4,2,1,4,1,1,1,1
증착기,3,4,3,4,2,3,5,1
지난,11,11,12,17,9,17,15,4
지니언스,2,2,1,5,3,2,1,1
지수,4,2,1,4,1,1,1,1
지원,6,20,15,14,8,15,20,1
직접,2,3,1,4,2,1,3,1
직주근접성,0,1,1,2,1,2,1,0
진출에,1,0,0,1,2,0,1,1
진행,1,0,0,0,2,0,0,0
진행하고,1,3,4,3,0,4,2,0
차단,1,3,1,3,0,2,1,0
차량,2,9,5,5,3,4,7,0
차량용,1,5,3,2,1,2,4,0
차세대,2,3,1,3,1,2,1,0
참가자들,0,0,0,0,0,0,1,3
창원종합운동장,0,0,0,0,0,0,1,3
책은,0,1,2,0,1,1,2,0
천안,1,1,0,2,2,0,0,3
첨단,1,3,1,3,0,2,1,0
첨단산업,4,3,1,5,3,3,3,1
청소,8,8,0,24,16,0,0,40
청소기,8,8,0,24,16,0,0,40
체험,0,3,4,3,3,3,2,0
체험할,0,2,3,1,2,2,2,0
초점,4,3,1,5,3,3,3,1
총괄,1,1,0,2,2,0,0,3
촬영,0,0,0,0,0,0,1,0
최고,1,1,0,3,2,0,0,5
최고제품책임자,1,0,0,0,0,0,0,0
최저,1,1,2,0,1,1,2,0
최적,1,2,1,5,3,1,2,1
최적화,1,2,1,5,3,1,2,1
최종전,0,0,0,0,0,0,1,0
최초로,1,3,4,3,0,4,3,0
추석,1,1,2,0,1,1,2,0
추월당할,0,5,3,3,1,3,4,0
출발해,0,0,0,0,0,0,1,3
출시된다.,1,0,0,0,2,0,0,0
출품했다.,1,3,3,3,3,2,3,0
출하량,10,6,8,7,4,5,6,2
충청타임즈,1,1,2,0,0,1,1,0
충칭,0,4,3,3,0,4,3,0
충칭시,0,4,3,3,0,4,3,0
취미,0,0,0,0,0,0,1,0
취하고,0,0,0,0,0,0,1,0
친구,4,0,0,1,1,0,0,1
카메라,4,6,3,7,4,4,4,1
카카오,5,0,0,1,1,0,0,1
카카오톡,4,0,0,1,1,0,0,1
카펫,2,2,0,6,4,0,0,10
캐릭터,0,2,3,1,2,2,2,0
커버,1,3,3,2,1,2,2,0
컴투스,1,3,3,3,3,2,3,0
코리아오픈,0,0,0,0,3,0,0,0
코스피,2,4,4,10,6,12,8,2
코치진,0,0,0,0,0,0,1,0
