org,topic_0,topic_1,topic_10,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
Dell,440.43 (1%),281.71 (1%),87.65 (2%),455.55 (1%),,147.04 (1%),256.98 (2%),,,126.43 (1%),125.17 (1%)
ETRI,208.19 (0%),164.91 (0%),,245.30 (1%),47.41 (0%),38.48 (0%),38.48 (0%),23.78 (0%),,43.29 (0%),
HP,476.16 (1%),351.80 (1%),,473.42 (1%),99.63 (1%),329.12 (2%),329.12 (2%),,,177.96 (1%),157.34 (2%)
Harman,114.06 (0%),107.88 (0%),,87.26 (0%),65.27 (0%),20.61 (0%),16.49 (0%),,12.70 (0%),30.92 (0%),
Innolux,105.13 (0%),83.14 (0%),,107.19 (0%),26.11 (0%),26.11 (0%),19.24 (0%),,,28.86 (0%),22.38 (0%)
JDI,115.43 (0%),108.56 (0%),,81.08 (0%),32.98 (0%),,34.36 (0%),14.69 (0%),,15.80 (0%),17.48 (0%)
KAIST,388.90 (1%),314.01 (1%),,483.03 (1%),118.18 (1%),115.43 (1%),79.02 (1%),,,154.60 (1%),127.97 (1%)
LG디스플레이,1956.19 (5%),1901.22 (5%),,1645.62 (4%),1356.35 (7%),342.87 (2%),417.76 (3%),,,463.11 (4%),323.78 (3%)
LG전자,3184.73 (7%),2993.03 (8%),,3021.89 (7%),1989.17 (10%),1748.68 (12%),794.98 (6%),,,1054.71 (8%),1070.63 (11%)
LG화학,841.02 (2%),794.29 (2%),,771.62 (2%),447.99 (2%),142.23 (1%),112.69 (1%),,,236.36 (2%),145.45 (2%)
Magna,4.81 (0%),1.37 (0%),,4.12 (0%),5.50 (0%),1.37 (0%),,,0.71 (0%),3.44 (0%),2.80 (0%)
Merck,28.17 (0%),17.18 (0%),,28.17 (0%),12.37 (0%),2.75 (0%),2.75 (0%),,,6.87 (0%),5.59 (0%)
Nitto,7.56 (0%),8.93 (0%),0.72 (0%),8.25 (0%),2.06 (0%),2.06 (0%),,1.40 (0%),,1.37 (0%),
POSTECH,25.42 (0%),13.74 (0%),,33.67 (0%),,2.06 (0%),5.50 (0%),3.50 (0%),2.12 (0%),8.93 (0%),
SFA,8.25 (0%),5.50 (0%),,5.50 (0%),,6.87 (0%),,7.69 (0%),2.82 (0%),2.75 (0%),2.10 (0%)
SK하이닉스,1605.76 (4%),1567.29 (4%),,1589.96 (4%),706.34 (4%),366.91 (2%),307.14 (2%),262.24 (4%),,312.63 (2%),
TCL,447.99 (1%),433.56 (1%),,275.53 (1%),,219.87 (1%),94.82 (1%),99.30 (1%),,90.01 (1%),144.76 (2%)
TSMC,446.62 (1%),413.64 (1%),,438.37 (1%),149.10 (1%),90.70 (1%),88.64 (1%),72.73 (1%),,68.71 (1%),
Tianma,105.81 (0%),86.58 (0%),,81.77 (0%),18.55 (0%),21.30 (0%),20.61 (0%),25.17 (0%),,12.37 (0%),
Toray,15.12 (0%),7.56 (0%),,16.49 (0%),,13.05 (0%),5.50 (0%),,2.12 (0%),7.56 (0%),8.39 (0%)
UDC,53.59 (0%),48.10 (0%),,52.22 (0%),14.43 (0%),8.25 (0%),11.68 (0%),,,13.74 (0%),10.49 (0%)
UL,71.46 (0%),63.90 (0%),,82.45 (0%),24.05 (0%),17.86 (0%),32.98 (0%),,,30.92 (0%),24.48 (0%)
Visionox,112.69 (0%),116.81 (0%),10.06 (0%),76.27 (0%),13.05 (0%),,19.93 (0%),27.97 (0%),,17.86 (0%),
구글,1541.76 (3%),1369.33 (3%),577.11 (13%),1603.08 (4%),499.25 (2%),699.82 (4%),515.84 (4%),,,499.97 (4%),
기아,900.11 (2%),835.52 (2%),,858.19 (2%),341.49 (2%),243.92 (2%),160.78 (1%),,,375.85 (3%),200.70 (2%)
기아자동차,69.40 (0%),55.66 (0%),,62.53 (0%),28.17 (0%),12.37 (0%),,11.89 (0%),,26.11 (0%),16.08 (0%)
네이버,1184.57 (3%),964.70 (2%),,1291.76 (3%),421.88 (2%),660.99 (4%),437.00 (3%),,,474.79 (4%),404.20 (4%)
니오,17.18 (0%),8.93 (0%),,15.80 (0%),4.81 (0%),,3.44 (0%),3.50 (0%),,6.18 (0%),2.80 (0%)
도우인시스,22.67 (0%),21.30 (0%),,19.24 (0%),7.56 (0%),4.81 (0%),,3.50 (0%),,6.18 (0%),5.59 (0%)
두산로보틱스,169.71 (0%),170.40 (0%),,190.33 (0%),54.97 (0%),36.42 (0%),40.54 (0%),,,61.84 (0%),28.67 (0%)
딥엑스,21.30 (0%),17.86 (0%),,24.05 (0%),6.18 (0%),2.75 (0%),2.75 (0%),2.80 (0%),,6.18 (0%),
레노버,695.65 (1%),448.43 (1%),,712.78 (1%),132.71 (0%),1280.00 (6%),742.74 (3%),,,292.17 (1%),271.22 (2%)
리벨리온,121.62 (0%),94.13 (0%),,129.18 (0%),39.16 (0%),24.74 (0%),28.17 (0%),,,37.79 (0%),22.38 (0%)
리오토,9.62 (0%),6.87 (0%),,8.25 (0%),4.81 (0%),4.81 (0%),,2.10 (0%),,2.75 (0%),2.80 (0%)
마이크로소프트,1161.89 (3%),970.19 (2%),,1223.05 (3%),320.88 (2%),402.64 (3%),656.87 (5%),,,320.19 (3%),244.06 (3%)
메타,979.12 (2%),917.28 (2%),,1069.82 (3%),292.71 (2%),265.91 (2%),260.41 (2%),198.60 (3%),,207.51 (2%),
미디어텍,129.18 (0%),120.24 (0%),,110.62 (0%),41.91 (0%),20.61 (0%),32.29 (0%),,,32.29 (0%),26.57 (0%)
바이두,30.23 (0%),21.30 (0%),,29.55 (0%),,9.62 (0%),6.87 (0%),9.79 (0%),,9.62 (0%),6.99 (0%)
벤츠,1207.35 (1%),1340.04 (1%),,1177.86 (1%),2144.40 (5%),288.32 (1%),219.52 (1%),,,743.74 (2%),226.75 (1%)
비보,118.18 (0%),119.56 (0%),,89.32 (0%),21.99 (0%),28.17 (0%),46.72 (0%),35.66 (0%),,35.04 (0%),
삼성디스플레이,2186.06 (4%),2243.47 (4%),,1953.70 (4%),1479.85 (6%),412.79 (2%),416.44 (2%),361.69 (4%),,583.19 (3%),
삼성전자,11763.21 (15%),12543.48 (17%),,11529.13 (15%),7342.10 (21%),4893.05 (18%),3806.97 (15%),,,3342.58 (14%),2662.87 (16%)
샤오미,617.02 (1%),557.24 (1%),,476.16 (1%),254.92 (1%),133.99 (1%),,604.90 (8%),,191.02 (2%),143.36 (2%)
샤오펑,50.85 (0%),41.23 (0%),,57.72 (0%),8.93 (0%),11.68 (0%),21.30 (0%),,,28.17 (0%),9.09 (0%)
샤프,85.20 (0%),64.59 (0%),,83.14 (0%),,41.91 (0%),,21.68 (0%),146.76 (4%),26.11 (0%),39.86 (0%)
선익시스템,69.09 (0%),66.84 (0%),,61.58 (0%),15.02 (0%),9.01 (0%),13.52 (0%),6.11 (0%),,10.51 (0%),
세미파이브,19.93 (0%),17.86 (0%),,20.61 (0%),8.93 (0%),4.12 (0%),4.12 (0%),1.40 (0%),,,1.40 (0%)
소니,247.08 (1%),219.29 (1%),,210.28 (0%),66.84 (0%),,71.35 (0%),138.34 (2%),,99.13 (1%),76.43 (1%)
아마존,712.53 (2%),540.75 (1%),,663.06 (2%),166.28 (1%),299.58 (2%),159.41 (1%),,,159.41 (1%),137.06 (1%)
알파벳,239.80 (1%),172.46 (0%),,212.32 (1%),39.85 (0%),84.51 (1%),50.85 (0%),37.76 (1%),37.40 (1%),,
애플,2874.07 (5%),2687.67 (5%),,2460.51 (5%),799.36 (3%),1012.64 (5%),967.56 (6%),,,772.49 (5%),577.96 (5%)
엔비디아,2792.39 (7%),2463.27 (6%),,3004.02 (7%),1276.64 (7%),921.41 (6%),1294.51 (9%),625.87 (9%),,759.94 (6%),
오포,169.71 (0%),179.33 (0%),,130.55 (0%),32.98 (0%),34.36 (0%),34.36 (0%),53.85 (1%),,47.41 (0%),
원익IPS,194.45 (0%),208.88 (1%),,210.94 (1%),62.53 (0%),29.55 (0%),32.98 (0%),,,37.10 (0%),22.38 (0%)
인텔,921.41 (2%),815.59 (2%),,935.84 (2%),203.38 (1%),296.14 (2%),788.11 (6%),,,279.65 (2%),207.69 (2%)
카카오,509.14 (1%),435.62 (1%),,516.70 (1%),205.44 (1%),239.80 (2%),180.02 (1%),,,160.78 (1%),111.19 (1%)
퀄컴,710.47 (2%),772.99 (2%),,772.31 (2%),250.11 (1%),213.69 (1%),222.62 (2%),,,258.35 (2%),177.62 (2%)
텐센트,33.67 (0%),25.42 (0%),,22.67 (0%),14.43 (0%),17.86 (0%),14.43 (0%),13.29 (0%),9.88 (0%),,
폭스바겐,448.68 (1%),411.58 (1%),,423.26 (1%),179.33 (1%),92.76 (1%),64.59 (0%),,,193.76 (2%),92.31 (1%)
퓨리오사,7.56 (0%),7.56 (0%),1.44 (0%),10.31 (0%),9.62 (0%),1.37 (0%),,3.50 (0%),,,2.10 (0%)
하이센스,295.46 (1%),283.77 (1%),,172.46 (0%),76.27 (0%),101.69 (1%),,55.94 (1%),,72.83 (1%),97.20 (1%)
하이얼,24.05 (0%),21.99 (0%),,13.74 (0%),4.12 (0%),5.50 (0%),,4.90 (0%),,4.81 (0%),9.09 (0%)
한미반도체,224.00 (1%),226.74 (1%),,217.13 (1%),85.89 (0%),43.97 (0%),42.60 (0%),,,41.23 (0%),27.97 (0%)
한화솔루션,136.73 (0%),133.30 (0%),,136.73 (0%),55.66 (0%),25.42 (0%),19.24 (0%),,,37.10 (0%),20.98 (0%)
한화시스템,233.62 (1%),218.50 (1%),,252.85 (1%),100.32 (1%),43.97 (0%),39.85 (0%),,,72.83 (1%),46.85 (1%)
현대모비스,633.51 (1%),612.90 (2%),,606.71 (1%),247.36 (1%),113.37 (1%),83.14 (1%),,,213.69 (2%),120.28 (1%)
현대자동차,875.37 (2%),748.26 (2%),,961.95 (2%),375.85 (2%),235.68 (2%),204.76 (1%),,,322.94 (3%),195.10 (2%)
화웨이,383.40 (1%),375.16 (1%),,357.98 (1%),84.51 (0%),74.21 (0%),71.46 (1%),140.56 (2%),,88.64 (1%),
