org,topic_0,topic_1,topic_10,topic_11,topic_12,topic_13,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
인텔,,10.79 (1%),12.63 (1%),,,7.28 (1%),6.31 (1%),11.36 (1%),,7.91 (1%),9.82 (1%),12.48 (2%),,
카카오,12.48 (4%),3.60 (0%),5.61 (1%),,,,7.72 (1%),7.10 (1%),,5.03 (1%),4.91 (1%),6.24 (1%),,
퀄컴,,,16.84 (2%),12.87 (9%),,,13.33 (1%),28.41 (2%),,13.66 (2%),37.89 (5%),23.57 (3%),,62.70 (9%)
텐센트,1.39 (0%),,,,,,,,1.51 (1%),,1.40 (0%),0.69 (0%),,
폭스바겐,,,2.81 (0%),,,0.73 (0%),,,,,1.40 (0%),1.39 (0%),,
하이센스,,9.35 (1%),11.93 (1%),,,,11.93 (1%),7.81 (1%),3.03 (1%),,2.81 (0%),6.93 (1%),,3.69 (1%)
한미반도체,,2.16 (0%),2.81 (0%),,,,5.61 (1%),2.84 (0%),1.51 (1%),2.88 (0%),2.10 (0%),,,2.21 (0%)
한화,,14.78 (1%),8.41 (0%),,,,4.81 (0%),13.38 (1%),5.19 (1%),8.62 (1%),,,4.99 (1%),10.11 (1%)
현대모비스,,2.29 (0%),5.96 (1%),,,2.32 (0%),2.24 (0%),4.53 (0%),,3.82 (0%),5.96 (1%),,,2.35 (0%)
현대자동차,,12.94 (1%),29.47 (3%),,,30.59 (6%),,24.15 (2%),,19.42 (3%),17.54 (2%),15.94 (2%),12.38 (3%),
현대차,,15.10 (1%),25.96 (3%),,,10.92 (2%),11.93 (1%),17.76 (1%),,10.79 (1%),23.85 (3%),15.94 (2%),,
화웨이,,5.03 (0%),6.31 (1%),,,2.18 (0%),4.91 (1%),4.26 (0%),,3.60 (0%),3.51 (0%),,2.18 (1%),
