org,topic_0,topic_1,topic_10,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
Innolux,43.36 (0%),42.67 (0%),,40.61 (0%),3.67 (0%),7.40 (0%),12.68 (0%),,5.75 (0%),8.21 (0%),
IoT,361.35 (1%),454.95 (2%),,515.52 (2%),112.43 (2%),163.63 (3%),114.15 (2%),,,69.38 (2%),79.14 (4%)
JDI,73.65 (0%),57.82 (0%),,33.73 (0%),5.14 (0%),9.63 (0%),5.22 (0%),21.97 (1%),,10.44 (0%),
JSR,2.75 (0%),2.75 (0%),,2.75 (0%),,,,,,,
KAIST,101.87 (0%),120.45 (0%),6.98 (0%),141.79 (1%),13.96 (0%),22.95 (0%),32.08 (1%),,,17.91 (0%),
LG디스플레이,1683.54 (6%),1541.75 (6%),204.82 (7%),936.06 (4%),,248.03 (4%),174.58 (3%),272.77 (8%),,170.85 (4%),
LG전자,1686.98 (6%),1785.40 (6%),241.29 (9%),1384.82 (6%),607.70 (9%),1437.86 (24%),318.57 (6%),,,294.70 (7%),
LG화학,316.61 (1%),346.89 (1%),149.74 (5%),326.25 (1%),,71.08 (1%),95.50 (2%),52.28 (2%),,65.65 (2%),
MOTIE,0.69 (0%),0.69 (0%),,0.69 (0%),,,,,,,
MWC,48.18 (0%),35.10 (0%),,21.34 (0%),11.76 (0%),6.66 (0%),19.40 (0%),,,3.73 (0%),3.10 (0%)
Merck,7.57 (0%),6.19 (0%),0.78 (0%),7.57 (0%),,1.48 (0%),,,0.82 (0%),1.49 (0%),0.78 (0%)
Metaverse,2.06 (0%),2.06 (0%),0.78 (0%),4.13 (0%),1.47 (0%),0.74 (0%),1.49 (0%),,,0.75 (0%),
Nitto,2.75 (0%),2.75 (0%),,2.75 (0%),,,,,,,
POSTECH,0.69 (0%),2.06 (0%),0.78 (0%),3.44 (0%),,,1.49 (0%),,0.82 (0%),1.49 (0%),
SEMI,5.51 (0%),5.51 (0%),0.78 (0%),6.19 (0%),,,,0.76 (0%),,,
SFA,3.44 (0%),3.44 (0%),,2.75 (0%),2.20 (0%),,1.49 (0%),1.52 (0%),,2.98 (0%),
SID,122.51 (0%),134.90 (0%),1.55 (0%),79.84 (0%),1.47 (0%),5.18 (0%),,3.03 (0%),,4.48 (0%),
SK하이닉스,723.38 (3%),947.76 (3%),110.17 (4%),857.60 (4%),172.68 (3%),,121.61 (2%),140.93 (4%),,143.99 (3%),
Semiconductor,45.43 (0%),54.37 (0%),13.19 (0%),51.62 (0%),8.82 (0%),,11.94 (0%),,,11.19 (0%),6.98 (0%)
TCL,675.20 (3%),597.43 (2%),,285.64 (1%),80.10 (1%),289.50 (5%),47.75 (1%),62.89 (2%),,78.34 (2%),
TSMC,161.75 (1%),196.85 (1%),34.14 (1%),211.30 (1%),27.92 (0%),,31.33 (1%),22.73 (1%),,39.54 (1%),
Tianma,72.96 (0%),64.01 (0%),,29.60 (0%),4.41 (0%),6.66 (0%),6.71 (0%),6.06 (0%),,,3.88 (0%)
Toray,9.64 (0%),8.26 (0%),0.78 (0%),8.26 (0%),2.94 (0%),,2.98 (0%),0.76 (0%),,,1.55 (0%)
UDC,29.60 (0%),30.97 (0%),,18.58 (0%),2.20 (0%),2.96 (0%),2.24 (0%),,,2.98 (0%),1.55 (0%)
UL,76.40 (0%),76.40 (0%),,59.88 (0%),13.23 (0%),25.91 (0%),8.21 (0%),,8.22 (0%),14.18 (0%),
V2X,92.92 (0%),114.25 (0%),,89.48 (0%),16.17 (0%),9.63 (0%),15.67 (0%),9.09 (0%),,,9.31 (0%)
Visionox,101.18 (0%),86.72 (0%),,44.05 (0%),6.61 (0%),,5.22 (0%),11.37 (0%),,8.95 (0%),6.21 (0%)
구글,645.61 (2%),711.68 (3%),,689.66 (3%),218.24 (3%),147.34 (2%),118.63 (2%),,87.13 (4%),170.10 (4%),
기아,347.58 (1%),362.04 (1%),,372.36 (2%),85.97 (1%),68.86 (1%),261.87 (5%),71.22 (2%),,89.53 (2%),
기아자동차,24.09 (0%),21.34 (0%),,21.34 (0%),5.14 (0%),3.70 (0%),22.38 (0%),,,5.97 (0%),3.88 (0%)
기아차,13.77 (0%),15.14 (0%),,12.39 (0%),11.76 (0%),3.70 (0%),11.19 (0%),,,6.71 (0%),3.88 (0%)
네이버,482.48 (2%),533.42 (2%),91.55 (3%),552.00 (2%),220.45 (3%),124.39 (2%),150.71 (3%),,,112.66 (3%),
니오,7.57 (0%),5.51 (0%),,8.26 (0%),1.47 (0%),0.74 (0%),5.22 (0%),,,1.49 (0%),
도우인시스,11.70 (0%),13.08 (0%),4.66 (0%),8.95 (0%),4.41 (0%),,2.24 (0%),,,2.98 (0%),1.55 (0%)
두산로보틱스,54.37 (0%),75.02 (0%),117.15 (4%),71.58 (0%),16.90 (0%),,26.86 (1%),,,8.95 (0%),8.53 (0%)
디지타임스,22.02 (0%),19.96 (0%),,16.52 (0%),2.20 (0%),,,1.52 (0%),1.64 (0%),2.24 (0%),1.55 (0%)
딥엑스,10.42 (0%),19.81 (0%),,20.85 (0%),1.11 (0%),,,,,,
레노버,103.06 (0%),109.35 (0%),,110.93 (0%),178.90 (2%),,,31.18 (1%),59.19 (3%),32.40 (1%),23.06 (1%)
리벨리온,29.60 (0%),41.30 (0%),,61.95 (0%),8.08 (0%),8.14 (0%),4.48 (0%),,3.29 (0%),,3.10 (0%)
리오토,11.01 (0%),7.57 (0%),1.55 (0%),6.88 (0%),2.94 (0%),1.48 (0%),7.46 (0%),1.52 (0%),,,
마이크로소프트,519.83 (2%),498.77 (2%),67.84 (2%),578.51 (2%),76.30 (1%),99.54 (2%),87.25 (2%),,,122.32 (3%),
메타,464.59 (2%),492.12 (2%),,529.29 (2%),102.14 (1%),57.01 (1%),,59.86 (2%),64.11 (3%),97.74 (2%),
미디어텍,48.18 (0%),55.75 (0%),,39.92 (0%),16.90 (0%),8.88 (0%),7.46 (0%),6.06 (0%),,8.95 (0%),
바이두,9.64 (0%),11.01 (0%),,10.32 (0%),2.20 (0%),,2.24 (0%),3.79 (0%),,1.49 (0%),1.55 (0%)
벤츠,59.88 (0%),58.50 (0%),,46.80 (0%),20.57 (0%),13.33 (0%),63.42 (1%),6.82 (0%),,17.16 (0%),
비보,81.91 (0%),69.52 (0%),,30.97 (0%),17.64 (0%),,11.94 (0%),12.88 (0%),11.51 (1%),8.95 (0%),
삼성디스플레이,1873.23 (7%),1936.10 (7%),,1144.75 (5%),265.42 (4%),159.37 (3%),242.85 (4%),175.82 (5%),,185.66 (4%),
삼성전자,3857.20 (14%),5013.12 (17%),,3445.79 (14%),2304.80 (32%),975.70 (15%),682.43 (12%),467.41 (13%),,571.33 (12%),
샤오미,561.05 (2%),438.95 (1%),,265.84 (1%),79.21 (1%),114.72 (2%),97.17 (2%),48.49 (1%),,67.01 (1%),
샤오펑,30.97 (0%),24.78 (0%),1.55 (0%),28.91 (0%),4.41 (0%),6.66 (0%),32.08 (1%),,,2.98 (0%),
샤프,59.19 (0%),48.87 (0%),7.76 (0%),22.71 (0%),6.61 (0%),14.07 (0%),14.18 (0%),,,52.97 (1%),
선익시스템,58.50 (0%),57.13 (0%),,44.05 (0%),,,3.73 (0%),9.85 (0%),1.64 (0%),2.98 (0%),3.88 (0%)
세미파이브,9.64 (0%),15.14 (0%),,13.08 (0%),2.94 (0%),,1.49 (0%),2.27 (0%),2.47 (0%),,0.78 (0%)
소니,139.03 (1%),122.51 (0%),,81.22 (0%),29.39 (0%),41.46 (1%),31.33 (1%),,9.86 (1%),28.35 (1%),
아마존,282.57 (1%),252.22 (1%),57.84 (2%),299.92 (1%),40.12 (1%),,39.17 (1%),69.21 (2%),,70.50 (2%),
아이씨디,37.17 (0%),38.54 (0%),0.78 (0%),39.92 (0%),,,8.21 (0%),3.79 (0%),0.82 (0%),,4.66 (0%)
알파벳,125.27 (0%),108.75 (0%),25.60 (1%),130.09 (1%),,,11.94 (0%),28.03 (1%),,46.26 (1%),17.07 (1%)
애플,2129.33 (7%),1969.71 (6%),,1412.70 (5%),499.81 (6%),272.60 (4%),321.07 (5%),449.25 (11%),,357.63 (7%),
엔비디아,1070.31 (4%),1223.52 (4%),,1323.25 (6%),259.24 (4%),,186.44 (3%),157.52 (4%),146.72 (7%),237.36 (5%),
오포,106.00 (0%),91.54 (0%),9.31 (0%),51.62 (0%),24.98 (0%),,11.19 (0%),12.88 (0%),,16.41 (0%),
원익IPS,71.58 (0%),102.55 (0%),10.09 (0%),88.10 (0%),11.02 (0%),,11.94 (0%),8.33 (0%),,,7.76 (0%)
인텔,411.59 (2%),421.92 (2%),,405.40 (2%),60.26 (1%),62.19 (1%),65.65 (1%),,39.46 (2%),67.15 (2%),
카카오,239.39 (1%),276.91 (1%),,309.96 (1%),96.32 (1%),98.01 (1%),82.30 (1%),52.12 (1%),,56.16 (1%),
퀄컴,333.82 (1%),397.83 (1%),,342.76 (2%),140.35 (2%),59.97 (1%),77.59 (1%),,45.21 (2%),64.91 (1%),
텐센트,22.02 (0%),18.58 (0%),,18.58 (0%),2.20 (0%),,2.98 (0%),3.79 (0%),,1.49 (0%),2.33 (0%)
폭스바겐,129.40 (0%),132.15 (0%),,135.59 (1%),,33.32 (1%),106.69 (2%),24.25 (1%),,33.57 (1%),18.62 (1%)
퓨리오사AI,11.01 (0%),13.08 (0%),,17.21 (0%),1.47 (0%),2.96 (0%),,,1.64 (0%),1.49 (0%),1.55 (0%)
하이센스,414.35 (2%),397.83 (1%),,195.47 (1%),58.05 (1%),231.75 (4%),40.29 (1%),41.67 (1%),,51.48 (1%),
하이얼,88.10 (0%),80.53 (0%),,53.69 (0%),7.35 (0%),39.98 (1%),6.71 (0%),7.58 (0%),,13.43 (0%),
한미반도체,88.79 (0%),130.09 (0%),,120.45 (1%),23.51 (0%),,12.68 (0%),13.64 (0%),,11.94 (0%),11.64 (1%)
한화,340.70 (1%),274.62 (1%),,276.00 (1%),69.07 (1%),61.45 (1%),52.97 (1%),,35.35 (2%),52.97 (1%),
한화솔루션,48.37 (0%),56.31 (0%),8.95 (0%),54.14 (0%),,,11.74 (0%),14.30 (0%),,8.61 (0%),8.14 (0%)
한화시스템,111.50 (0%),139.03 (1%),,181.02 (1%),29.39 (0%),,38.80 (1%),16.67 (0%),,15.67 (0%),16.29 (1%)
현대모비스,186.52 (1%),240.21 (1%),108.62 (4%),249.85 (1%),38.95 (1%),,96.99 (2%),,,48.49 (1%),34.14 (2%)
현대자동차,283.57 (1%),331.75 (1%),,396.45 (2%),75.69 (1%),72.56 (1%),164.14 (3%),38.64 (1%),,71.62 (2%),
현대차,684.84 (3%),759.17 (3%),,850.03 (4%),187.38 (3%),133.27 (2%),378.26 (7%),93.20 (3%),,166.37 (4%),
화웨이,281.34 (1%),251.09 (1%),,205.71 (1%),47.64 (1%),,34.43 (1%),23.31 (1%),16.26 (1%),33.61 (1%),
