org,topic_0,topic_1,topic_10,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
LG화학,787.42 (2%),731.08 (2%),,79.03 (1%),97.57 (1%),109.94 (1%),68.53 (1%),243.24 (2%),158.04 (1%),,
Magna,5.50 (0%),1.37 (0%),0.69 (0%),1.42 (0%),0.69 (0%),0.69 (0%),,2.75 (0%),,0.71 (0%),
Merck,25.42 (0%),20.61 (0%),2.77 (0%),,3.44 (0%),,2.10 (0%),6.87 (0%),7.62 (0%),2.12 (0%),
Nitto,4.81 (0%),6.18 (0%),,0.71 (0%),0.69 (0%),3.44 (0%),0.70 (0%),2.75 (0%),0.69 (0%),,
POSTECH,6.87 (0%),2.06 (0%),,,1.37 (0%),1.37 (0%),0.70 (0%),3.44 (0%),,2.12 (0%),0.73 (0%)
SFA,6.18 (0%),6.18 (0%),,7.12 (0%),,2.06 (0%),8.39 (0%),3.44 (0%),2.08 (0%),2.82 (0%),
SK하이닉스,1589.96 (4%),1524.00 (4%),,209.32 (2%),304.39 (2%),254.23 (3%),237.76 (4%),454.86 (4%),434.60 (4%),,
TCL,373.79 (1%),418.45 (1%),,79.03 (1%),88.64 (1%),65.27 (1%),97.20 (1%),66.65 (1%),146.95 (1%),,
TSMC,390.28 (1%),371.72 (1%),,42.72 (0%),81.08 (1%),83.83 (1%),67.13 (1%),122.99 (1%),101.89 (1%),,
Tianma,103.07 (0%),87.26 (0%),,15.66 (0%),19.93 (0%),8.25 (0%),25.87 (0%),32.98 (0%),34.66 (0%),,
Toray,13.05 (0%),8.25 (0%),,14.24 (0%),6.18 (0%),,,5.50 (0%),2.77 (0%),2.82 (0%),10.25 (0%)
UDC,53.59 (0%),44.66 (0%),,4.27 (0%),16.49 (0%),33.67 (0%),4.90 (0%),13.05 (0%),13.17 (0%),,
UL,76.27 (0%),70.08 (0%),,14.95 (0%),37.79 (0%),10.99 (0%),,21.99 (0%),14.56 (0%),12.70 (0%),
Visionox,85.89 (0%),76.96 (0%),4.16 (0%),,13.05 (0%),29.55 (0%),23.08 (0%),18.55 (0%),12.48 (0%),,
구글,1520.45 (4%),1278.06 (3%),451.99 (10%),273.99 (3%),509.75 (4%),498.00 (5%),,383.42 (3%),440.14 (4%),,
기아,884.99 (2%),818.34 (2%),,174.43 (2%),155.29 (1%),133.30 (1%),115.38 (2%),273.47 (2%),181.60 (2%),,
기아자동차,78.33 (0%),66.65 (0%),,13.53 (0%),14.43 (0%),15.12 (0%),12.59 (0%),32.29 (0%),16.64 (0%),,
네이버,1086.31 (3%),895.98 (2%),,463.48 (5%),401.96 (3%),191.70 (2%),216.78 (3%),349.05 (3%),302.91 (3%),,
니오,19.24 (0%),9.62 (0%),,1.42 (0%),3.44 (0%),4.81 (0%),3.50 (0%),7.56 (0%),2.08 (0%),,
도우인시스,21.99 (0%),21.99 (0%),,4.27 (0%),,8.25 (0%),3.50 (0%),9.62 (0%),5.55 (0%),2.82 (0%),
두산로보틱스,152.54 (0%),158.72 (0%),13.86 (0%),21.36 (0%),36.42 (0%),,,56.34 (0%),44.36 (0%),,11.71 (1%)
딥엑스,22.67 (0%),20.61 (0%),2.08 (0%),,4.12 (0%),2.75 (0%),2.80 (0%),6.87 (0%),3.47 (0%),,
레노버,386.15 (1%),277.59 (1%),79.71 (2%),797.39 (8%),458.99 (3%),238.43 (3%),,134.67 (1%),,64.91 (2%),
리벨리온,114.06 (0%),100.32 (0%),16.64 (0%),8.54 (0%),29.55 (0%),12.37 (0%),,46.72 (0%),17.33 (0%),,
리오토,16.49 (0%),9.62 (0%),2.08 (0%),8.54 (0%),2.75 (0%),,3.50 (0%),6.18 (0%),,2.12 (0%),
마이크로소프트,1136.47 (3%),953.70 (3%),205.17 (5%),204.33 (2%),587.47 (4%),263.85 (3%),,316.76 (3%),298.75 (3%),,
메타,1062.26 (3%),878.81 (2%),133.08 (3%),,262.47 (2%),272.78 (3%),169.93 (3%),290.65 (3%),262.70 (2%),,
미디어텍,129.18 (0%),130.55 (0%),,,40.54 (0%),35.04 (0%),18.88 (0%),32.29 (0%),43.67 (0%),14.82 (0%),
바이두,19.24 (0%),13.05 (0%),,4.27 (0%),5.50 (0%),,4.20 (0%),3.44 (0%),3.47 (0%),2.12 (0%),
벤츠,345.61 (1%),331.18 (1%),,88.99 (1%),71.46 (1%),54.28 (1%),36.36 (1%),88.64 (1%),138.63 (1%),,
비보,64.59 (0%),61.15 (0%),,15.66 (0%),37.10 (0%),35.04 (0%),21.68 (0%),15.12 (0%),25.65 (0%),,
삼성디스플레이,1543.07 (4%),1545.86 (4%),,236.26 (2%),324.93 (2%),288.67 (3%),254.76 (4%),511.80 (4%),452.29 (4%),,
삼성전자,6137.46 (15%),6537.87 (17%),,1848.70 (18%),2157.89 (15%),1157.22 (12%),1005.94 (14%),1688.94 (14%),2831.89 (24%),,
샤오미,536.63 (1%),473.42 (1%),,96.11 (1%),109.94 (1%),140.86 (2%),658.74 (10%),119.56 (1%),142.79 (1%),,
샤오펑,53.59 (0%),46.04 (0%),7.62 (0%),10.68 (0%),21.30 (0%),,8.39 (0%),20.61 (0%),7.62 (0%),,
샤프,83.14 (0%),63.21 (0%),,36.31 (0%),,19.93 (0%),20.28 (0%),19.24 (0%),27.03 (0%),145.35 (4%),
선익시스템,65.96 (0%),65.96 (0%),,4.98 (0%),10.31 (0%),7.56 (0%),4.90 (0%),19.93 (0%),6.24 (0%),,
세미파이브,19.93 (0%),20.61 (0%),,2.14 (0%),6.18 (0%),2.75 (0%),1.40 (0%),4.81 (0%),9.01 (0%),,
소니,200.63 (1%),181.40 (0%),,44.85 (0%),64.59 (0%),57.72 (1%),144.76 (2%),54.28 (0%),58.22 (1%),,
아마존,655.50 (2%),534.57 (1%),,216.43 (2%),158.03 (1%),179.33 (2%),120.28 (2%),218.50 (2%),155.26 (1%),,
알파벳,245.30 (1%),166.97 (0%),,37.73 (0%),46.72 (0%),79.02 (1%),46.15 (1%),59.78 (1%),48.52 (0%),,
애플,2135.52 (5%),1932.83 (5%),,536.10 (6%),742.07 (5%),1431.24 (15%),344.76 (5%),524.95 (5%),702.16 (6%),,
엔비디아,5323.42 (7%),4645.82 (7%),,954.97 (5%),2498.80 (10%),955.39 (5%),1054.25 (8%),1495.39 (7%),1469.25 (7%),,
오포,133.95 (0%),129.92 (0%),,20.07 (0%),29.05 (0%),72.62 (1%),44.35 (1%),28.24 (0%),52.10 (0%),,
원익IPS,191.02 (0%),212.32 (1%),,14.24 (0%),32.98 (0%),30.23 (0%),16.78 (0%),62.53 (1%),40.90 (0%),,
인텔,1105.00 (2%),1021.55 (2%),197.97 (3%),217.59 (2%),975.70 (5%),214.58 (2%),,295.28 (2%),245.14 (2%),,
카카오,497.46 (1%),434.25 (1%),,183.68 (2%),169.71 (1%),72.83 (1%),,166.28 (1%),121.99 (1%),,69.53 (3%)
퀄컴,779.86 (2%),747.57 (2%),88.03 (2%),129.58 (1%),256.98 (2%),373.10 (4%),,186.89 (2%),264.78 (2%),,
텐센트,30.23 (0%),21.99 (0%),,12.10 (0%),7.56 (0%),4.12 (0%),11.19 (0%),10.31 (0%),,8.47 (0%),
폭스바겐,405.39 (1%),369.66 (1%),,62.65 (1%),53.59 (0%),63.21 (1%),51.75 (1%),131.92 (1%),81.10 (1%),,
퓨리오사,10.31 (0%),7.56 (0%),1.39 (0%),,1.37 (0%),1.37 (0%),4.20 (0%),2.75 (0%),2.08 (0%),,
하이센스,253.54 (1%),301.64 (1%),,51.26 (1%),52.91 (0%),30.23 (0%),58.04 (1%),46.04 (0%),108.13 (1%),,
하이얼,19.93 (0%),21.99 (0%),2.77 (0%),4.98 (0%),2.75 (0%),,4.90 (0%),8.25 (0%),6.24 (0%),,
한미반도체,251.32 (1%),261.53 (1%),,27.67 (0%),48.69 (0%),43.98 (0%),19.18 (0%),74.61 (1%),69.72 (1%),,
한화솔루션,142.23 (0%),140.86 (0%),,14.95 (0%),18.55 (0%),22.67 (0%),16.78 (0%),48.78 (0%),27.03 (0%),,
한화시스템,270.72 (1%),249.42 (1%),27.03 (1%),39.16 (0%),46.04 (0%),,34.97 (1%),96.19 (1%),55.45 (0%),,
현대모비스,560.68 (1%),550.37 (2%),,64.08 (1%),80.39 (1%),75.58 (1%),,194.45 (2%),120.61 (1%),62.09 (2%),
현대자동차,854.76 (2%),742.07 (2%),,138.12 (1%),193.76 (1%),,127.97 (2%),381.34 (3%),176.75 (2%),104.42 (3%),
화웨이,307.82 (1%),283.09 (1%),,39.87 (0%),59.78 (0%),136.05 (1%),120.28 (2%),95.51 (1%),76.94 (1%),,
