org,topic_0,topic_1,topic_10,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
Toray,8.94 (0%),6.88 (0%),,2.11 (0%),4.40 (0%),,7.09 (0%),1.14 (0%),1.62 (0%),0.82 (0%),
UDC,19.95 (0%),17.20 (0%),,2.11 (0%),2.20 (0%),1.55 (0%),3.55 (0%),,,,
UL,72.91 (0%),62.60 (0%),3.69 (1%),19.01 (0%),7.33 (0%),,11.35 (0%),,,2.46 (0%),1.77 (0%)
V2X,79.11 (0%),61.91 (0%),2.77 (0%),11.97 (0%),6.59 (0%),2.33 (0%),26.96 (0%),,,1.64 (0%),
Visionox,87.36 (0%),72.91 (0%),,9.86 (0%),4.40 (0%),7.77 (0%),21.99 (0%),,1.62 (0%),,0.89 (0%)
구글,389.33 (2%),339.12 (2%),,178.10 (4%),147.25 (4%),79.26 (3%),141.19 (3%),,30.06 (3%),,41.62 (7%)
기아,183.10 (1%),157.36 (1%),,39.88 (1%),169.16 (4%),56.48 (2%),101.63 (2%),,17.37 (2%),20.16 (1%),
기아자동차,15.82 (0%),13.07 (0%),,2.82 (0%),11.72 (0%),0.78 (0%),12.06 (0%),,1.62 (0%),,
기아차,2.06 (0%),1.38 (0%),0.92 (0%),,4.40 (0%),,2.84 (0%),,,,
네이버,233.88 (1%),209.80 (1%),19.38 (3%),83.07 (2%),104.03 (3%),93.24 (4%),81.59 (1%),,,64.77 (4%),
니오,0.69 (0%),0.69 (0%),,,0.73 (0%),0.78 (0%),0.71 (0%),,,,
도우인시스,2.06 (0%),2.06 (0%),,,0.73 (0%),,0.71 (0%),,,,
두산로보틱스,35.77 (0%),33.02 (0%),,7.04 (0%),8.06 (0%),,28.38 (1%),5.72 (1%),2.44 (0%),115.61 (6%),
디지타임스,13.76 (0%),10.32 (0%),,1.41 (0%),1.47 (0%),1.55 (0%),4.26 (0%),,,0.82 (0%),
딥엑스,1.38 (0%),1.38 (0%),,1.41 (0%),,,1.42 (0%),,,,
레노버,35.08 (0%),28.20 (0%),0.92 (0%),4.22 (0%),8.79 (0%),,5.68 (0%),,2.44 (0%),,0.89 (0%)
리벨리온,13.76 (0%),12.38 (0%),1.85 (0%),3.52 (0%),5.13 (0%),3.11 (0%),2.84 (0%),,1.62 (0%),,
리오토,7.57 (0%),5.50 (0%),,0.70 (0%),5.13 (0%),1.55 (0%),4.26 (0%),,,0.82 (0%),
마이크로소프트,184.35 (1%),141.01 (1%),,61.24 (1%),40.29 (1%),15.54 (1%),107.13 (2%),,11.37 (1%),27.88 (2%),
메타,253.82 (1%),211.86 (1%),,82.36 (2%),57.14 (1%),20.20 (1%),110.68 (2%),,,19.68 (1%),21.25 (4%)
미디어텍,30.27 (0%),26.14 (0%),,7.74 (0%),3.66 (0%),3.11 (0%),9.22 (0%),,,1.64 (0%),
바이두,9.63 (0%),8.25 (0%),2.77 (0%),2.11 (0%),1.47 (0%),3.11 (0%),5.68 (0%),,0.81 (0%),,
벤츠,33.02 (0%),26.83 (0%),,6.34 (0%),33.70 (1%),16.32 (1%),14.90 (0%),,4.06 (0%),4.10 (0%),
비보,56.41 (0%),43.34 (0%),,4.22 (0%),4.40 (0%),0.78 (0%),8.51 (0%),,0.81 (0%),0.82 (0%),
삼성디스플레이,1522.26 (9%),1309.70 (8%),,141.50 (3%),205.12 (5%),102.57 (4%),307.21 (6%),,63.37 (6%),47.55 (3%),
삼성전자,3533.98 (17%),3110.26 (17%),,921.98 (19%),578.10 (12%),555.52 (20%),916.70 (14%),306.96 (42%),,312.88 (15%),
샤오미,232.50 (1%),201.55 (1%),,39.42 (1%),51.28 (1%),17.09 (1%),56.76 (1%),,,11.48 (1%),9.74 (2%)
샤오펑,18.57 (0%),17.88 (0%),,4.93 (0%),20.51 (1%),3.11 (0%),17.74 (0%),,3.25 (0%),1.64 (0%),
샤프,50.21 (0%),39.90 (0%),,4.93 (0%),8.79 (0%),3.89 (0%),8.51 (0%),,2.44 (0%),5.74 (0%),
선익시스템,58.85 (0%),48.62 (0%),,4.36 (0%),4.54 (0%),1.93 (0%),17.60 (0%),,,,
세미파이브,4.82 (0%),4.13 (0%),,1.41 (0%),,1.55 (0%),1.42 (0%),,,,0.89 (0%)
소니,102.48 (0%),91.10 (0%),10.57 (1%),20.62 (0%),21.46 (0%),15.83 (1%),27.10 (0%),,,8.35 (0%),
아마존,105.93 (1%),76.35 (0%),,32.38 (1%),24.18 (1%),17.09 (1%),65.98 (1%),,,17.22 (1%),10.63 (2%)
아이씨디,28.89 (0%),23.39 (0%),,1.41 (0%),3.66 (0%),,12.06 (0%),,1.62 (0%),,
알파벳,77.04 (0%),51.59 (0%),,21.12 (1%),18.31 (0%),3.89 (0%),63.15 (1%),,9.75 (1%),15.58 (1%),
애플,1542.59 (7%),1216.40 (7%),,323.13 (7%),329.43 (7%),189.68 (7%),415.17 (6%),,,94.81 (4%),68.26 (10%)
엔비디아,402.40 (2%),316.42 (2%),,128.12 (3%),86.45 (2%),63.72 (3%),217.82 (4%),,24.37 (2%),45.91 (3%),
오포,72.91 (0%),59.84 (0%),,7.74 (0%),11.72 (0%),5.44 (0%),13.48 (0%),,4.06 (0%),4.92 (0%),
원익IPS,49.53 (0%),44.71 (0%),0.92 (0%),4.93 (0%),4.40 (0%),,20.58 (0%),2.29 (0%),,4.92 (0%),
인텔,291.71 (1%),238.83 (1%),,61.10 (1%),59.96 (1%),22.16 (1%),84.46 (1%),,30.22 (2%),22.37 (1%),
카카오,101.12 (1%),101.80 (1%),10.15 (1%),45.76 (1%),40.29 (1%),55.95 (2%),48.25 (1%),,,10.66 (1%),
퀄컴,212.55 (1%),187.79 (1%),,64.06 (2%),68.86 (2%),32.64 (1%),65.98 (1%),,,18.04 (1%),17.71 (3%)
텐센트,17.20 (0%),13.76 (0%),3.69 (1%),3.52 (0%),3.66 (0%),4.66 (0%),11.35 (0%),,0.81 (0%),,
폭스바겐,58.47 (0%),53.65 (0%),6.46 (1%),12.67 (0%),59.34 (1%),13.99 (1%),38.31 (1%),,,6.56 (0%),
하이센스,346.00 (2%),322.61 (2%),,78.14 (2%),52.01 (1%),23.31 (1%),56.05 (1%),,21.12 (2%),12.30 (1%),
하이얼,70.85 (0%),64.66 (0%),,18.30 (0%),10.26 (0%),2.33 (0%),14.90 (0%),,6.50 (1%),4.10 (0%),
한미반도체,66.72 (0%),60.53 (0%),,14.78 (0%),10.26 (0%),,36.89 (1%),,1.62 (0%),4.10 (0%),1.77 (0%)
한화,186.41 (1%),140.33 (1%),74.74 (11%),109.82 (3%),43.96 (1%),118.11 (5%),56.05 (1%),32.01 (5%),,,
한화솔루션,22.70 (0%),18.57 (0%),,0.70 (0%),3.66 (0%),2.33 (0%),15.61 (0%),1.14 (0%),,4.10 (0%),
한화시스템,97.75 (0%),93.71 (1%),,29.76 (1%),37.86 (1%),23.73 (1%),42.49 (1%),,,8.67 (0%),10.40 (2%)
현대모비스,115.56 (1%),112.81 (1%),,41.53 (1%),47.62 (1%),25.64 (1%),83.72 (2%),9.14 (1%),,97.57 (5%),
현대자동차,132.76 (1%),125.88 (1%),,40.83 (1%),104.03 (3%),28.75 (1%),97.91 (2%),,16.25 (2%),12.30 (1%),
현대차,322.61 (2%),283.40 (2%),,85.18 (2%),375.82 (9%),94.80 (4%),214.27 (4%),41.15 (7%),,31.16 (2%),
화웨이,132.76 (1%),102.49 (1%),,19.71 (0%),18.31 (0%),11.66 (0%),36.18 (1%),,13.00 (1%),8.20 (0%),
