org,topic_0,topic_1,topic_10,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
UDC,191.04 (0%),216.26 (0%),,131.25 (0%),,15.80 (0%),74.07 (1%),18.05 (0%),,41.28 (1%),20.28 (0%)
UL,63.91 (0%),58.92 (0%),,56.35 (0%),3.53 (0%),20.11 (0%),13.40 (0%),,,12.10 (0%),6.29 (0%)
Visionox,64.59 (0%),60.30 (0%),,22.68 (0%),6.35 (0%),5.03 (0%),,6.77 (0%),,6.41 (0%),2.10 (0%)
구글,1902.79 (4%),1533.93 (3%),,1109.79 (3%),248.31 (4%),550.10 (6%),464.16 (6%),,,318.85 (4%),389.47 (5%)
기아,1433.32 (3%),1147.16 (2%),,1434.86 (4%),183.92 (2%),279.66 (3%),571.50 (7%),,,225.39 (3%),179.96 (2%)
기아자동차,90.71 (0%),72.78 (0%),,115.45 (0%),6.35 (0%),7.90 (0%),25.40 (0%),,,17.08 (0%),4.89 (0%)
네이버,1212.87 (2%),997.44 (2%),,863.09 (2%),384.45 (6%),438.79 (4%),260.30 (3%),,,284.69 (4%),273.40 (4%)
니오,20.62 (0%),14.56 (0%),,19.93 (0%),3.53 (0%),6.46 (0%),7.05 (0%),,,3.56 (0%),2.10 (0%)
도우인시스,37.79 (0%),33.96 (0%),,36.42 (0%),3.53 (0%),4.31 (0%),3.53 (0%),2.26 (0%),,2.85 (0%),
두산로보틱스,288.61 (1%),241.22 (1%),,313.35 (1%),50.79 (1%),81.15 (1%),55.73 (1%),30.84 (0%),,,27.97 (0%)
딥엑스,37.11 (0%),29.81 (0%),,31.61 (0%),6.35 (0%),7.18 (0%),,5.27 (0%),,8.54 (0%),6.99 (0%)
레노버,752.46 (2%),652.94 (1%),,367.64 (1%),314.62 (5%),198.21 (2%),,,103.75 (2%),130.25 (2%),130.76 (2%)
리벨리온,87.27 (0%),79.71 (0%),,82.46 (0%),,17.95 (0%),,17.30 (0%),10.07 (0%),11.39 (0%),14.68 (0%)
리오토,16.49 (0%),17.33 (0%),,8.25 (0%),2.12 (0%),2.87 (0%),3.53 (0%),,,2.14 (0%),2.10 (0%)
마이크로소프트,1036.95 (2%),738.89 (2%),,543.56 (2%),106.52 (2%),186.72 (2%),287.81 (4%),,,150.89 (2%),198.58 (3%)
메타,1140.32 (2%),955.67 (2%),,657.72 (2%),124.27 (2%),241.21 (2%),121.78 (1%),,,153.80 (2%),211.04 (2%)
미디어텍,212.34 (0%),188.54 (0%),,227.46 (1%),,59.61 (1%),31.04 (0%),44.38 (1%),22.45 (1%),,25.17 (0%)
바이두,50.16 (0%),42.98 (0%),,27.49 (0%),9.17 (0%),9.34 (0%),7.05 (0%),,,9.96 (0%),9.09 (0%)
벤츠,272.12 (1%),280.03 (1%),,230.20 (1%),39.50 (1%),53.86 (1%),216.56 (3%),41.37 (1%),,53.38 (1%),
비보,203.40 (0%),222.50 (0%),,65.28 (0%),21.16 (0%),30.88 (0%),,31.59 (0%),21.68 (0%),28.47 (0%),
삼성디스플레이,1837.51 (4%),1852.78 (4%),404.56 (29%),1370.92 (4%),,221.91 (2%),,282.82 (4%),455.27 (10%),225.62 (3%),
삼성전자,7574.07 (15%),7748.69 (17%),,4930.50 (14%),1075.06 (16%),1272.56 (13%),,1922.57 (29%),1038.30 (24%),1021.32 (14%),
샤오미,670.00 (1%),677.90 (2%),,292.74 (1%),79.01 (1%),120.65 (1%),,92.52 (1%),,93.95 (1%),84.61 (1%)
샤오펑,24.05 (0%),17.33 (0%),,23.36 (0%),2.82 (0%),7.18 (0%),6.35 (0%),,,3.56 (0%),3.50 (0%)
샤프,62.53 (0%),49.21 (0%),,27.49 (0%),7.05 (0%),10.05 (0%),,8.27 (0%),,9.96 (0%),7.69 (0%)
선익시스템,160.80 (0%),137.94 (0%),,113.38 (0%),10.58 (0%),13.64 (0%),11.99 (0%),,,8.54 (0%),9.79 (0%)
세미파이브,59.10 (0%),53.37 (0%),,73.53 (0%),,20.11 (0%),5.64 (0%),,4.65 (0%),7.83 (0%),9.09 (0%)
소니,338.78 (1%),340.34 (1%),,208.21 (1%),90.29 (1%),96.23 (1%),69.84 (1%),,,67.61 (1%),65.73 (1%)
아마존,828.74 (2%),584.32 (1%),,413.68 (1%),99.46 (1%),177.38 (2%),81.12 (1%),,,121.70 (2%),141.94 (2%)
알파벳,404.06 (1%),277.95 (1%),,179.35 (1%),33.86 (1%),65.35 (1%),,35.35 (1%),,49.11 (1%),71.32 (1%)
애플,2622.27 (5%),2263.13 (5%),,1280.21 (4%),538.94 (8%),614.02 (6%),391.51 (5%),,,454.08 (6%),418.84 (6%)
엔비디아,2691.67 (5%),2243.02 (5%),,1818.96 (5%),,463.21 (5%),321.67 (4%),296.36 (5%),,328.82 (4%),425.13 (6%)
오포,184.16 (0%),170.51 (0%),,76.96 (0%),,35.19 (0%),,24.07 (0%),17.03 (0%),18.50 (0%),22.38 (0%)
원익IPS,194.47 (0%),155.26 (0%),,220.58 (1%),4.23 (0%),33.75 (0%),,15.04 (0%),,25.62 (0%),16.08 (0%)
인텔,905.01 (2%),749.29 (2%),,718.10 (2%),103.70 (2%),254.22 (3%),86.06 (1%),,,149.46 (2%),145.44 (2%)
카카오,569.67 (1%),446.39 (1%),,397.88 (1%),130.50 (2%),203.24 (2%),110.75 (1%),,,133.80 (2%),108.38 (1%)
퀄컴,817.74 (2%),720.18 (2%),,713.98 (2%),,206.83 (2%),122.04 (2%),106.06 (2%),,121.70 (2%),121.67 (2%)
텐센트,80.40 (0%),63.77 (0%),,46.73 (0%),7.05 (0%),17.95 (0%),6.35 (0%),,,12.81 (0%),11.19 (0%)
폭스바겐,421.93 (1%),323.01 (1%),,516.76 (1%),,57.45 (1%),148.84 (2%),,32.52 (1%),76.15 (1%),44.75 (1%)
퓨리오사,13.06 (0%),9.01 (0%),,8.93 (0%),1.41 (0%),5.03 (0%),1.41 (0%),,,2.14 (0%),2.10 (0%)
하이센스,415.74 (1%),594.03 (1%),,184.85 (1%),62.08 (1%),69.66 (1%),,99.29 (2%),,47.69 (1%),51.74 (1%)
하이얼,59.78 (0%),49.91 (0%),,35.73 (0%),26.10 (0%),13.64 (0%),,12.03 (0%),,19.22 (0%),16.08 (0%)
한미반도체,382.07 (1%),318.85 (1%),,426.74 (1%),,88.33 (1%),30.33 (0%),54.91 (1%),,39.14 (1%),36.36 (0%)
한화솔루션,99.64 (0%),83.18 (0%),,91.39 (0%),11.99 (0%),9.34 (0%),21.16 (0%),,9.29 (0%),,9.09 (0%)
한화시스템,476.90 (1%),370.83 (1%),,607.46 (2%),29.63 (0%),79.00 (1%),100.87 (1%),,,66.90 (1%),57.34 (1%)
현대모비스,1079.99 (2%),911.04 (2%),,1309.82 (3%),115.99 (2%),220.91 (2%),246.19 (3%),,,141.71 (2%),132.97 (2%)
현대자동차,940.75 (2%),748.60 (2%),,1056.19 (3%),112.16 (2%),145.78 (1%),183.41 (2%),,,147.33 (2%),121.67 (2%)
화웨이,686.24 (1%),660.34 (1%),,382.60 (1%),52.32 (1%),89.27 (1%),,82.50 (1%),,103.34 (1%),73.04 (1%)
