org,topic_0,topic_1,topic_10,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
인텔,75.79 (2%),41.80 (2%),,84.81 (2%),25.82 (1%),,15.05 (1%),,31.18 (2%),10.62 (1%),24.25 (2%)
카카오,67.86 (1%),36.92 (1%),24.32 (7%),61.69 (2%),37.32 (1%),43.56 (3%),29.69 (2%),,,,23.02 (2%)
퀄컴,78.91 (2%),45.76 (2%),,68.62 (2%),33.96 (1%),,22.39 (2%),,25.84 (2%),16.60 (2%),16.62 (2%)
텐센트,2.74 (0%),,1.05 (0%),,0.72 (0%),4.04 (0%),1.54 (0%),,0.74 (0%),1.51 (0%),1.45 (0%)
폭스바겐,34.31 (1%),18.59 (1%),,40.90 (1%),30.35 (1%),8.09 (1%),,,14.03 (1%),6.04 (1%),11.56 (1%)
하이센스,42.54 (1%),36.46 (1%),,20.10 (1%),12.28 (0%),4.85 (0%),13.12 (1%),,18.46 (1%),16.60 (2%),
하이얼,3.43 (0%),1.43 (0%),,1.39 (0%),,,,,0.74 (0%),1.51 (0%),0.72 (0%)
한미반도체,21.96 (1%),11.44 (0%),,27.73 (1%),12.28 (0%),,3.86 (0%),,5.17 (0%),3.02 (0%),3.61 (0%)
한화솔루션,21.27 (1%),11.44 (0%),3.16 (1%),25.65 (1%),10.84 (0%),,,,6.64 (0%),5.28 (1%),4.34 (0%)
한화시스템,12.35 (0%),9.29 (0%),,16.64 (0%),5.06 (0%),,3.09 (0%),2.18 (1%),4.43 (0%),,5.06 (1%)
현대모비스,54.89 (1%),30.03 (1%),,70.01 (2%),34.68 (1%),,6.95 (1%),,14.77 (1%),10.57 (1%),15.17 (2%)
현대자동차,67.25 (2%),34.32 (1%),,72.78 (2%),22.40 (1%),16.99 (1%),,,19.19 (1%),14.34 (2%),24.57 (3%)
화웨이,45.97 (1%),19.30 (1%),,36.74 (1%),15.17 (1%),,,5.45 (2%),8.12 (1%),30.19 (3%),5.06 (1%)
