org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13
덮밥,1,1,1,4,4,4,1,0,1,1,7,4,1,2
데뷔,1,4,2,8,2,4,3,0,2,4,3,2,2,4
데이터,3,5,1,3,0,10,5,11,3,2,1,3,5,6
데이터를,10,26,2,3,3,36,19,70,14,16,11,6,18,23
데이터센터,2,1,1,2,1,5,7,1,1,4,1,2,8,3
덱스,3,4,1,3,0,2,2,0,1,2,1,1,1,4
덱스를,3,4,1,3,0,2,2,0,1,2,1,1,1,4
덱스탑,0,1,1,2,0,1,3,1,0,2,0,0,0,1
도시개발사업,0,1,0,0,0,1,1,0,1,0,0,1,1,2
도원암귀,1,3,6,3,3,3,2,0,3,1,2,4,3,3
도입해,7,15,1,3,1,23,12,40,9,10,5,2,12,13
도쿄게임쇼,1,3,6,3,3,3,2,0,3,1,2,4,3,3
도쿄게임쇼는,1,3,6,3,3,3,2,0,3,1,2,4,3,3
독서,0,1,1,2,0,1,3,1,0,2,0,0,0,1
독서에,0,1,1,2,0,1,3,1,0,2,0,0,0,1
돌입했다.,0,2,3,2,0,3,4,0,1,2,1,1,4,8
돌파...2030년,1,4,1,2,0,7,3,10,2,2,1,2,3,5
동기,6,11,5,6,4,13,8,5,4,7,4,6,11,7
동반,0,3,2,0,0,2,2,0,3,7,2,0,4,9
동시에,7,19,21,15,2,22,14,1,11,10,12,8,18,30
동양생명,0,2,1,0,1,4,3,0,2,3,1,0,4,3
동향,5,7,5,8,4,8,3,1,2,3,4,3,7,8
된다.,1,3,2,2,1,5,2,0,3,2,0,1,4,7
두산밥캣,1,6,6,6,2,6,3,1,3,2,1,5,3,6
두산에너빌리티,5,4,3,1,3,2,4,2,2,4,3,1,5,5
뒷좌석,1,8,1,1,4,1,1,0,2,2,3,2,1,2
드림에이지가,3,2,3,3,3,5,1,0,1,2,4,3,2,2
들이,5,4,3,1,3,2,4,2,2,4,3,1,5,5
등급은,0,0,2,2,2,1,1,0,1,1,1,0,0,1
등에,0,2,1,0,1,4,3,0,2,3,1,0,4,3
등에서,5,4,3,1,3,2,4,2,2,4,3,1,5,5
등으로,5,9,5,2,1,11,9,1,4,11,3,4,16,17
등은,5,7,2,5,3,8,3,1,2,3,2,2,7,7
등을,26,38,24,20,49,55,34,57,27,30,16,22,37,38
등의,2,6,0,0,1,9,6,20,3,4,1,1,3,3
등이,7,10,7,7,5,11,9,4,5,8,4,5,11,8
등장한,3,4,2,3,0,0,4,0,1,0,0,3,2,5
디바이스,2,5,0,5,1,2,8,1,0,2,12,0,0,2
디스카운트,2,5,2,2,1,6,6,2,1,10,4,4,9,5
디스플레이는,1,7,9,6,0,12,6,0,6,2,4,2,10,12
디스플레이를,1,17,4,3,3,1,4,1,5,4,5,2,1,6
디스플레이와,3,4,1,0,1,4,2,1,3,2,0,2,5,3
디스플레이용,4,4,1,5,1,3,4,1,1,6,3,1,5,5
디일렉,4,10,5,4,4,10,5,1,8,6,1,3,12,20
디자인,3,11,11,10,2,18,7,2,4,6,6,10,9,7
딜에서도,1,2,2,0,2,5,2,0,1,4,0,2,4,2
딜을,1,2,2,0,2,5,2,0,1,4,0,2,4,2
딜의,1,2,2,0,2,5,2,0,1,4,0,2,4,2
따라,19,28,21,22,19,40,23,7,14,36,15,20,40,37
따라서,2,5,2,2,1,6,6,2,1,10,4,4,9,5
따르면,18,47,37,43,15,54,34,5,19,23,17,31,45,57
따른,1,2,3,1,0,2,3,0,1,3,3,0,3,7
때문에,4,11,5,6,2,11,8,2,3,10,5,6,12,10
때문이다.,3,3,3,4,7,6,1,1,1,3,3,8,2,1
또는,10,10,11,8,41,13,6,0,10,8,5,10,11,13
또한,2,18,4,5,6,3,7,2,5,6,6,3,2,6
뛰어난,5,11,8,4,4,2,4,1,4,3,7,6,2,6
라고,11,5,0,2,3,7,7,3,3,7,4,2,6,4
라는,3,3,3,4,7,6,1,1,1,3,3,8,2,1
라며,1,5,2,4,1,9,3,1,2,3,3,5,4,2
라이트,2,19,5,5,4,3,9,3,5,7,8,2,2,7
라이프스타일의,1,5,2,4,1,9,3,1,2,3,3,5,4,2
라인,3,9,10,5,1,14,9,1,6,6,1,3,13,18
라인업,3,11,11,10,2,18,7,2,4,6,6,10,9,7
라인은,1,3,5,1,0,5,2,0,1,1,1,2,5,5
랜드마크,10,3,0,2,3,4,2,1,2,1,3,0,1,2
램프,0,6,3,5,0,5,2,0,1,2,2,2,3,5
램프를,2,6,3,4,1,5,2,0,2,0,1,2,3,5
레이더,1,8,1,1,4,1,1,0,2,2,3,2,1,2
레이저,5,23,13,17,3,21,13,1,10,8,4,5,17,28
레전드,3,2,3,3,3,5,1,0,1,2,4,3,2,2
로봇,7,18,3,4,1,23,17,25,6,22,10,10,21,18
로봇은,2,5,1,0,1,7,5,11,2,4,5,1,5,7
로봇을,6,11,0,0,1,11,6,21,5,6,6,2,8,8
로봇이다.,1,2,0,0,0,2,2,1,0,2,2,0,2,2
로봇팔을,1,2,0,0,0,6,3,10,2,2,1,0,2,2
롤러블,8,19,17,18,3,27,14,3,8,13,11,12,19,18
롯데,2,0,0,0,2,1,1,0,0,1,1,1,1,1
루나X2,0,1,1,2,0,1,3,1,0,2,0,0,0,1
리밋,1,3,6,3,3,3,2,0,3,1,2,4,3,3
리어,1,9,2,2,2,1,3,1,3,2,3,1,1,3
리츠,2,1,1,0,2,2,3,1,2,7,2,4,4,2
리튬,5,7,2,5,3,8,3,1,2,3,2,2,7,7
리프트,1,3,2,2,1,5,2,0,3,2,0,1,4,7
리프팅,3,9,0,12,1,4,16,1,0,4,26,0,1,5
