org,topic_0,topic_1,topic_10,topic_100,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_23,topic_24,topic_25,topic_26,topic_27,topic_28,topic_3,topic_30,topic_31,topic_32,topic_33,topic_34,topic_36,topic_37,topic_38,topic_39,topic_4,topic_40,topic_41,topic_42,topic_46,topic_47,topic_48,topic_5,topic_50,topic_51,topic_52,topic_53,topic_55,topic_56,topic_57,topic_58,topic_59,topic_6,topic_60,topic_62,topic_63,topic_64,topic_65,topic_66,topic_67,topic_68,topic_7,topic_70,topic_72,topic_73,topic_74,topic_75,topic_77,topic_78,topic_79,topic_8,topic_81,topic_82,topic_83,topic_84,topic_85,topic_87,topic_88,topic_89,topic_9,topic_90,topic_91,topic_92,topic_93,topic_94,topic_95,topic_96
구글,463.85 (3%),,269.05 (2%),,,,506.44 (19%),,,,,,,,,,285.62 (5%),,,,,,,,,,,,,,,,,,,423.24 (18%),,,,,,,,327.23 (6%),,,,,,,,,,,,,,367.88 (6%),,,,,,,,,,,289.08 (4%),,,,,,,,,,,,,
기아,185.76 (1%),,199.70 (2%),,,,,,,,,,,,,,,145.60 (2%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.16 (4%),,,127.08 (2%),133.09 (1%),,,,,215.24 (3%),,,133.51 (1%),,,,
기아자동차,15.25 (0%),,11.87 (0%),,,,,,,,,,,,,,,11.96 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.32 (0%),,,,,12.26 (0%),,,,12.95 (0%),,,,,19.70 (0%),,,12.85 (0%),,,,
기아차,,,,,,,,,,,,,,,,3.77 (0%),,,3.60 (0%),,,,,,3.02 (0%),,,,,,,,2.92 (0%),,,,,,,,,,,,2.97 (0%),,,,,,,,,,,2.94 (0%),,,,,,,,,,3.83 (0%),,,,,,,,,,,,5.00 (0%),,,,
네이버,253.00 (1%),,151.52 (1%),,,,,,,,,,,,,,145.69 (3%),,,,137.01 (1%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.00 (3%),,,132.66 (1%),,,,,,,,150.82 (2%),140.28 (1%),,,,,,,,,,,,
니오,3.47 (0%),,,,,,,,,,,,,,,,,4.22 (0%),3.60 (0%),,,,,,,,,,,,,,,,,,,,,,,,,3.74 (0%),,,,,,,,,,,,,,,,,4.35 (0%),,,,,3.83 (0%),,,,3.60 (0%),,,,,,,,3.57 (0%),,,,
도우인시스,2.08 (0%),,4.89 (0%),,2.40 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.23 (0%),,,,,,,,,,1.45 (0%),,,,,,,,,1.44 (0%),,,,,2.11 (0%),,,1.43 (0%),,,,
두산로보틱스,25.65 (0%),,50.97 (0%),,,,,,,,,,,,,,,38.69 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.82 (1%),,108.12 (7%),,25.83 (0%),,,,,,53.46 (1%),,,37.13 (0%),,,,
디지타임스,13.17 (0%),,7.68 (0%),,,,,,,,,,,,,,7.92 (0%),7.74 (0%),,,,,,,,,,,,,,,,8.10 (0%),,,,,,,,,,,,,,,10.72 (0%),,,,,,,,,,,,9.42 (0%),,,,,,,,,10.07 (0%),,,,,,,,,,,,
딥엑스,,,1.40 (0%),,0.80 (0%),,,,,,,,,1.42 (0%),,,,,,,,,,,,,,,,,,0.93 (0%),,,,,,,,,,0.82 (0%),,,,,0.86 (0%),,,,,,,,,,,,,,,,,,,,,,4.19 (0%),,,,,,,,,,,,1.50 (0%),
레노버,51.29 (0%),,,,,25.97 (0%),,,,30.86 (3%),,,,,,,,,,,,,,,,,,,,,,142.52 (6%),,,,,,,,,,,,,,,,,,,,,,,,,45.62 (1%),,,,34.07 (0%),,,,,,,,,26.62 (0%),,,,,,,,,,36.35 (1%),,
리벨리온,12.48 (0%),,11.17 (0%),,,,,,,,,,,7.09 (0%),,,,8.44 (0%),,,,,,,,,,,,,8.97 (0%),,9.50 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.08 (0%),7.19 (0%),,,,,,,,,,,,
리오토,7.62 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.57 (0%),,,,,,,,,,,,,,,,3.83 (0%),,,,,,,,,,4.56 (0%),,7.97 (0%),,,,,3.83 (0%),,,,7.91 (0%),,,,,,4.63 (0%),,,,,,
