org,topic_0,topic_1,topic_10,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
Visionox,103.75 (0%),102.38 (0%),,6.41 (0%),5.08 (0%),,9.70 (0%),12.56 (0%),3.37 (0%),9.34 (0%),
구글,770.85 (3%),855.40 (3%),,262.85 (3%),161.74 (3%),,196.50 (3%),77.12 (2%),,190.26 (4%),189.47 (6%)
기아,359.36 (1%),439.75 (2%),,96.11 (1%),69.61 (1%),209.31 (7%),118.53 (2%),75.35 (2%),,93.40 (2%),
기아자동차,26.11 (0%),29.55 (0%),,4.98 (0%),4.35 (0%),16.83 (1%),9.01 (0%),,,6.47 (0%),3.01 (0%)
네이버,523.57 (2%),628.70 (2%),84.33 (3%),249.90 (3%),129.07 (2%),,166.36 (3%),,,122.86 (3%),127.25 (4%)
니오,6.87 (0%),6.87 (0%),,1.42 (0%),0.73 (0%),3.66 (0%),3.47 (0%),,,1.44 (0%),0.75 (0%)
도우인시스,11.68 (0%),14.43 (0%),4.52 (0%),4.27 (0%),,2.20 (0%),2.08 (0%),1.48 (0%),,2.87 (0%),
두산로보틱스,87.96 (0%),110.74 (0%),123.07 (4%),23.60 (0%),15.75 (0%),31.79 (1%),24.56 (0%),,,,18.07 (1%)
딥엑스,5.50 (0%),10.99 (0%),,0.71 (0%),,,4.85 (0%),,,,
레노버,197.30 (0%),220.79 (0%),,399.14 (3%),,,49.76 (1%),68.18 (1%),99.38 (5%),51.58 (1%),109.39 (2%)
리벨리온,29.55 (0%),48.10 (0%),,7.12 (0%),7.98 (0%),,22.87 (0%),,2.53 (0%),2.87 (0%),3.01 (0%)
리오토,8.93 (0%),8.25 (0%),1.51 (0%),2.14 (0%),1.45 (0%),6.59 (0%),2.08 (0%),1.48 (0%),,,
마이크로소프트,484.41 (2%),516.70 (2%),,85.43 (1%),93.54 (2%),,145.56 (3%),70.92 (2%),,115.67 (3%),76.80 (3%)
메타,497.46 (2%),550.37 (2%),,104.66 (1%),58.01 (1%),,143.48 (3%),62.06 (2%),,100.59 (2%),72.28 (2%)
미디어텍,53.59 (0%),57.72 (0%),,16.37 (0%),8.70 (0%),,9.70 (0%),7.39 (0%),,8.62 (0%),5.27 (0%)
바이두,13.05 (0%),14.43 (0%),,2.14 (0%),,2.93 (0%),3.47 (0%),3.69 (0%),,2.16 (0%),3.01 (0%)
벤츠,256.90 (0%),332.13 (0%),,115.98 (1%),71.65 (0%),246.27 (3%),49.98 (0%),39.46 (0%),,53.72 (0%),
비보,73.52 (0%),71.46 (0%),,24.21 (0%),,,9.70 (0%),14.04 (0%),10.95 (1%),8.62 (0%),12.80 (0%)
삼성디스플레이,1880.61 (7%),2079.87 (7%),,331.06 (4%),165.32 (3%),187.36 (6%),274.49 (5%),173.61 (5%),,176.74 (4%),
삼성전자,6162.75 (18%),6677.97 (18%),,3015.19 (31%),1276.90 (17%),533.40 (14%),1070.44 (15%),620.89 (14%),,723.66 (13%),
샤오미,408.14 (2%),423.94 (1%),,72.62 (1%),104.41 (2%),46.84 (2%),54.07 (1%),44.33 (1%),,59.63 (1%),
샤오펑,27.48 (0%),35.73 (0%),,3.56 (0%),6.53 (0%),26.35 (1%),12.48 (0%),,,3.59 (0%),5.27 (0%)
샤프,53.59 (0%),51.53 (0%),7.53 (0%),7.12 (0%),13.78 (0%),7.32 (0%),6.24 (0%),,,51.01 (1%),
선익시스템,59.09 (0%),66.65 (0%),,,,3.66 (0%),11.78 (0%),9.60 (0%),1.69 (0%),2.87 (0%),1.51 (0%)
세미파이브,11.68 (0%),14.43 (0%),,2.85 (0%),,0.73 (0%),4.16 (0%),2.22 (0%),1.69 (0%),,3.01 (0%)
소니,124.37 (0%),138.80 (0%),,32.75 (0%),40.61 (1%),13.17 (0%),25.65 (0%),,,27.30 (1%),24.09 (1%)
아마존,268.66 (1%),276.90 (1%),57.98 (2%),76.18 (1%),,,97.73 (2%),68.70 (2%),,78.31 (2%),42.17 (1%)
알파벳,123.68 (0%),118.87 (0%),26.35 (1%),,6.53 (0%),,31.88 (1%),28.81 (1%),,48.86 (1%),14.31 (0%)
애플,1825.64 (7%),1763.80 (6%),,467.04 (6%),239.28 (4%),,283.50 (5%),396.71 (12%),,306.78 (7%),221.37 (7%)
엔비디아,1160.83 (4%),1390.25 (5%),,355.09 (4%),156.08 (3%),,345.71 (6%),169.10 (5%),,248.95 (6%),182.63 (6%)
오포,104.44 (0%),97.57 (0%),9.04 (0%),26.34 (0%),9.43 (0%),,13.86 (0%),14.04 (0%),,15.81 (0%),
원익IPS,89.32 (0%),125.74 (0%),10.54 (0%),12.10 (0%),,10.25 (0%),26.34 (0%),8.87 (0%),,6.47 (0%),
인텔,445.66 (2%),519.93 (2%),,106.21 (1%),70.54 (1%),,123.63 (2%),46.32 (1%),,77.67 (2%),78.14 (2%)
카카오,191.70 (1%),245.30 (1%),,96.83 (1%),79.76 (1%),,70.70 (1%),42.11 (1%),,50.29 (1%),59.48 (2%)
퀄컴,471.72 (2%),511.77 (2%),,175.93 (2%),70.99 (1%),51.18 (2%),88.87 (1%),,,77.88 (2%),61.44 (2%)
텐센트,21.30 (0%),21.30 (0%),2.26 (0%),6.41 (0%),,,8.32 (0%),5.17 (0%),,3.59 (0%),7.53 (0%)
폭스바겐,137.42 (1%),184.83 (1%),,,34.08 (1%),91.48 (3%),51.29 (1%),28.07 (1%),,38.80 (1%),26.35 (1%)
퓨리오사,4.12 (0%),7.56 (0%),,2.14 (0%),1.45 (0%),0.73 (0%),2.77 (0%),,,,
하이센스,426.69 (2%),439.75 (2%),,65.50 (1%),242.91 (4%),,48.52 (1%),53.19 (2%),,51.73 (1%),29.37 (1%)
하이얼,79.02 (0%),83.83 (0%),,9.26 (0%),39.16 (1%),,15.25 (0%),7.39 (0%),,12.93 (0%),6.02 (0%)
한미반도체,112.00 (0%),156.66 (1%),,24.92 (0%),9.43 (0%),9.51 (0%),24.95 (0%),14.78 (0%),,12.21 (0%),
한화솔루션,43.29 (0%),58.40 (0%),7.53 (0%),2.85 (0%),,9.51 (0%),15.94 (0%),11.82 (0%),,7.18 (0%),
한화시스템,118.87 (0%),167.65 (1%),,29.19 (0%),,25.62 (1%),34.66 (1%),16.25 (0%),,15.81 (0%),12.80 (0%)
현대모비스,261.70 (1%),368.76 (1%),127.56 (4%),52.82 (1%),,107.70 (3%),97.71 (1%),45.68 (1%),,66.63 (1%),
현대자동차,301.64 (1%),401.27 (1%),,81.87 (1%),73.96 (1%),124.42 (4%),150.41 (3%),,,77.59 (2%),45.18 (1%)
화웨이,249.42 (1%),245.30 (1%),,44.85 (1%),15.23 (0%),17.56 (1%),40.20 (1%),23.64 (1%),,29.46 (1%),
