org,topic_0,topic_1,topic_10,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
벤츠,31.64 (0%),33.71 (0%),,6.22 (0%),33.70 (1%),9.57 (0%),,,4.03 (0%),4.06 (0%),2.60 (0%)
비보,52.28 (0%),47.46 (0%),,1.55 (0%),4.40 (0%),3.19 (0%),0.84 (0%),,0.81 (0%),0.81 (0%),
삼성디스플레이,1376.43 (8%),1398.44 (8%),,104.12 (3%),206.59 (5%),93.35 (4%),27.83 (4%),,63.60 (6%),50.37 (3%),
삼성전자,3214.42 (18%),3340.30 (18%),,703.21 (17%),529.66 (12%),453.98 (19%),,259.40 (40%),143.30 (13%),277.03 (15%),
샤오미,271.25 (1%),262.60 (1%),,80.82 (2%),63.64 (1%),24.62 (1%),,,10.12 (1%),13.93 (1%),11.91 (2%)
샤오펑,24.76 (0%),24.76 (0%),,3.89 (0%),24.18 (1%),,5.06 (1%),,4.03 (0%),1.62 (0%),1.74 (0%)
샤프,56.94 (0%),59.56 (0%),,14.84 (0%),11.19 (0%),7.11 (0%),2.15 (0%),,3.08 (0%),7.24 (0%),
선익시스템,42.65 (0%),42.65 (0%),,1.55 (0%),3.66 (0%),,,,,,
세미파이브,7.57 (0%),8.25 (0%),,,,0.80 (0%),,,,,0.87 (0%)
소니,84.61 (0%),83.92 (0%),,25.64 (1%),17.58 (0%),12.77 (1%),,,4.03 (0%),6.50 (0%),1.74 (0%)
아마존,113.50 (1%),117.63 (1%),,5.44 (0%),25.64 (1%),11.17 (0%),,,8.05 (1%),17.87 (1%),10.42 (2%)
아이씨디,24.08 (0%),24.08 (0%),,,3.66 (0%),,,,1.61 (0%),,
알파벳,85.30 (0%),85.30 (0%),3.48 (2%),2.33 (0%),20.51 (0%),3.19 (0%),,,10.47 (1%),17.06 (1%),
애플,2311.71 (7%),2279.52 (7%),,187.20 (3%),521.86 (7%),229.55 (5%),,,89.30 (5%),152.07 (5%),103.82 (9%)
엔비디아,420.98 (2%),434.05 (2%),,27.97 (1%),95.24 (2%),47.07 (2%),,16.92 (3%),26.57 (2%),47.12 (2%),
오포,71.54 (0%),66.72 (0%),,2.33 (0%),11.72 (0%),6.38 (0%),1.69 (0%),,4.03 (0%),5.69 (0%),
원익IPS,55.72 (0%),56.41 (0%),,,5.86 (0%),5.59 (0%),2.53 (0%),2.26 (0%),,5.69 (0%),1.74 (0%)
인텔,219.43 (1%),230.44 (1%),,17.87 (0%),50.55 (1%),23.94 (1%),,,24.15 (2%),18.69 (1%),9.55 (1%)
카카오,114.87 (1%),115.56 (1%),,52.06 (1%),41.76 (1%),13.56 (1%),11.81 (2%),,7.25 (1%),13.81 (1%),
퀄컴,271.71 (1%),254.51 (1%),,22.53 (1%),76.19 (2%),47.07 (2%),,,17.71 (2%),19.50 (1%),25.17 (4%)
텐센트,18.57 (0%),18.57 (0%),,0.78 (0%),4.40 (0%),,0.84 (0%),,0.81 (0%),,
폭스바겐,73.60 (0%),74.29 (0%),,18.65 (0%),65.20 (1%),10.37 (0%),4.22 (1%),,8.05 (1%),8.94 (0%),
하이센스,343.94 (2%),359.76 (2%),,202.03 (5%),55.68 (1%),44.68 (2%),,,20.93 (2%),12.19 (1%),11.29 (2%)
하이얼,71.54 (0%),74.29 (0%),,31.86 (1%),10.99 (0%),7.18 (0%),2.53 (0%),,6.44 (1%),4.06 (0%),
한미반도체,70.16 (0%),70.85 (0%),,7.77 (0%),11.72 (0%),5.59 (0%),4.22 (1%),,,4.87 (0%),3.47 (1%)
한화,220.93 (1%),242.95 (1%),,48.85 (1%),56.10 (1%),230.72 (8%),,37.38 (5%),20.24 (2%),17.64 (1%),
한화솔루션,22.01 (0%),22.01 (0%),1.16 (1%),,3.66 (0%),,2.53 (0%),1.13 (0%),,4.06 (0%),
한화시스템,87.36 (0%),88.05 (0%),,6.99 (0%),33.70 (1%),,12.65 (2%),,7.25 (1%),8.12 (0%),8.68 (1%)
현대모비스,126.57 (1%),128.63 (1%),,16.32 (0%),53.48 (1%),69.41 (3%),,10.15 (2%),9.66 (1%),99.11 (5%),
현대자동차,148.58 (1%),149.96 (1%),,29.53 (1%),115.75 (3%),19.15 (1%),28.67 (4%),,19.32 (2%),12.19 (1%),
현대차,358.38 (2%),363.20 (2%),,62.16 (2%),401.46 (9%),47.87 (2%),61.56 (9%),45.11 (7%),,34.12 (2%),
화웨이,156.83 (1%),151.33 (1%),,6.99 (0%),25.64 (1%),27.93 (1%),,4.51 (1%),13.69 (1%),8.94 (0%),
