org,topic,base_score,topic_share,company_focus,hybrid_score
현대차,5,5.7705,0.0176,0.3677,7.6552
현대차,0,5.6555,0.0233,0.3604,7.5026
현대차,3,4.9486,0.0263,0.3153,6.5648
현대차,2,4.4179,0.0212,0.2815,5.8608
현대차,1,3.4657,0.0216,0.2208,4.5976
화웨이,5,4.3279,0.0132,0.8795,4.7304
화웨이,4,1.4426,0.0070,0.2932,1.5768
화웨이,6,1.3863,0.0061,0.2817,1.5152
화웨이,0,0.7069,0.0029,0.1437,0.7727
화웨이,3,0.7069,0.0038,0.1437,0.7727
화웨이,1,0.6931,0.0043,0.1409,0.7576
