org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
VVIP,0,0,0,0,1,2,0,0,0,0
with,2,0,0,1,0,0,0,1,0,1
WSJ,4,0,1,1,1,2,1,2,0,1
XR,13,5,6,6,5,5,5,3,5,9
YTN,2,0,2,2,1,1,0,2,0,0
가능성,0,1,2,2,2,3,2,1,2,4
가능하다.,0,1,0,0,0,1,0,0,0,0
가리키고,0,2,0,0,0,3,0,1,0,0
가민,3,2,6,1,2,4,2,2,0,6
가을,2,0,0,4,0,4,0,2,0,0
가을야구,0,0,0,0,1,1,1,3,0,0
가입,2,0,0,4,0,4,0,2,0,0
가장,7,5,6,4,7,2,8,4,4,7
가전,2,1,1,2,1,2,1,2,1,2
가진,4,0,1,1,1,2,1,2,0,1
감독,0,0,0,0,1,1,1,3,0,0
감소,0,0,1,3,2,2,2,1,1,3
강력한,1,0,1,1,2,1,2,2,2,3
같은,3,3,8,4,6,6,6,6,6,12
개막,0,1,0,0,0,2,0,1,1,0
개발,1,1,5,1,1,1,3,2,2,1
개방한다고,0,0,1,1,2,1,2,0,1,2
개선에,0,2,2,3,4,2,2,2,2,4
개의,0,0,1,0,1,1,2,0,0,0
개인,0,3,1,0,1,3,0,1,0,0
갤럭시,2,0,0,1,2,1,1,0,0,1
갤럭시Z,1,0,1,1,2,1,2,2,2,3
거래일,1,4,4,0,3,3,1,2,3,2
거실,0,0,3,2,4,2,3,0,1,3
건설,1,1,2,1,1,1,1,2,0,2
건설사,1,1,2,1,1,1,1,2,0,2
건축,0,0,2,0,0,1,0,0,0,0
것으로,29,20,28,24,32,22,27,13,23,40
게이머들,0,0,0,1,3,0,4,0,1,3
게이밍,0,1,6,5,8,4,17,0,4,12
게임,1,5,11,7,13,5,27,3,6,16
게임기,0,1,2,0,0,0,1,2,0,0
게임쇼,0,1,2,1,2,1,5,0,1,3
겪는,0,0,1,0,0,1,0,3,0,0
경신종목,1,0,0,0,1,1,1,0,0,1
경신했다.,1,0,0,0,1,1,1,0,0,1
경우,4,2,2,1,1,2,1,3,2,3
경쟁,0,4,3,4,4,3,4,2,4,8
경제,1,0,1,1,2,3,1,4,0,1
경험,5,3,5,3,6,3,4,2,3,4
계획이다.,2,0,1,1,0,0,0,0,0,0
고객,1,5,5,1,5,6,2,3,0,5
고객사,1,5,1,7,4,2,4,0,4,7
고성능,1,0,3,1,1,1,2,0,2,1
공급,0,5,8,8,10,8,8,1,15,16
공급망,7,4,8,2,3,6,3,5,2,9
공급키로,0,1,1,2,2,1,2,0,5,4
공동,0,2,2,1,2,2,1,3,0,1
공사비,0,0,2,0,0,1,0,0,0,0
공세,2,1,1,2,1,2,1,2,1,2
공식,2,10,6,5,4,0,4,0,4,6
공식몰에서,1,0,0,2,0,2,0,1,0,0
공정,0,1,2,2,2,2,2,2,4,3
공정위,1,0,1,1,2,3,1,4,0,1
공정한,0,2,1,2,2,1,2,1,2,4
과정,0,1,2,0,0,0,1,2,0,0
과정에서,0,0,1,0,0,1,0,3,0,0
과천,0,0,1,1,2,1,2,0,1,2
관람객,0,0,0,1,3,0,4,0,1,3
관리,0,1,2,0,0,1,0,1,1,0
관리자,0,1,1,0,2,1,1,1,0,2
관리하,0,1,1,0,0,0,0,0,0,2
관을,0,0,1,1,2,1,2,0,1,2
광군제,0,1,0,0,0,2,0,1,1,0
광학필름,0,4,8,0,6,0,2,0,2,2
광학필터,2,1,2,0,3,0,1,1,0,1
교보증권,0,1,2,2,3,3,2,0,2,4
구글,9,3,4,5,4,4,4,2,4,8
구단,0,0,0,0,1,1,1,3,0,0
구독,2,1,1,2,1,2,1,2,1,2
구동,0,1,2,2,2,2,2,2,4,3
구현,0,0,3,2,4,2,3,0,1,3
국감에서,2,0,2,2,1,1,0,2,0,0
국립현대미술관,0,0,1,1,2,1,2,0,1,2
국산,0,1,2,0,0,0,1,2,0,0
굴기,3,5,3,2,1,3,1,1,2,1
규모,1,2,9,5,4,5,4,2,10,8
규모로,2,1,6,2,4,3,4,2,4,8
그는,0,2,3,1,2,2,2,3,2,4
그래픽,0,0,2,1,2,1,5,0,1,3
그러나,5,0,2,1,1,2,1,0,0,1
그룹,4,24,14,13,10,2,13,1,10,15
글라스,10,5,5,2,5,1,2,3,2,2
글래스,4,0,1,1,1,2,1,2,0,1
기간,0,0,1,1,2,1,2,0,1,2
기기,23,5,10,8,9,8,7,5,4,11
기념식,0,1,2,2,2,3,2,1,2,4
기능,5,3,2,1,2,1,1,2,2,1
기대감,0,3,1,0,1,3,0,1,0,0
기대된다,0,3,4,4,6,5,4,0,5,8
기반,3,3,9,1,8,2,4,3,4,6
기반으로,2,15,9,7,6,0,6,0,6,9
기사,3,5,3,2,1,3,1,1,2,1
기사제휴,0,1,3,0,0,0,0,0,0,0
기술력,0,2,4,0,3,0,1,0,2,1
기업으로,3,20,12,9,8,0,8,0,8,12
기자,2,8,5,5,3,6,6,4,2,7
기준금리,0,3,1,0,1,3,0,1,0,0
기판,1,0,3,1,1,1,2,0,2,1
김광현,0,0,0,0,1,2,0,0,0,0
김보라,0,1,1,0,0,0,0,0,0,2
김영호,2,1,3,3,2,1,2,1,3,4
나노,0,2,4,0,3,0,1,0,2,1
나노기술,0,2,4,0,3,0,1,0,0,1
나인투파이브맥,1,2,0,0,1,2,1,2,1,1
남은,0,1,0,0,0,1,0,0,0,0
내구성,1,0,1,1,2,1,2,2,2,3
내년,2,10,12,14,13,16,13,9,12,24
내년에도,1,3,0,4,2,1,2,0,2,3
내놓,1,2,0,0,1,2,1,2,1,1
내부,2,0,1,1,0,0,0,0,0,0
내부거래,1,0,1,1,2,3,1,4,0,1
넘게,0,5,1,0,1,6,0,2,0,0
넷마블,1,3,3,2,3,2,7,1,2,3
넷마블게임박물관,0,1,2,0,0,0,1,2,0,0
노동,0,2,2,1,2,2,1,3,0,1
노조,0,2,2,1,2,2,1,3,0,1
노조들,0,2,2,1,2,2,1,3,0,1
높은,4,5,6,5,4,5,4,2,2,9
뉴로메카,3,20,12,9,8,0,8,0,8,12
뉴시스,7,3,5,3,3,5,3,2,2,7
다양한,0,7,11,1,8,3,6,1,4,8
다음,5,2,3,1,3,0,1,1,0,1
단독,1,3,4,7,6,4,6,3,15,12
단지,0,0,4,0,0,2,0,0,0,0
단지명,0,0,2,0,0,1,0,0,0,0
달러,0,2,2,2,4,1,3,1,2,3
대비,1,10,14,16,16,16,11,6,13,19
대신증권,0,0,6,11,6,6,6,1,5,9
대우건설,1,1,8,1,1,4,1,2,0,2
대죄,0,0,1,0,1,1,2,0,0,0
대통령,1,0,1,1,2,3,1,4,0,1
대표,4,5,4,8,7,7,4,4,3,10
대표이사,2,0,2,2,1,1,0,2,0,0
대한,4,6,7,7,9,8,6,8,4,10
대형,3,2,8,9,8,4,9,3,6,12
더블,0,0,0,0,1,2,0,0,0,0
더팩트,0,0,2,0,0,1,0,0,0,0
덕수궁,0,0,1,1,2,1,2,0,1,2
덧붙였다.,0,1,2,2,2,2,2,1,2,4
덱스,1,0,1,1,2,1,2,2,2,3
도요타,0,1,1,0,2,1,1,1,0,2
도쿄게임쇼,1,3,4,3,4,2,10,1,3,6
동기,0,2,2,2,3,2,2,0,3,4
동일하이빌,0,1,1,0,1,2,1,1,0,1
두께,1,2,0,0,1,2,1,2,1,1
두나무,0,3,1,0,1,3,0,1,0,0
두산밥캣,0,3,3,1,3,2,4,0,2,5
뒷좌석,0,1,2,0,3,0,1,3,1,2
등은,3,5,3,2,1,3,1,1,2,1
등을,0,3,3,1,3,2,4,0,2,5
등이,4,2,2,1,1,1,1,1,1,1
디바이스,0,1,2,0,0,0,0,0,0,4
디스플레,8,31,43,39,48,37,53,18,36,82
디자인,1,4,6,1,5,2,2,5,1,5
딜사이트,0,2,1,2,2,1,2,1,2,4
따돌릴,0,1,2,2,2,3,2,1,2,4
따르면,3,2,6,1,2,4,2,2,0,6
라닉스,1,4,4,0,3,3,1,2,3,2
라인,0,1,2,2,2,2,2,1,5,4
레이저,0,2,4,4,4,3,4,1,10,8
로봇,3,20,12,9,8,0,8,0,8,12
롯데,0,0,0,0,1,1,1,3,0,0
루이리스,0,0,6,0,0,3,0,0,0,0
리얼리티랩스,5,0,2,1,1,2,1,0,0,1
리프팅,0,1,4,0,0,0,0,0,0,6
마련됐다.,1,0,0,2,0,2,0,1,0,0
마약,1,4,4,0,3,3,1,2,3,2
마이크로,5,4,9,5,8,8,6,3,3,15
마지막,1,2,3,1,3,4,3,6,0,3
만나,0,2,1,2,2,1,2,1,2,4
만성골수성백혈병,0,0,1,0,0,1,0,3,0,0
만큼,0,2,1,2,2,1,2,1,2,4
많이,0,1,2,2,2,2,2,1,2,4
많지,4,2,2,1,1,2,1,3,2,3
말했다.,0,7,9,8,9,11,9,7,6,15
맞아,0,0,1,1,2,1,2,0,1,2
매장,3,4,5,5,4,7,2,5,0,5
매출,1,0,4,8,6,7,5,5,3,7
매출액,0,2,2,2,3,2,2,0,3,4
메인,2,0,0,2,3,1,2,0,1,2
메타,36,12,16,11,13,12,10,11,9,16
메타버스,5,2,3,1,3,0,1,1,0,1
멤버십,0,0,0,0,1,2,0,0,0,0
명절,0,0,1,1,2,1,2,0,1,2
모두,0,3,2,2,5,4,4,5,3,3
모듈,1,4,4,0,3,3,1,2,3,2
모바일,1,3,2,2,2,1,5,1,2,3
모바일용,0,0,3,4,2,2,2,0,2,3
모발,0,1,3,0,0,0,0,0,0,0
모빌리티,1,4,4,0,3,3,1,2,3,2
몰리며,0,1,1,0,1,2,1,1,0,1
무기,0,0,1,0,1,1,2,0,0,0
무료,1,0,1,3,2,3,2,1,1,2
무브,0,1,3,0,0,0,0,0,0,0
무한,9,3,4,5,4,4,4,2,4,8
문의,0,1,3,0,0,0,0,0,0,0
문제,2,0,2,2,1,1,0,2,0,0
물론,0,1,1,0,1,2,1,1,0,1
미국,6,11,7,2,5,8,2,5,2,4
미디어펜,0,2,0,0,0,3,0,1,0,0
미래,2,1,3,3,2,1,2,1,3,4
미래나노텍,0,4,8,0,6,0,2,0,2,2
미세,1,0,3,1,1,1,2,0,2,1
밀도,0,1,4,0,0,0,0,0,0,6
바다,0,1,2,0,3,0,1,3,1,2
박근태,0,2,2,1,2,2,1,3,0,1
박물관,0,1,2,0,0,0,1,2,0,0
박찬호,0,0,0,0,1,2,0,0,0,0
반도체,7,7,10,5,7,7,6,7,12,10
밝혔다.,0,5,11,5,10,5,16,0,5,18
방법,0,0,2,2,3,1,5,0,1,4
방산,1,4,2,4,2,2,5,1,2,3
방식,4,2,2,1,1,1,1,1,1,1
방식으로,1,2,3,3,2,3,1,1,2,2
배터리,5,5,6,1,5,1,2,2,2,2
번째,0,0,0,0,1,2,0,0,0,0
베리타스,2,0,1,1,0,0,0,0,0,0
변화,1,0,3,1,2,2,2,2,2,4
별도기준,0,2,2,2,3,2,2,0,3,4
보고,4,0,1,1,1,2,1,2,0,1
보다,2,0,1,1,0,0,0,0,0,0
보도자료,0,1,4,0,0,0,0,0,0,2
보여주,0,1,2,0,3,0,1,3,1,2
보인다.,2,0,0,1,2,1,1,0,0,1
보조금,0,1,2,0,3,0,1,3,1,2
본딩장비,0,3,4,4,6,5,4,0,5,8
부드러운,0,1,2,0,3,0,1,3,1,2
부문에서,5,0,2,1,1,2,1,0,0,1
부사장,6,2,6,7,4,4,3,5,4,6
부스,0,0,0,1,3,0,4,0,1,3
부채비율,1,2,2,2,2,3,2,4,2,4
부품,5,6,6,1,4,5,2,5,5,5
부회장,1,4,2,4,2,2,5,1,2,3
북미,1,5,1,7,4,2,4,0,4,7
분야,4,3,4,1,1,2,1,2,2,1
분양,1,1,2,1,1,1,1,2,0,2
불편함,0,0,1,0,0,1,0,3,0,0
브레이커스,0,1,6,4,7,3,15,0,3,10
비롯해,1,0,2,1,3,2,6,0,1,4
비용,1,2,3,3,2,3,1,1,2,2
비전옥스,1,4,6,9,8,5,8,3,20,16
빅터뉴스,0,1,0,0,0,2,0,0,0,0
빠른,0,0,2,1,2,1,5,0,1,3
사람,5,2,3,1,3,0,1,1,0,1
사무연구직,0,2,2,1,2,2,1,3,0,1
사무직,0,2,2,1,2,2,1,3,0,1
사업,10,15,20,12,13,13,9,8,10,13
사외이사,2,0,2,2,1,1,0,2,0,0
사용자,4,1,4,1,1,2,1,2,0,1
사용할,2,0,0,1,2,1,1,0,0,1
사이니지,1,4,5,1,4,3,2,3,0,5
사이즈,0,0,0,0,1,2,0,0,0,0
사이즈업,0,0,0,0,1,2,0,0,0,0
사장,4,12,17,18,16,18,16,13,15,31
사회적,0,2,2,1,2,2,1,3,0,1
사흘간,1,1,2,1,1,1,1,2,0,2
산업,8,25,17,11,12,2,12,5,13,16
삶의,0,0,1,0,0,1,0,3,0,0
삼성,12,11,14,9,13,13,10,6,9,15
삼성SDS,1,0,1,1,2,3,1,4,0,1
삼성디스플레,1,6,3,5,4,4,4,2,4,9
삼성디스플레이,2,13,17,15,19,15,25,11,13,31
삼성전자,7,9,9,7,9,10,7,7,4,13
삼현,1,4,4,0,3,3,1,2,3,2
상반기,0,3,4,4,5,4,4,1,5,8
상승,0,2,0,0,0,3,0,1,0,0
상승한,0,5,1,0,1,6,0,2,0,0
상위,0,1,0,0,0,2,0,0,0,0
상황,3,5,3,2,1,3,1,1,2,1
새로운,7,3,7,1,6,0,2,2,0,4
생산,1,3,5,5,4,5,3,3,6,5
생산라인,2,5,6,12,12,10,10,5,18,21
생활가전,2,1,1,2,1,2,1,2,1,2
샤오미,0,0,0,1,1,0,1,0,1,1
선정됐다.,0,0,4,0,0,2,0,0,0,0
설치확인,0,1,2,0,0,1,0,1,1,0
성능,1,0,1,1,2,1,2,2,2,3
성능에서,2,0,0,1,2,1,1,0,0,1
성분,0,0,4,0,0,0,0,0,0,4
성우,0,0,1,0,1,1,2,0,0,0
성장,6,7,13,1,11,2,6,2,3,4
성장세,1,1,0,3,4,3,2,1,1,5
세계,7,25,21,14,19,4,19,4,15,25
세계관,0,0,0,1,3,0,4,0,1,3
섹션,1,1,2,1,1,1,1,2,0,2
소상공인,2,0,0,4,0,4,0,2,0,0
소수점,0,3,1,0,0,3,0,0,0,0
소재,1,4,11,1,7,1,4,0,4,3
소프트웨어,0,1,5,2,4,2,4,2,1,3
손기호,1,1,2,1,1,1,1,2,0,2
손님,0,1,1,0,0,1,0,0,0,0
솔루션,4,23,16,10,10,2,9,2,8,15
수상자,0,0,0,0,1,2,0,0,0,0
수익성,0,0,6,11,6,6,6,1,5,9
수주,0,2,6,4,5,6,4,1,7,8
스마일게이트,1,3,2,2,2,1,5,1,2,3
스마트글라스,5,0,2,1,1,2,1,0,0,1
스마트글래스,4,2,2,1,1,1,1,1,1,1
스마트워치,5,3,12,3,6,7,6,4,4,14
스마트폰,23,8,10,6,13,7,7,7,4,9
스스로,0,0,1,0,0,1,0,3,0,0
스타벅스,0,0,0,0,1,2,0,0,0,0
스타일링,0,1,3,0,0,0,0,0,0,0
스트레처블,2,1,3,3,2,1,2,1,3,4
스페셜,0,0,1,0,1,1,2,0,0,0
시가총액,0,1,0,0,0,2,0,0,0,0
시간,0,1,3,0,0,0,0,0,0,0
시공사로,0,0,6,0,0,3,0,0,0,0
시그니처,0,1,3,0,0,0,0,0,0,0
시기,0,3,1,2,2,3,2,2,3,4
시리,2,0,1,1,0,0,0,0,0,0
시장에,1,1,3,1,2,1,2,0,2,4
시장에서,4,2,2,1,1,1,1,1,1,1
시즌,0,0,0,0,1,1,1,3,0,0
신고,1,0,0,0,1,1,1,0,0,1
신규,1,2,2,5,4,2,4,2,10,8
신시장,0,1,1,1,2,1,2,1,3,3
신작,1,3,4,4,5,2,10,1,3,7
신저,1,0,0,0,1,1,1,0,0,1
신체적,0,0,1,0,0,1,0,3,0,0
실적,1,14,15,17,16,15,18,10,14,28
써밋,0,0,6,0,0,3,0,0,0,0
씨라이언,0,1,2,0,3,0,1,3,1,2
씬-스틸러상,0,0,0,0,1,2,0,0,0,0
아니라,2,1,2,0,3,0,1,1,0,1
아래,1,0,1,1,2,1,2,2,2,3
아메리카노,0,0,0,0,1,2,0,0,0,0
아산탕정,0,1,1,0,1,2,1,1,0,1
아산탕정지구,0,1,1,0,1,2,1,1,0,1
아이오닉,0,3,3,1,3,2,4,0,2,5
아이폰,2,2,0,0,2,3,1,2,1,1
아직,3,2,6,1,2,4,2,2,0,6
아침,3,5,3,2,1,3,1,1,2,1
아토,0,1,2,0,3,0,1,3,1,2
안경,18,7,9,7,8,6,6,6,6,12
안경에,4,2,2,1,1,2,1,3,2,3
안의,0,0,3,2,4,2,3,0,1,3
알람,3,5,3,2,1,3,1,1,2,1
암흑기,0,0,0,0,1,1,1,3,0,0
애니메이션,0,1,2,2,5,1,9,0,2,6
애플,19,12,14,16,16,22,13,7,13,23
액상,1,0,3,1,1,1,2,0,2,1
앰비언트,2,1,1,2,1,2,1,2,1,2
앱을,2,0,1,1,0,0,0,0,0,0
야외에서도,1,1,3,0,1,2,1,1,0,3
얇은,1,2,0,0,1,2,1,2,1,1
양사,0,2,2,3,4,2,2,2,2,4
양산,0,2,3,2,4,4,4,2,5,7
양의지,0,0,0,0,1,2,0,0,0,0
양자표준기술,0,1,2,2,3,3,2,0,2,4
업계,1,8,5,7,8,5,7,3,6,12
업그레이드,1,0,1,1,2,1,2,2,2,3
업체,1,1,3,1,2,1,2,0,2,4
업체들,1,3,3,3,2,5,1,2,3,2
없었다.,0,0,0,0,1,1,1,3,0,0
없이,0,3,1,0,0,3,0,0,0,0
에너지,0,1,2,0,0,1,0,1,1,0
에서,0,2,2,2,4,1,3,1,2,3
엔씨소프트,1,4,8,7,12,4,24,1,6,16
여전히,1,4,4,4,6,4,5,5,4,7
여행,0,2,1,0,0,2,0,0,0,0
역사상,0,0,0,0,1,1,1,3,0,0
역시,0,0,0,0,1,1,1,3,0,0
역임하며,0,1,1,1,2,1,2,1,3,3
연간,0,2,2,2,2,2,2,1,2,4
연결기준,1,2,2,2,2,3,2,4,2,4
연구원,1,8,7,15,12,9,10,0,11,18
연장,0,1,2,0,0,1,0,1,1,0
연휴,0,0,1,1,2,1,2,0,1,2
열린,0,0,2,0,0,1,0,0,0,0
영업,2,1,1,2,1,2,1,2,1,2
영업이익,3,6,8,20,11,10,11,3,10,18
영웅,0,0,1,0,1,1,2,0,0,0
예상된다,1,3,0,4,2,1,2,0,2,3
예정입니다.,0,0,2,0,0,1,0,0,0,0
오디오,0,0,3,2,4,2,3,0,1,3
오른,0,3,1,0,1,3,0,1,0,0
오리진,0,0,1,0,1,1,2,0,0,0
오전,0,2,0,0,0,3,0,1,0,0
올해,6,7,11,11,10,11,9,9,7,18
옵트론텍,2,1,2,0,3,0,1,1,0,1
완성하,0,1,1,0,1,2,1,1,0,1
왕실,0,0,2,0,0,1,0,0,0,0
외관,0,0,2,0,0,1,0,0,0,0
외국인,0,3,1,0,1,3,0,1,0,0
외화,0,3,1,0,0,3,0,0,0,0
외화통장,0,3,1,0,0,3,0,0,0,0
요금,2,0,0,4,0,4,0,2,0,0
우리,5,2,3,1,3,0,1,1,0,1
운영,0,1,2,0,0,1,0,1,1,0
웃도,0,0,3,4,2,2,2,0,2,3
원격,0,1,1,0,2,1,1,1,0,2
원으로,0,0,2,4,2,2,2,0,2,3
월간,0,0,0,0,1,2,0,0,0,0
웨어러블,2,1,6,2,4,3,4,2,4,8
웨이브가이드,4,2,2,1,1,1,1,1,1,1
웹OS로,0,0,3,2,4,2,3,0,1,3
위안,1,2,2,5,4,2,4,2,10,8
위원장,0,2,2,1,2,2,1,3,0,1
위탁생산,4,2,2,1,1,2,1,3,2,3
위해,1,2,3,3,2,3,1,1,2,2
유가증권시장에서,0,2,0,0,0,3,0,1,0,0
유기발광다이오드,0,3,3,4,4,4,4,2,4,8
유비리서치,4,3,9,2,4,5,4,2,2,10
유비리서치에,3,2,6,1,2,4,2,2,0,6
유우키,0,0,1,0,1,1,2,0,0,0
유준환,0,2,2,1,2,2,1,3,0,1
유플러스닷컴,2,0,0,4,0,4,0,2,0,0
으로,0,0,2,0,0,1,0,0,0,0
음이온,0,1,3,0,0,0,0,0,0,0
의료진,0,0,1,0,0,1,0,3,0,0
이는,2,1,2,3,4,3,3,2,4,4
이를,0,2,4,0,3,0,1,0,2,1
이번,9,24,17,15,16,7,14,3,10,19
이벤트,3,5,3,6,2,7,5,3,2,3
이어,2,7,2,7,4,4,4,1,4,8
이용할,0,0,0,0,1,2,0,0,0,0
이원석,0,0,0,0,1,2,0,0,0,0
이원우,0,2,0,0,0,3,0,1,0,0
이유,1,0,1,1,2,1,2,2,2,3
이익잉여금,1,2,2,2,2,3,2,4,2,4
이직,0,2,2,1,2,2,1,3,0,1
이진숙,2,0,2,2,1,1,0,2,0,0
이차전지,0,4,8,0,6,0,2,0,2,2
이청,1,7,7,5,6,8,6,5,6,13
이후,1,2,0,0,1,2,1,2,1,1
인근에,1,1,2,1,1,1,1,2,0,2
인연,0,0,0,0,1,1,1,3,0,0
인터넷,2,0,0,4,0,4,0,2,0,0
인플루언서,1,3,2,2,2,1,5,1,2,3
인하,0,3,1,0,1,3,0,1,0,0
일곱,0,0,1,0,1,1,2,0,0,0
일본,1,4,4,4,7,2,14,1,4,9
일부,3,0,0,1,3,2,1,0,0,1
일상,0,0,1,0,0,1,0,3,0,0
입지,0,1,1,0,1,2,1,1,0,1
있는,8,9,17,9,11,14,20,5,8,16
있다,2,10,14,15,14,15,12,6,11,24
있다.,52,55,72,45,63,64,51,44,42,78
있도록,2,0,3,1,0,0,0,0,0,2
있습니다.,4,2,2,1,1,2,1,3,2,3
있어,0,1,2,2,2,2,2,1,2,4
있었다.,0,1,2,0,0,0,1,2,0,0
자동차,2,8,9,1,7,6,3,5,3,7
자사,0,1,2,0,0,1,0,1,1,0
자율주행차,2,1,2,0,3,0,1,1,0,1
작은,1,0,1,1,2,1,2,2,2,3
장벽,0,2,4,0,0,0,0,0,0,6
장비,2,11,14,13,17,13,13,5,28,26
재개발,0,0,4,0,0,2,0,0,0,0
재계,1,0,1,1,2,3,1,4,0,1
재료,0,0,1,0,1,1,2,0,0,0
전기,0,1,2,0,3,0,1,3,1,2
전년,0,2,7,10,7,6,6,0,7,10
전략,5,3,2,1,2,1,1,2,2,1
전망,0,0,2,4,2,2,2,0,2,3
