org,topic_0,topic_1,topic_101,topic_102,topic_11,topic_12,topic_13,topic_14,topic_17,topic_18,topic_19,topic_2,topic_20,topic_21,topic_22,topic_23,topic_25,topic_26,topic_27,topic_28,topic_29,topic_3,topic_30,topic_32,topic_33,topic_35,topic_36,topic_37,topic_38,topic_4,topic_40,topic_41,topic_42,topic_43,topic_44,topic_45,topic_46,topic_49,topic_5,topic_50,topic_51,topic_53,topic_54,topic_55,topic_56,topic_57,topic_58,topic_59,topic_6,topic_60,topic_61,topic_63,topic_64,topic_65,topic_66,topic_67,topic_68,topic_69,topic_7,topic_70,topic_71,topic_72,topic_73,topic_74,topic_75,topic_76,topic_77,topic_78,topic_79,topic_8,topic_80,topic_81,topic_84,topic_85,topic_86,topic_88,topic_89,topic_9,topic_90,topic_92,topic_93,topic_94,topic_96,topic_97,topic_98,topic_99
LG디스플레이,1243.51 (6%),1345.85 (9%),,,760.38 (6%),,,,,,,,,,,,,,,,,,,,,,1186.28 (15%),,,,,944.48 (17%),,,,,,,,840.46 (11%),,,,,,,,,,,,,,,1463.25 (17%),,,,,,,729.97 (10%),,,,,,,,,,,,,,,,,,,,,,,,
LG전자,1133.30 (6%),993.15 (7%),,,,,,,,,,1248.87 (30%),,,,,,,,,,1535.19 (15%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,831.42 (10%),,,,,,,,,,,986.62 (21%),,,,,748.98 (31%),1142.65 (23%),,,
LG화학,228.74 (1%),161.36 (1%),,,221.34 (2%),,,,,,,,,,,,,,145.93 (2%),,,,,,,,,,,,,,,130.58 (3%),,,,,,,,233.32 (6%),,,,,,,,,,,,,,,,,,,,,153.89 (5%),,,,,,,,,,,,,,,204.69 (3%),,,,,,,,
MOTIE,,,,,,,,,,,,,0.72 (0%),,0.73 (0%),,,,,,,,,0.71 (0%),,,,0.72 (0%),,,,,,,,,,,,,,,,0.72 (0%),3.63 (1%),,,,0.72 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.94 (0%)
MWC,13.86 (0%),6.43 (0%),,,,,,,,,,,,6.38 (0%),,,,6.39 (0%),,,,,,,,7.07 (0%),,,8.26 (0%),,,,,,,,,,,6.78 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,6.33 (0%),,,,,,,,,,,,,,,,,,,,
Merck,4.85 (0%),3.57 (0%),,,,,2.90 (0%),,,,,,,,,,,,,,3.62 (0%),,,,,,,,,,,,,,,4.45 (0%),,,,,,,,,9.07 (1%),,,,,,,,,,,3.52 (0%),,,,,,2.90 (0%),,,,,,,,,,,,,,,,,,,,,,,,
Metaverse,,,,,,,,0.86 (0%),,,,,,,,,,,,,,,,,,,,,0.69 (0%),,,,,,,,,,,,,,,,,0.79 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POSTECH,,,,,,,,,,,,,,,,7.14 (0%),,,,,,,,12.85 (0%),,,,,11.01 (0%),,,,,,,,7.25 (0%),,,,,,4.75 (0%),,,,,,,,5.34 (0%),,,,,,,,,,,,,,,,,,,4.63 (0%),4.54 (0%),,,,,,,,,,,,,,,
SEMI,4.85 (0%),5.71 (0%),,3.57 (0%),4.89 (0%),2.88 (0%),,,,,,,,,,2.86 (0%),,,,,,,,,,,,,,,,,,2.97 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.81 (0%),,,,,,,,
SFA,2.08 (0%),,,,2.79 (0%),,4.35 (0%),,,,,,,,,,,,2.09 (0%),,,,2.17 (0%),,,,,,,,,,,,,,,,,,,,,,,,1.53 (0%),,,,,,,,,,,,,,2.36 (1%),,,,,,1.65 (0%),,,,,,,,,,,,,,,,,,,
SID,110.90 (1%),89.96 (1%),,,99.15 (1%),,,,,,,,,,,,,,,,,,,,212.05 (5%),,89.21 (1%),,,,,,,,,,,,,,,,202.70 (8%),,,,,,,,,,,,154.67 (2%),74.56 (1%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SK하이닉스,605.81 (3%),302.01 (2%),,304.87 (6%),511.11 (4%),550.34 (7%),,,,,,,,,,,,,368.67 (4%),,,,,,,,,,,,,,,308.65 (6%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,422.75 (5%),,,,,,,,
