org,topic_0,topic_1,topic_10,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
Innolux,1.37 (0%),0.71 (0%),,0.73 (0%),,2.77 (0%),,0.71 (0%),,,
JDI,5.49 (0%),3.57 (0%),0.76 (0%),0.73 (0%),,0.69 (0%),,1.41 (0%),0.76 (0%),0.72 (0%),
KAIST,47.35 (1%),31.44 (1%),,19.70 (1%),24.21 (2%),55.45 (1%),,28.29 (1%),10.67 (1%),21.66 (2%),
LG디스플레이,164.02 (5%),125.78 (5%),,213.10 (6%),29.06 (2%),155.96 (4%),,96.90 (4%),19.82 (2%),25.27 (2%),
LG전자,315.00 (9%),393.06 (14%),,297.02 (9%),227.60 (14%),342.41 (9%),,209.37 (8%),66.31 (7%),64.27 (6%),
LG화학,47.35 (1%),29.30 (1%),10.67 (1%),44.52 (1%),7.26 (0%),74.17 (2%),,26.88 (1%),,15.16 (1%),
Magna,1.37 (0%),0.71 (0%),,2.19 (0%),0.81 (0%),,,,,0.72 (0%),
Merck,3.43 (0%),3.57 (0%),,7.30 (0%),0.81 (0%),6.24 (0%),,1.41 (0%),1.52 (0%),0.72 (0%),
SK하이닉스,109.80 (3%),71.47 (3%),19.05 (3%),81.01 (2%),,149.72 (4%),25.44 (4%),69.32 (3%),,31.77 (3%),
TCL,40.49 (1%),47.88 (2%),25.91 (4%),9.49 (0%),15.33 (1%),18.71 (0%),,41.73 (2%),9.15 (1%),,
TSMC,37.75 (1%),28.59 (1%),17.53 (2%),34.30 (1%),,64.46 (2%),15.07 (3%),25.46 (1%),,10.11 (1%),
Tianma,2.75 (0%),2.14 (0%),0.76 (0%),0.73 (0%),,4.16 (0%),,5.66 (0%),0.76 (0%),,
Toray,1.37 (0%),,,,10.49 (1%),1.39 (0%),,0.71 (0%),3.05 (0%),2.17 (0%),10.81 (6%)
UDC,5.49 (0%),1.43 (0%),,0.73 (0%),2.42 (0%),3.47 (0%),,,2.29 (0%),1.44 (0%),
UL,12.35 (0%),7.86 (0%),,6.57 (0%),3.23 (0%),13.86 (0%),,6.37 (0%),7.62 (1%),5.78 (1%),
Visionox,2.06 (0%),2.86 (0%),2.29 (0%),0.73 (0%),,1.39 (0%),,1.41 (0%),,0.72 (0%),
구글,147.47 (4%),89.04 (3%),,41.71 (1%),35.98 (2%),122.80 (3%),,70.34 (2%),26.13 (2%),35.49 (3%),
기아,67.46 (2%),43.29 (1%),9.58 (1%),50.88 (1%),22.14 (1%),93.49 (2%),,37.19 (1%),,23.11 (2%),
기아자동차,3.43 (0%),3.57 (0%),0.76 (0%),,0.81 (0%),5.55 (0%),0.94 (0%),1.41 (0%),,1.44 (0%),
네이버,126.27 (4%),77.90 (3%),,46.71 (1%),87.97 (6%),115.06 (3%),,70.73 (3%),33.53 (4%),45.49 (4%),
도우인시스,1.37 (0%),0.71 (0%),,0.73 (0%),0.81 (0%),2.08 (0%),,0.71 (0%),,,
두산로보틱스,19.22 (1%),29.30 (1%),,8.03 (0%),3.23 (0%),30.50 (1%),,14.85 (1%),5.33 (1%),5.05 (0%),
딥엑스,6.18 (0%),7.15 (0%),,4.38 (0%),,14.56 (0%),,1.41 (0%),3.81 (0%),0.72 (0%),
레노버,61.97 (2%),36.02 (1%),,8.43 (0%),194.91 (12%),42.21 (1%),,20.05 (1%),19.21 (2%),22.75 (2%),
리벨리온,13.73 (0%),17.15 (1%),,8.76 (0%),4.84 (0%),17.33 (0%),2.83 (0%),1.41 (0%),,1.44 (0%),
리오토,1.37 (0%),,0.76 (0%),,,0.69 (0%),,,,1.44 (0%),
마이크로소프트,83.04 (2%),52.88 (2%),,36.49 (1%),,76.94 (2%),9.42 (2%),48.81 (2%),14.48 (2%),25.27 (2%),
메타,81.58 (2%),57.18 (2%),,26.69 (1%),14.76 (1%),90.32 (2%),20.46 (3%),39.62 (1%),,23.94 (2%),
미디어텍,12.35 (0%),9.29 (0%),,8.03 (0%),,12.48 (0%),3.77 (1%),7.78 (0%),3.81 (0%),4.33 (0%),
바이두,2.75 (0%),2.86 (0%),1.52 (0%),,1.61 (0%),2.77 (0%),0.94 (0%),1.41 (0%),,1.44 (0%),
벤츠,59.71 (2%),49.31 (2%),,275.86 (8%),40.35 (3%),83.18 (2%),,74.98 (3%),12.19 (1%),,13.21 (7%)
비보,5.49 (0%),2.14 (0%),2.29 (0%),1.46 (0%),,2.77 (0%),,6.37 (0%),2.29 (0%),2.17 (0%),
삼성디스플레이,136.50 (4%),98.89 (3%),42.02 (5%),347.11 (10%),66.31 (4%),174.59 (4%),,132.28 (5%),28.01 (3%),,
삼성전자,581.96 (16%),480.96 (17%),,805.68 (24%),213.07 (13%),650.17 (16%),,717.94 (27%),233.21 (25%),133.59 (13%),
샤오미,52.84 (1%),38.59 (1%),122.70 (17%),35.03 (1%),22.60 (1%),45.75 (1%),49.93 (8%),36.07 (1%),,,
샤오펑,1.37 (0%),2.14 (0%),0.76 (0%),,,2.08 (0%),,0.71 (0%),,0.72 (0%),
샤프,0.69 (0%),,0.76 (0%),,4.04 (0%),0.69 (0%),,0.71 (0%),0.76 (0%),41.16 (4%),
선익시스템,5.49 (0%),3.57 (0%),1.52 (0%),2.92 (0%),,12.48 (0%),,0.71 (0%),,2.17 (0%),
소니,14.41 (0%),12.15 (0%),11.43 (2%),,11.30 (1%),15.94 (0%),,7.78 (0%),7.62 (1%),5.05 (0%),
아마존,81.67 (2%),51.46 (2%),,31.38 (1%),75.06 (5%),74.17 (2%),,45.27 (2%),19.82 (2%),30.33 (3%),
알파벳,19.22 (1%),12.15 (0%),,8.76 (0%),,22.18 (1%),3.77 (1%),10.61 (0%),,10.83 (1%),1.20 (1%)
애플,203.93 (5%),123.81 (4%),,95.78 (3%),50.85 (3%),171.03 (4%),,151.51 (5%),42.41 (4%),54.59 (5%),
엔비디아,299.22 (8%),217.97 (8%),,269.29 (8%),,349.35 (9%),118.70 (20%),201.59 (8%),94.51 (10%),86.66 (8%),
오포,7.55 (0%),2.86 (0%),3.05 (0%),2.92 (0%),2.42 (0%),4.16 (0%),,8.49 (0%),,2.89 (0%),
원익IPS,17.16 (0%),15.01 (1%),3.81 (1%),11.68 (0%),0.81 (0%),39.51 (1%),,9.90 (0%),,2.89 (0%),
인텔,49.41 (1%),40.74 (1%),,25.54 (1%),7.26 (0%),80.41 (2%),,33.95 (1%),12.19 (1%),23.11 (2%),
카카오,62.45 (2%),37.88 (1%),,40.87 (1%),39.55 (2%),62.38 (2%),,31.83 (1%),23.63 (3%),20.94 (2%),
퀄컴,65.20 (2%),50.74 (2%),,35.76 (1%),15.33 (1%),73.47 (2%),,45.98 (2%),19.82 (2%),18.05 (2%),
텐센트,4.80 (0%),,1.52 (0%),0.73 (0%),4.04 (0%),1.39 (0%),0.94 (0%),,1.52 (0%),2.89 (0%),
폭스바겐,25.39 (1%),18.58 (1%),5.33 (1%),30.65 (1%),8.07 (1%),40.90 (1%),,16.98 (1%),,11.55 (1%),
하이센스,40.79 (1%),42.48 (1%),18.29 (2%),15.85 (0%),6.46 (0%),22.98 (1%),,42.85 (1%),8.71 (1%),,
하이얼,1.37 (0%),1.43 (0%),1.52 (0%),,,1.39 (0%),,0.71 (0%),,0.72 (0%),
한미반도체,17.16 (0%),11.43 (0%),3.05 (0%),12.41 (0%),,27.73 (1%),,9.20 (0%),0.76 (0%),3.61 (0%),
한화솔루션,15.78 (0%),11.43 (0%),3.05 (0%),10.95 (0%),2.42 (0%),25.65 (1%),,9.90 (0%),,4.33 (0%),
한화시스템,17.84 (0%),12.15 (0%),,9.49 (0%),,21.49 (1%),,6.37 (0%),3.81 (0%),5.78 (1%),3.60 (2%)
현대모비스,56.21 (1%),34.80 (1%),,40.39 (1%),8.04 (0%),79.02 (2%),,24.27 (1%),7.59 (1%),16.78 (1%),
현대자동차,47.35 (1%),39.31 (1%),,32.84 (1%),16.95 (1%),81.10 (2%),,27.59 (1%),15.24 (2%),26.00 (3%),
화웨이,26.08 (1%),19.30 (1%),28.20 (4%),15.33 (0%),,36.74 (1%),13.19 (2%),12.73 (0%),,5.05 (0%),
