org,topic_0,topic_1,topic_10,topic_100,topic_101,topic_102,topic_103,topic_104,topic_109,topic_11,topic_110,topic_111,topic_112,topic_113,topic_114,topic_118,topic_12,topic_122,topic_123,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_2,topic_20,topic_22,topic_23,topic_24,topic_25,topic_26,topic_27,topic_28,topic_29,topic_3,topic_30,topic_31,topic_33,topic_34,topic_35,topic_37,topic_38,topic_39,topic_4,topic_40,topic_41,topic_42,topic_43,topic_46,topic_47,topic_48,topic_5,topic_50,topic_51,topic_52,topic_54,topic_55,topic_56,topic_57,topic_58,topic_61,topic_62,topic_68,topic_69,topic_70,topic_72,topic_73,topic_75,topic_76,topic_77,topic_78,topic_79,topic_8,topic_80,topic_81,topic_83,topic_84,topic_87,topic_89,topic_9,topic_91,topic_95,topic_99
MWC,35.79 (0%),24.25 (0%),,,,,,,,,,40.29 (1%),,,,,,,,,,,,,,21.72 (0%),23.49 (0%),,,21.29 (0%),,,98.50 (2%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.25 (0%),,,,,,,,,,,,
Merck,8.95 (0%),4.28 (0%),,,,,,,,,,,,,,,4.16 (0%),,,,4.16 (0%),,,,,,,,,,,,,,,,,,,3.67 (0%),,,,8.99 (1%),,,,,,,,,,,4.82 (0%),,,,,,,,,,,,,5.22 (0%),,,,,,,,,,,,,,,,,
Metaverse,2.75 (0%),,2.09 (0%),,,,,,,,,,,,,,2.08 (0%),,,,3.47 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.14 (0%),,,,,2.75 (0%),,,,,,,,,1.66 (0%),,,,,,,,,,,,,,,,1.67 (0%),,,,,
Nitto,4.13 (0%),,,,1.42 (0%),,,,,,,,,,,,2.77 (0%),2.26 (0%),,,2.08 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.75 (0%),1.41 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,1.45 (0%),,,
POSTECH,2.06 (0%),,,,,,,,,,,,,,1.46 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43 (0%),,,,2.08 (0%),2.06 (0%),2.11 (0%),,,,,,,,,,,,,,,,1.60 (0%),,,,,,,,,,,,2.87 (0%),
SEMI,5.51 (0%),4.99 (0%),,,3.54 (0%),,,,,,,,,,,2.90 (0%),4.85 (0%),6.01 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.44 (0%),,,,,3.54 (0%),,,,,,,,,,,,,,,,,,,,,,,,,
SFA,3.44 (0%),,,,,,,,,,,3.73 (0%),,,,,2.77 (0%),,,,,,,,,,2.27 (0%),2.19 (0%),,,,,6.06 (0%),,4.31 (0%),,,,,,,,,,,,,2.72 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SID,142.47 (1%),85.60 (1%),,,,,,,,,,,,,,,98.43 (1%),,128.36 (1%),,,,,,,,,,,,,,,108.51 (1%),,,,,193.18 (8%),,,,91.17 (1%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.13 (7%),,,,,,,,,,,,,
SK하이닉스,830.76 (3%),,555.68 (5%),,405.08 (5%),,,,,,,,,,,,662.65 (4%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,475.71 (5%),,,,612.57 (4%),,416.98 (6%),,,,,,,,,,,,,,,,,,,,,,,,,552.35 (6%),,,
Semiconductor,60.57 (0%),,38.39 (0%),,32.58 (0%),,32.81 (0%),,,,,,,,,,45.75 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.30 (0%),23.91 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,28.23 (0%),,,
TCL,604.31 (2%),527.88 (3%),,,,,,308.25 (5%),,,,,,,,340.24 (3%),,,,,,,,,,458.24 (5%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,498.56 (4%),,,,,,,,,,,,,357.86 (6%),,,,,,,,364.10 (4%),,,,
TSMC,176.89 (1%),,110.30 (1%),,94.19 (1%),,,,,,,,,,,,117.84 (1%),107.51 (3%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.57 (1%),,,,129.40 (1%),,,,,,,,,,,,,,,,,,,,,,,,,,,110.04 (1%),,,
Tianma,70.20 (0%),68.48 (0%),,,,,,,,,,,,,,46.33 (0%),,,36.47 (0%),,,,,,,,,,,,,,,36.65 (0%),,,,,,,,,32.09 (0%),,,,,,32.83 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,35.01 (0%),,,,,,,,
Toray,11.70 (0%),7.13 (0%),8.38 (0%),,8.50 (0%),,,,,,,,,,,,8.32 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.71 (0%),,,,,,7.57 (0%),,,,6.77 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,
UDC,35.10 (0%),21.40 (0%),,,,,,,,,,,,,,18.82 (0%),19.41 (0%),,,,,,,,,,,,,,,,,15.81 (0%),,,,,,,,,,,,,,,,,,,,,,,,,16.54 (0%),,,,,,,,19.55 (0%),,,,,,,,,,15.32 (0%),,,,,,,,
UL,71.58 (0%),46.37 (0%),,,,,,,,,,,,,,,38.82 (0%),,,,,,,,,51.40 (1%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.30 (0%),,,,,31.16 (0%),,,,,,,,,,,,,,,36.60 (1%),,,,,,36.48 (0%),,,,
V2X,110.12 (0%),61.35 (0%),71.20 (1%),,52.41 (1%),,,,,,,,,,,,71.39 (0%),,,,,,,,,,,,,,,,,72.58 (1%),,,,,,,,,,,,,,,,,,,,,66.76 (0%),,,,,,,,,,58.05 (1%),,,,,,,,,,,,,,,,,,,,
Visionox,102.55 (0%),97.02 (1%),,,,,,,,,,,,,,68.77 (1%),,,63.45 (1%),,,,,,,,,,,,,,,69.70 (1%),,,,,,,,,59.08 (1%),,,,,,64.91 (1%),,,,,,,,,,65.41 (1%),,,,,,,,,,,,,,,,,,,,,,,,,,
구글,753.67 (3%),,,,,,,,,,,,,,,,347.27 (2%),,,,378.46 (4%),,,,539.05 (18%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,314.69 (5%),441.19 (3%),,,,,,,,,,,,,,443.45 (17%),,,,,370.65 (6%),,,,,,,,,,,
기아,428.56 (1%),,347.88 (3%),,,,,,,,,,,,,,319.20 (2%),,,,,,,,,,,,,,,,,212.84 (2%),,,,,,,,,,,,,,,,,,,,,322.17 (2%),,,,,,,,,,204.94 (2%),,276.24 (3%),,,208.08 (5%),,,,,,,,,,,,,,,
기아자동차,26.15 (0%),14.27 (0%),23.04 (0%),,,,,,,,,,,,,,13.86 (0%),,,,,,,,,,,,,,,14.80 (1%),,,,,,,,,,,,,,,,,,13.55 (0%),,,,,15.83 (0%),,,,,,,,,,,,16.65 (0%),,,,,,,,,,,,,,,,,,
기아차,13.08 (0%),,9.77 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.89 (1%),,,,,9.44 (1%),,10.32 (0%),9.14 (0%),,,,,,,,,,,,,,,,,10.29 (0%),,,,,,,13.38 (1%),,,,,
네이버,529.98 (2%),214.00 (1%),196.86 (2%),,,219.37 (3%),,,,,,,,,,,258.54 (2%),,,,271.71 (3%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.25 (3%),306.97 (2%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
니오,6.19 (0%),6.42 (0%),,,4.25 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,4.11 (0%),,,,,,,,,,,,,,,,,,4.99 (0%),,,,,,,,,,4.25 (0%),,,,,,,4.34 (0%),,,,,,,,,,,,,,4.13 (0%),,,,
도우인시스,11.70 (0%),7.13 (0%),,,8.50 (0%),,,,,,,,,,,,12.48 (0%),,,,,,,,,,8.33 (0%),7.29 (0%),,,,,,,,,,,,,,,7.29 (0%),,,,,,,,,,,,,,,,9.02 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,
두산로보틱스,61.26 (0%),,72.60 (1%),,43.20 (1%),,,,,,,,,,,,66.54 (0%),,,,38.12 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.19 (0%),,,,,,,,,,41.15 (0%),,,,,,,,,,,,,,,,,,106.20 (5%),,
디지타임스,23.40 (0%),16.41 (0%),,,,,,,,,,,,,,9.41 (0%),11.78 (0%),,,,,,,,,,,,,,,,,,,,,,,,,11.04 (0%),,,,,,,,,,,,,10.32 (0%),,,,14.28 (0%),10.62 (0%),,,,,,,,,,,,,,,,,,,,,,,,,
딥엑스,2.75 (0%),,,,,1.41 (0%),1.40 (0%),,,,,,1.41 (0%),,,,1.39 (0%),1.50 (0%),,,,,,,,,,,,,,,,,,1.40 (0%),,,,,,,,,,,,,,,1.44 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
레노버,82.59 (0%),,,,,,,,,114.92 (4%),,,,,,,,,,67.67 (4%),,,,,,,,,,,,,,,,,66.53 (2%),246.33 (8%),,,,,,,,,,108.91 (5%),,,,,184.95 (12%),,,,,,,,,,,,,,,,,,,,,,,,,,,78.61 (3%),,,,,
리벨리온,27.53 (0%),,13.96 (0%),,,15.47 (0%),,,,,,,,,,,18.71 (0%),,,,36.74 (0%),,,,,,,,,,,,,,,23.04 (0%),,,,,,,,,,,,,,,,,,,31.66 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,14.45 (0%),,,,
리오토,9.64 (0%),7.85 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.40 (0%),,7.19 (0%),,,,,,,,,,,,,,,,,,6.11 (0%),,,,,,,,6.37 (0%),,,,,,,7.24 (0%),,,,,,,,,,,,,,6.88 (0%),,,,
마이크로소프트,527.22 (2%),,,,,295.30 (4%),,,,,,,,,,,253.69 (2%),,,,261.32 (3%),,,,,,,,,,318.37 (5%),,,,,,,,,,,,,,,,,,,,,,,,319.36 (2%),293.19 (3%),,,,,,,,,,,,,,,,,,,,,,372.78 (5%),,,,,,,
메타,538.24 (2%),,,,,,,,,,,,,,,,280.03 (2%),,,,,,,,,,,,,,249.51 (4%),,,,,,,,,,,,,,,,,,,,,,,244.68 (4%),313.17 (2%),264.36 (3%),,,,,,,,,,,,,,,,,,325.76 (6%),,,,297.38 (4%),,,,,,,
