org,topic_0,topic_1,topic_10,topic_100,topic_102,topic_103,topic_11,topic_12,topic_13,topic_14,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_25,topic_26,topic_27,topic_28,topic_29,topic_3,topic_30,topic_31,topic_33,topic_34,topic_36,topic_37,topic_38,topic_4,topic_40,topic_41,topic_42,topic_44,topic_45,topic_46,topic_47,topic_48,topic_49,topic_5,topic_51,topic_52,topic_53,topic_54,topic_56,topic_57,topic_59,topic_6,topic_60,topic_61,topic_62,topic_63,topic_64,topic_65,topic_66,topic_68,topic_69,topic_7,topic_70,topic_71,topic_73,topic_74,topic_75,topic_76,topic_77,topic_78,topic_8,topic_80,topic_81,topic_84,topic_85,topic_86,topic_87,topic_88,topic_89,topic_9,topic_90,topic_91,topic_92,topic_93,topic_94,topic_95,topic_96,topic_98,topic_99
LG디스플레이,1351.64 (7%),,,,,,,,,1454.48 (16%),,,,,,,,,,,,,,,,,927.89 (17%),,1280.89 (10%),,,,,,,,,,,,,,,,,,958.16 (9%),,,,,,,,,763.64 (11%),,,,,,,,,,1288.58 (16%),,,,,,,,,,,933.67 (11%),,,,,,,,,,
LG전자,1033.48 (6%),1245.89 (31%),,,1122.46 (23%),,,,,,,,,,,,,,,,,,,,,,,,759.69 (6%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,888.72 (11%),,,,,,,995.28 (11%),,,,,,,,731.46 (31%),999.52 (21%),,
LG화학,177.45 (1%),,217.85 (2%),,,,,,,,,,,,135.05 (2%),,,,,,160.59 (2%),,,,,,,,134.11 (1%),,,,,,,,248.68 (7%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.08 (2%),,,203.28 (3%),,,,,,,,,
MOTIE,,,,,,,,0.75 (0%),,,,0.72 (0%),,,,,,,,,,,,,0.72 (0%),,,,,,,,,,,3.63 (1%),,,,,,0.72 (0%),,,,,,,,,0.82 (0%),,,,,,0.72 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.71 (0%),
MWC,13.17 (0%),,,,,6.52 (0%),,,,,,,,,,,,6.50 (0%),,,6.98 (0%),,,,,,,,7.25 (0%),7.19 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.57 (0%),,,,,,,,,,,,,,,,,,,,6.43 (0%),
Merck,4.85 (0%),,,,,,,,2.90 (0%),,,,,,,,,,,3.71 (0%),,,,,,,,,3.62 (0%),,,,,,,9.07 (1%),,,,,,,,,,,3.57 (0%),,,,,,,,,,,,,,,,2.90 (0%),,,,,,,,,,,,,,,,,,,4.52 (0%),,,,,
Metaverse,,,,,,,,,,,,,,0.87 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.79 (0%),,,,,0.70 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POSTECH,,,,,,,,,,,,,,,,,,,,,,,,,,4.96 (0%),,6.52 (0%),,,,,,,,,,,4.03 (0%),12.34 (1%),,,,,,,,,,,,,,,,,,,,3.89 (0%),4.03 (0%),,,,,,4.92 (0%),,,4.54 (0%),,,,,,,,,,,,,,,,,
SEMI,2.08 (0%),,2.09 (0%),,,,1.47 (0%),,,,,,,,,,,,,,,2.16 (0%),,,,,,,,,,,,,,,,,,,,,,,,1.50 (0%),,,,,,,2.19 (0%),,,,,,,,,,,,,,2.81 (0%),,,,,,,,2.14 (0%),,,,,,,,,,,,
SFA,,,2.79 (0%),,,,,,4.35 (0%),,,,,,1.41 (0%),,,,,,2.79 (0%),,2.17 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.52 (0%),,,,,,,,,1.45 (0%),,,,,,,,,,,,,,,1.41 (0%),,,,,,,,,
SID,110.90 (1%),,97.75 (1%),,,,,,,126.38 (1%),,,,,,,,,207.91 (5%),,,,,,,,,,84.09 (1%),,,,,,,,,,204.56 (8%),,,,,,,,,,,,,,,,,,,,,,,,,,,125.64 (2%),,,,,,,,,,,75.39 (1%),,,,,,,,,,
SK하이닉스,409.65 (2%),,481.08 (4%),,,,463.78 (8%),,,,,,,,318.64 (5%),,,,,,377.05 (4%),,,,,,,,,,,,,,,,,286.41 (5%),,,,,,,,293.89 (6%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400.94 (5%),,,,,,,,,
Semiconductor,33.27 (0%),,37.01 (0%),,,,21.35 (0%),,,,,,,,26.03 (0%),,,,,,35.61 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,22.13 (0%),,,,,,,,,,,,,,,,,,,,23.21 (0%),,,,,,,,,,,30.25 (0%),,,,,,,,,
TCL,515.01 (3%),257.71 (6%),,,,,,,,,,,,,,,,,,,,,,,,,,,468.28 (4%),,,,,,,,,,,,,,,,,,428.39 (4%),,,,,,,,,,,,,,,,,,,,,,620.51 (8%),,,,,,,498.73 (5%),307.36 (4%),,,,,,,,319.56 (7%),,
TSMC,115.06 (1%),,104.04 (1%),,,,107.48 (2%),,,,,,,,,,,,,,89.37 (1%),,,,,,,,,,,,,,,,,84.50 (1%),,,,,,,,77.02 (2%),,,,,,,,,,,,,,,,,,,,,130.83 (2%),,,,,,,,,,,94.26 (1%),,,,,,,,,
Tianma,67.93 (0%),,,,,,,,,36.64 (0%),,,,,,,,,,,,,,,,,,,68.87 (1%),,,,,,,,,,,,,,,,,,62.12 (1%),,,,,,,,,,,,,,,,34.07 (0%),,,36.52 (0%),,,,,,,,,,36.24 (0%),36.97 (0%),,,,,,,,,,
Toray,9.01 (0%),,8.38 (0%),,,,,,6.52 (0%),,,,,,,,,,,,9.08 (0%),,,,,,,,8.70 (0%),,,,,,,,,,,,,,,,,,10.00 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,8.57 (0%),,,8.44 (0%),,,,,,,,,
UDC,24.26 (0%),,17.46 (0%),,,,,,13.77 (0%),,,,,,,,,,,,14.66 (0%),,,,,,,,20.30 (0%),,,,,,,,,,,,,,,,,,17.85 (0%),,,,,,,,,15.20 (0%),,,,,,,15.22 (0%),,,,,,,,,,,,,,,,,,,,,,,,
UL,56.14 (0%),,35.61 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,38.42 (0%),,,,,,,,,,,,,41.01 (1%),,,,,32.84 (0%),,,,,,,,,,,,,,,,,,,,,,47.12 (1%),,,,,,,34.07 (0%),34.80 (0%),,,,,,,,,,
V2X,68.62 (0%),,53.76 (0%),,,,,,,,,,,,,,,,,,52.37 (1%),,,,,,,,53.64 (0%),,,,,,,,,,,,,,,,42.62 (2%),,44.27 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.14 (0%),,46.42 (1%),,,,,,,,,
Visionox,103.97 (1%),,56.56 (0%),,,,,,55.82 (1%),65.06 (1%),,,,,,,,,,,,,,,,,,,104.39 (1%),,,,,,,,,,,,,,,,,,72.11 (1%),,,,,,,,,61.55 (1%),,,,,,,,,,63.55 (1%),,,,,,,,,,,,,,,,,,,,,
구글,537.19 (3%),,273.71 (2%),,,,,,,,,,,508.16 (19%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,408.56 (19%),,,,,299.54 (5%),,,,328.29 (6%),,,,,268.21 (7%),,,,,,,,,,263.78 (4%),,,,,,,,,,,,,,,,,,,,
기아,203.79 (1%),,208.77 (2%),,,,,,,,,,,,179.37 (3%),,,,,,152.22 (2%),,,,,,,,137.73 (1%),,,,,,,,,,,,,,,,,,142.80 (1%),,,,,,,,,,,,,150.28 (5%),,,,,,,,,,,,,,,,,,227.20 (3%),,,,,,,,,
기아자동차,16.64 (0%),,11.87 (0%),,,,,,,,,,,,,,,,,,11.87 (0%),11.51 (0%),,,,,,,12.32 (0%),,,,,,,,,,,,,,,,,,12.85 (0%),,,,,,,,,,,,,14.79 (1%),,,,,,,,,,,,,,,,,,19.70 (0%),,,,,,,,,
기아차,,,,,,,,3.77 (0%),,,,,,,3.52 (0%),,,,,,,3.60 (0%),,,,,3.02 (0%),,,,,,,,,,,,,,,,,,2.99 (0%),,,,,,,,,,2.94 (0%),,,,,3.89 (0%),,,,,,,,,,,,,,2.99 (0%),,,,,,,,,,,,,
네이버,278.65 (2%),,157.80 (1%),,,,,,,,,,,,,,,,,,,,,,,,,,145.70 (1%),134.95 (3%),,,,,,,,,,,,,,,,,133.51 (1%),141.74 (2%),,,,,,,,,,,,,,,,,,,143.49 (2%),,124.68 (2%),,,,,,,,,,,,,,,,,,
니오,6.24 (0%),,,,,,,,,,,,,,,,,,,,4.89 (0%),5.04 (0%),,,,,,,7.97 (0%),,,,,,,,,,,,,,,,,,7.14 (0%),,,,,,,,,,,,,5.45 (0%),,,,,,,,,,,,,,,5.00 (0%),4.35 (0%),,,,,,,,,,,
도우인시스,2.77 (0%),,4.89 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.40 (0%),,,,,,,,,,,,,,2.14 (0%),,,,,,,,,,,,,,,2.23 (0%),,,,,2.11 (0%),,,,,,,,,,,2.11 (0%),,,,,2.46 (0%),,,,
두산로보틱스,27.03 (0%),,50.97 (0%),,29.16 (1%),,,,,,,,,,30.95 (0%),,,,,,38.40 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.12 (7%),,,,27.85 (0%),,,53.46 (1%),,,,,,,,,
디지타임스,14.56 (0%),,7.68 (0%),,,,,,6.52 (0%),,,,,,,,,,,,7.68 (0%),,,,,,,,11.60 (0%),,,,,,,,,,,,,,,,,,10.71 (0%),,,,,,,,,10.64 (0%),,,,,,,,,,,6.33 (0%),,,,,,,,,,,,,,,,,,,,
딥엑스,1.39 (0%),,1.40 (0%),,,,,,,,,,,,,1.42 (0%),,,,,,,,,,,,,,,,,,,,,,,,,0.82 (0%),,,,,2.24 (0%),,,,,,,,,,,,0.86 (0%),,,,,,,,,4.22 (0%),,,0.91 (0%),,,,,,,,,,,,,,,,,
레노버,113.23 (0%),,,,,,,,,,,,65.47 (3%),,,,,,,,,,,,,,,,73.82 (0%),,,,,,,,,,,,,,,,,,56.05 (0%),,,96.78 (1%),,,,,,,,,,,,,,,,55.79 (0%),,,,336.86 (7%),,,,,,66.13 (0%),,,,,,,,,,,
리벨리온,13.86 (0%),,11.17 (0%),,,,,,,,,,,,7.74 (0%),,,,,,8.38 (0%),,,8.97 (0%),,,,10.87 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.97 (0%),,,,,,,,,,,,8.57 (0%),
리오토,8.32 (0%),,,,,,,,,,,,,,,,,,,,,,,,,,,7.25 (0%),9.42 (0%),,,,,,,,,,,,,,,,,,8.57 (0%),,,,,,,,,,,,,6.23 (0%),,,,,4.56 (0%),,,,,,,,,5.98 (0%),,5.07 (0%),,,,,,,,,,,
마이크로소프트,225.97 (1%),,150.82 (1%),,,,,,,,,,,,,121.18 (2%),,,,,116.61 (1%),129.49 (3%),,,,,,,,,,,,,,,,231.07 (4%),,,,,,,,,,161.99 (3%),,,,,,,,,123.96 (3%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
메타,316.08 (2%),,213.66 (2%),,,,,,,,,,,178.99 (7%),,,,,,,169.67 (2%),,,,,,,,,,,,,,,,,185.46 (3%),,,,,,,,,,184.33 (3%),,,,265.47 (5%),,,,,,,,,,,,,,,157.56 (2%),,,,,,,,,,,,,,,,,,,,
미디어텍,33.96 (0%),,19.55 (0%),,,,19.14 (0%),,,,,,,,,,,,,,17.46 (0%),,,,,,,,19.57 (0%),,,,,,,,,,,,,,,,,,21.42 (0%),,,,,,,,,,,,,,,,,,,,28.84 (0%),,,,,,,,,,,16.88 (0%),,,,,,,,,
