org,topic_0,topic_1,topic_10,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
SEMI,2.75 (0%),1.38 (0%),,0.70 (0%),2.08 (0%),,,,,,
SID,132.76 (1%),102.49 (1%),0.93 (0%),1.40 (0%),36.04 (0%),,43.22 (2%),,21.94 (2%),,
SK하이닉스,517.28 (3%),317.80 (2%),,149.48 (3%),479.66 (4%),64.71 (2%),54.94 (2%),48.50 (8%),,37.37 (2%),
Semiconductor,40.58 (0%),26.83 (0%),,9.08 (0%),30.50 (0%),6.16 (0%),12.45 (0%),,4.87 (0%),0.81 (0%),
TCL,566.12 (3%),507.65 (3%),,105.47 (2%),256.46 (2%),40.83 (1%),53.48 (2%),,26.81 (3%),26.00 (2%),
TSMC,134.82 (1%),73.60 (0%),,39.82 (1%),131.70 (1%),23.11 (1%),10.26 (0%),,5.69 (1%),11.37 (1%),
Tianma,65.35 (0%),51.59 (0%),,4.89 (0%),24.26 (0%),6.93 (0%),9.52 (0%),,0.81 (0%),,0.87 (0%)
Toray,9.63 (0%),6.19 (0%),,2.79 (0%),6.93 (0%),3.08 (0%),,1.13 (0%),1.62 (0%),0.81 (0%),
UDC,22.01 (0%),17.20 (0%),,2.10 (0%),8.32 (0%),0.77 (0%),5.86 (0%),,,,
UL,76.35 (0%),71.54 (0%),,22.35 (0%),40.90 (0%),8.47 (0%),13.19 (0%),,,6.50 (0%),1.74 (0%)
V2X,81.17 (0%),52.97 (0%),,16.07 (0%),66.54 (1%),3.85 (0%),10.99 (0%),1.13 (0%),,6.50 (0%),
Visionox,85.30 (0%),71.54 (0%),0.93 (0%),9.78 (0%),32.58 (0%),3.08 (0%),16.12 (1%),,1.62 (0%),,
구글,478.76 (2%),339.81 (2%),108.18 (11%),240.29 (4%),375.69 (3%),69.33 (2%),54.21 (2%),,,78.80 (5%),
기아,196.04 (1%),135.51 (1%),,48.20 (1%),201.71 (2%),163.31 (5%),36.63 (1%),,17.87 (2%),22.75 (1%),
기아자동차,21.32 (0%),15.13 (0%),,4.89 (0%),23.57 (0%),14.64 (0%),2.93 (0%),,1.62 (0%),1.62 (0%),
기아차,2.75 (0%),1.38 (0%),0.93 (0%),,2.77 (0%),3.08 (0%),,,,,
네이버,285.47 (1%),215.99 (1%),61.55 (6%),138.30 (2%),219.73 (2%),82.43 (3%),35.16 (1%),,,41.43 (3%),
니오,4.13 (0%),2.75 (0%),,0.70 (0%),2.08 (0%),2.31 (0%),1.47 (0%),,,,0.87 (0%)
도우인시스,2.75 (0%),2.06 (0%),,0.70 (0%),1.39 (0%),,0.73 (0%),,,,
두산로보틱스,45.40 (0%),30.95 (0%),,15.37 (0%),47.83 (0%),13.87 (0%),6.59 (0%),6.77 (1%),,17.87 (1%),
디지타임스,13.76 (0%),9.63 (0%),,2.79 (0%),9.70 (0%),,2.20 (0%),,,0.81 (0%),
딥엑스,2.06 (0%),0.69 (0%),,0.70 (0%),2.08 (0%),,,,,0.81 (0%),
레노버,31.64 (0%),27.51 (0%),,5.59 (0%),12.48 (0%),3.85 (0%),5.13 (0%),,2.44 (0%),4.87 (0%),
리벨리온,15.82 (0%),11.69 (0%),,6.29 (0%),9.01 (0%),3.08 (0%),2.20 (0%),,1.62 (0%),1.62 (0%),
리오토,6.19 (0%),5.50 (0%),,2.79 (0%),2.77 (0%),6.16 (0%),0.73 (0%),,,,
마이크로소프트,215.30 (1%),131.38 (1%),13.99 (1%),76.14 (1%),196.16 (2%),24.65 (1%),13.19 (0%),,,18.69 (1%),
메타,317.11 (2%),206.36 (1%),,118.05 (2%),255.08 (2%),20.03 (1%),41.76 (2%),,,39.81 (3%),23.44 (4%)
미디어텍,33.71 (0%),24.08 (0%),2.80 (0%),14.67 (0%),24.26 (0%),1.54 (0%),1.47 (0%),,,4.06 (0%),
바이두,10.32 (0%),7.57 (0%),1.87 (0%),3.49 (0%),7.62 (0%),1.54 (0%),,,0.81 (0%),1.62 (0%),
벤츠,38.52 (0%),25.45 (0%),,12.57 (0%),29.11 (0%),33.12 (1%),6.59 (0%),,4.06 (0%),5.69 (0%),
비보,57.78 (0%),41.27 (0%),1.87 (0%),21.65 (0%),28.42 (0%),3.08 (0%),9.52 (0%),,,4.87 (0%),
삼성디스플레이,2054.52 (8%),1746.82 (8%),,358.61 (4%),778.50 (5%),180.25 (4%),424.51 (11%),,88.34 (6%),36.90 (2%),
삼성전자,3711.86 (17%),3020.65 (17%),,1926.59 (29%),2059.10 (15%),435.08 (12%),391.76 (12%),298.30 (41%),,228.02 (12%),
샤오미,242.82 (1%),200.17 (1%),,73.34 (1%),110.90 (1%),42.37 (1%),27.11 (1%),,,21.12 (1%),10.42 (2%)
샤오펑,25.45 (0%),24.08 (0%),,9.78 (0%),16.64 (0%),32.35 (1%),4.40 (0%),,4.06 (0%),6.50 (0%),
샤프,46.09 (0%),39.90 (0%),0.93 (0%),6.29 (0%),20.10 (0%),8.47 (0%),8.79 (0%),,2.44 (0%),,
선익시스템,46.78 (0%),39.21 (0%),0.93 (0%),2.79 (0%),22.18 (0%),3.08 (0%),10.26 (0%),,,0.81 (0%),
세미파이브,6.13 (0%),5.26 (0%),,2.67 (0%),4.41 (0%),,0.93 (0%),,,,1.11 (0%)
소니,86.67 (0%),74.29 (0%),5.60 (1%),29.34 (1%),45.75 (0%),10.78 (0%),12.45 (0%),,,6.50 (0%),
아마존,118.31 (1%),68.10 (0%),,38.42 (1%),111.60 (1%),17.72 (1%),8.79 (0%),,,11.37 (1%),10.42 (2%)
아이씨디,29.58 (0%),19.95 (0%),,1.40 (0%),24.95 (0%),4.62 (0%),7.33 (0%),,1.62 (0%),,
알파벳,83.92 (0%),34.39 (0%),,21.65 (0%),90.11 (1%),9.24 (0%),1.47 (0%),,9.75 (1%),4.87 (0%),
애플,2059.48 (7%),1497.15 (7%),204.23 (14%),685.24 (8%),1315.25 (7%),258.83 (6%),272.52 (7%),,,186.45 (8%),
엔비디아,442.99 (2%),253.82 (2%),,150.18 (3%),410.34 (3%),52.38 (2%),29.30 (1%),,24.37 (2%),33.31 (2%),
오포,71.54 (0%),57.78 (0%),,24.45 (0%),33.27 (0%),5.39 (0%),14.65 (1%),,4.06 (0%),8.94 (1%),
원익IPS,61.22 (0%),40.58 (0%),,12.57 (0%),56.14 (0%),5.39 (0%),10.99 (0%),2.26 (0%),,9.75 (1%),
인텔,246.95 (1%),175.41 (1%),,61.47 (1%),192.00 (2%),23.11 (1%),36.63 (1%),,24.37 (2%),21.94 (1%),
카카오,120.38 (1%),92.17 (1%),111.91 (12%),57.98 (1%),118.53 (1%),29.27 (1%),16.85 (1%),,,20.31 (1%),
퀄컴,251.07 (1%),182.97 (1%),,136.91 (2%),205.86 (2%),36.98 (1%),30.04 (1%),,,127.55 (8%),23.44 (4%)
텐센트,19.95 (0%),14.45 (0%),1.87 (0%),4.89 (0%),12.48 (0%),3.08 (0%),1.47 (0%),,,4.06 (0%),
폭스바겐,79.79 (0%),55.03 (0%),,14.67 (0%),94.96 (1%),67.02 (2%),6.59 (0%),,7.31 (1%),14.62 (1%),
하이센스,349.44 (2%),335.68 (2%),,71.25 (1%),149.03 (1%),33.12 (1%),27.11 (1%),,21.12 (2%),,11.29 (2%)
하이얼,77.73 (0%),67.41 (0%),,14.67 (0%),45.05 (0%),6.16 (0%),5.13 (0%),,6.50 (1%),3.25 (0%),
한미반도체,83.92 (0%),50.90 (0%),5.60 (1%),24.45 (0%),87.34 (1%),8.47 (0%),12.45 (0%),,,16.25 (1%),
한화,207.05 (1%),129.32 (1%),,40.51 (1%),168.43 (1%),24.65 (1%),18.31 (1%),31.58 (5%),16.25 (2%),,
한화솔루션,25.45 (0%),14.45 (0%),,0.70 (0%),24.95 (0%),1.54 (0%),5.86 (0%),1.13 (0%),,,
한화시스템,99.74 (1%),69.47 (0%),,31.43 (1%),114.37 (1%),30.04 (1%),19.05 (1%),,,17.87 (1%),8.68 (1%)
현대모비스,215.66 (1%),139.61 (1%),,47.61 (1%),246.71 (1%),71.17 (2%),37.73 (1%),15.37 (2%),,41.84 (2%),
현대자동차,169.90 (1%),122.44 (1%),,52.39 (1%),189.92 (2%),110.16 (4%),39.56 (1%),,19.50 (2%),30.06 (2%),
현대차,398.42 (2%),272.04 (2%),,116.01 (2%),407.95 (3%),367.02 (12%),92.77 (3%),43.31 (7%),,49.75 (3%),
화웨이,144.45 (1%),103.87 (1%),,46.10 (1%),90.11 (1%),16.95 (1%),21.98 (1%),,13.00 (1%),10.56 (1%),
