org,topic,base_score,topic_share,company_focus,hybrid_score
네이버,9,18.2299,0.0295,0.0398,18.2299
네이버,7,16.2482,0.0154,0.0355,16.2482
네이버,6,4.5112,0.0071,0.0099,4.5112
니오,0,4.1272,0.0002,0.6726,4.1272
니오,1,2.7515,0.0002,0.4484,2.7515
니오,4,2.3110,0.0008,0.3766,2.3110
니오,3,2.0794,0.0002,0.3389,2.0794
니오,5,1.4652,0.0005,0.2388,1.4652
니오,9,0.8681,0.0014,0.1415,0.8681
니오,2,0.6985,0.0001,0.1138,0.6985
도우인시스,0,2.7515,0.0001,0.7158,2.7515
도우인시스,1,2.0636,0.0001,0.5369,2.0636
도우인시스,3,1.3863,0.0001,0.3606,1.3863
도우인시스,5,0.7326,0.0003,0.1906,0.7326
도우인시스,2,0.6985,0.0001,0.1817,0.6985
두산로보틱스,3,47.8272,0.0039,0.6098,47.8272
두산로보틱스,0,45.3994,0.0024,0.5789,45.3994
두산로보틱스,1,30.9542,0.0021,0.3947,30.9542
두산로보틱스,8,17.8730,0.0113,0.2279,17.8730
두산로보틱스,2,15.3672,0.0026,0.1959,15.3672
두산로보틱스,4,13.8661,0.0045,0.1768,13.8661
두산로보틱스,6,6.7669,0.0107,0.0863,6.7669
두산로보틱스,5,6.5933,0.0024,0.0841,6.5933
두산로보틱스,7,2.4372,0.0023,0.0311,2.4372
두산로보틱스,10,0.9326,0.0010,0.0119,0.9326
디지타임스,0,13.7574,0.0007,0.6971,13.7574
디지타임스,3,9.7041,0.0008,0.4917,9.7041
디지타임스,1,9.6302,0.0006,0.4880,9.6302
디지타임스,2,2.7940,0.0005,0.1416,2.7940
디지타임스,5,2.1978,0.0008,0.1114,2.1978
디지타임스,8,0.8124,0.0005,0.0412,0.8124
딥엑스,3,2.0794,0.0002,0.6510,2.0794
딥엑스,0,2.0636,0.0001,0.6460,2.0636
딥엑스,8,0.8124,0.0005,0.2543,0.8124
딥엑스,2,0.6985,0.0001,0.2187,0.6985
딥엑스,1,0.6879,0.0000,0.2153,0.6879
레노버,0,31.6420,0.0016,0.7046,31.6420
레노버,1,27.5148,0.0018,0.6127,27.5148
레노버,3,12.4766,0.0010,0.2778,12.4766
레노버,2,5.5881,0.0010,0.1244,5.5881
레노버,5,5.1281,0.0019,0.1142,5.1281
레노버,8,4.8745,0.0031,0.1085,4.8745
레노버,4,3.8517,0.0013,0.0858,3.8517
레노버,7,2.4372,0.0023,0.0543,2.4372
레노버,9,0.8681,0.0014,0.0193,0.8681
리벨리온,0,15.8210,0.0008,0.6876,15.8210
리벨리온,1,11.6938,0.0008,0.5082,11.6938
리벨리온,3,9.0109,0.0007,0.3916,9.0109
리벨리온,2,6.2866,0.0011,0.2732,6.2866
리벨리온,4,3.0813,0.0010,0.1339,3.0813
리벨리온,5,2.1978,0.0008,0.0955,2.1978
리벨리온,7,1.6248,0.0015,0.0706,1.6248
리벨리온,8,1.6248,0.0010,0.0706,1.6248
리벨리온,6,1.1278,0.0018,0.0490,1.1278
리벨리온,9,0.8681,0.0014,0.0377,0.8681
리오토,0,6.1908,0.0003,0.5591,6.1908
리오토,4,6.1627,0.0020,0.5565,6.1627
리오토,1,5.5030,0.0004,0.4970,5.5030
리오토,2,2.7940,0.0005,0.2523,2.7940
리오토,3,2.7726,0.0002,0.2504,2.7726
리오토,5,0.7326,0.0003,0.0662,0.7326
마이크로소프트,0,215.3033,0.0112,0.6510,215.3033
마이크로소프트,3,196.1607,0.0160,0.5931,196.1607
마이크로소프트,1,131.3832,0.0087,0.3973,131.3832
마이크로소프트,2,76.1375,0.0131,0.2302,76.1375
마이크로소프트,4,24.6508,0.0081,0.0745,24.6508
마이크로소프트,8,18.6854,0.0118,0.0565,18.6854
마이크로소프트,10,13.9883,0.0146,0.0423,13.9883
마이크로소프트,5,13.1866,0.0048,0.0399,13.1866
마이크로소프트,7,11.3737,0.0108,0.0344,11.3737
마이크로소프트,9,5.2085,0.0084,0.0157,5.2085
마이크로소프트,6,2.2556,0.0036,0.0068,2.2556
메타,0,317.1081,0.0165,0.6660,317.1081
메타,3,255.0782,0.0208,0.5357,255.0782
메타,1,206.3610,0.0137,0.4334,206.3610
메타,2,118.0480,0.0203,0.2479,118.0480
메타,5,41.7576,0.0152,0.0877,41.7576
메타,8,39.8081,0.0252,0.0836,39.8081
메타,9,23.4384,0.0380,0.0492,23.4384
메타,4,20.0288,0.0065,0.0421,20.0288
메타,7,16.2482,0.0154,0.0341,16.2482
